"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Amount Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading Broker Name","Trading BIC Broker Code","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Number","IAS Consolidated Account Name","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/06/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/07/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/08/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/11/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/12/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","08/13/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","0.63","","0.63","0.41","","0.41","","","","","","","","","","","","","0.6461500000","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/06/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/07/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/08/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/11/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/12/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394732080","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","DKK","DANISH KRONE","10","BRU","08/13/2025","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","(2.58)","","(2.58)","(0.40)","","(0.40)","","","","","","","","","","","","","0.1549894994","","","","","","","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","","","","","","","","","0.00","0.00","0.00","","","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394739780","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","EUR","EURO","10","BRU","08/06/2025","PSS2306211102249","","","","","CD","CASH DEPOSIT","RC","352","Refund Foreign Withholding Tax","PSS #: 2306211102249  UNITS/QNTY: 328.0000","SEDOL #: 7262610  ISIN #: FR0000045072  EVENT ID: 1328820474","DESC : CREDIT AGRICOLE SA EUR DIV SRC RATE:     0.0010470000","EX DT: 23MAY30  RECORD DT: 23MAY31  PAY DT: 23JUN01","CCY: EUR  GRSS: 0.3400             WTH: 0.0900","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","05/30/2023","06/01/2023","","05/31/2023","","","328.0000","0.0010470000","0.00","0.25","0.34","(0.0900)","","(3,168.98)","0.25","6,152.71","(3,665.24)","0.29","7,116.22","","","","","","","CREDIT AGRICOLE SA EUR 3.0","CREDIT AGRICOLE SA EUR 3.0","","","","","1.1566000000","F22797108","ACA FP","FR0000045072","7262610","001336531","004507","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","1328820474","","","","","EUR","139473","000000139473","0.00","0.00","0.00","06/21/2023","06/21/2023 14.47.53","C","Contractual Cash","5829291047","","","","","","EUR","EUR","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394739780","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","EUR","EURO","10","BRU","08/06/2025","PSS2506031165309","Y","","","","CD","CASH DEPOSIT","RC","352","Refund Foreign Withholding Tax","PSS #: 2506031165309  UNITS/QNTY: 591.0000","SEDOL #: 5253973  ISIN #: FR0000052292  EVENT ID: 1565231251","DESC : HERMES INTERNATIONAL S DIV SRC RATE:     0.0135140000","EX DT: 25MAY05  RECORD DT: 25MAY06  PAY DT: 25MAY07","CCY: EUR  GRSS: 7.9900             WTH: 2.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","05/05/2025","05/07/2025","","05/06/2025","","","591.0000","0.0135140000","0.00","5.99","7.99","(2.0000)","","(3,168.98)","5.99","6,152.71","(3,665.24)","6.93","7,116.22","","","","","","","HERMES INTERNATIONAL SCA NPV","HERMES INTERNATIONAL SCA NPV","","","","","1.1566000000","F48051100","RMS FP","FR0000052292","5253973","000086689","005229","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","1565231251","","","","","EUR","139473","000000139473","0.00","0.00","0.00","06/03/2025","06/03/2025 08.36.23","C","Contractual Cash","5829291047","","","","","","EUR","EUR","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394739780","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","EUR","EURO","10","BRU","08/06/2025","PSS2410111172401","Y","","","","CD","CASH DEPOSIT","RC","352","Refund Foreign Withholding Tax","PSS #: 2410111172401  UNITS/QNTY: 497.0000","SEDOL #: 5253973  ISIN #: FR0000052292  EVENT ID: 1446350320","DESC : HERMES INTERNATIONAL S DIV SRC RATE:     0.0111370000","EX DT: 24MAY02  RECORD DT: 24MAY03  PAY DT: 24MAY06","CCY: EUR  GRSS: 5.5400             WTH: 1.3800","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","05/02/2024","05/06/2024","","05/03/2024","","","497.0000","0.0111370000","0.00","4.16","5.54","(1.3800)","","(3,168.98)","4.16","6,152.71","(3,665.24)","4.81","7,116.22","","","","","","","HERMES INTERNATIONAL SCA NPV","HERMES INTERNATIONAL SCA NPV","","","","","1.1566000000","F48051100","RMS FP","FR0000052292","5253973","000086689","005229","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","1446350320","","","","","EUR","139473","000000139473","0.00","0.00","0.00","10/11/2024","10/11/2024 11.23.50","C","Contractual Cash","5829291047","","","","","","EUR","EUR","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394739780","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","EUR","EURO","10","BRU","08/06/2025","PSS2506031166925","Y","","","","CD","CASH DEPOSIT","RC","352","Refund Foreign Withholding Tax","PSS #: 2506031166925  UNITS/QNTY: 591.0000","SEDOL #: 5253973  ISIN #: FR0000052292  EVENT ID: 1565231343","DESC : HERMES INTERNATIONAL S DIV SRC RATE:     0.0168930000","EX DT: 25MAY05  RECORD DT: 25MAY06  PAY DT: 25MAY07","CCY: EUR  GRSS: 9.9800             WTH: 2.5000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","05/05/2025","05/07/2025","","05/06/2025","","","591.0000","0.0168930000","0.00","7.48","9.98","(2.5000)","","(3,168.98)","7.48","6,152.71","(3,665.24)","8.65","7,116.22","","","","","","","HERMES INTERNATIONAL SCA NPV","HERMES INTERNATIONAL SCA NPV","","","","","1.1566000000","F48051100","RMS FP","FR0000052292","5253973","000086689","005229","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","1565231343","","","","","EUR","139473","000000139473","0.00","0.00","0.00","06/03/2025","06/03/2025 08.37.36","C","Contractual Cash","5829291047","","","","","","EUR","EUR","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394739780","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","EUR","EURO","10","BRU","08/06/2025","PSS2501151110572","Y","","","","CD","CASH DEPOSIT","RC","352","Refund Foreign Withholding Tax","PSS #: 2501151110572  UNITS/QNTY: 497.0000","SEDOL #: 5253973  ISIN #: FR0000052292  EVENT ID: 1554588897","DESC : HERMES INTERNATIONAL S DIV SRC RATE:     0.0096840000","EX DT: 24MAY02  RECORD DT: 24MAY03  PAY DT: 24MAY06","CCY: EUR  GRSS: 4.8100             WTH: 1.2000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","05/02/2024","05/06/2024","","05/03/2024","","","497.0000","0.0096840000","0.00","3.61","4.81","(1.2000)","","(3,168.98)","3.61","6,152.71","(3,665.24)","4.18","7,116.22","","","","","","","HERMES INTERNATIONAL SCA NPV","HERMES INTERNATIONAL SCA NPV","","","","","1.1566000000","F48051100","RMS FP","FR0000052292","5253973","000086689","005229","","","","08/06/2025","08/20/2025","08/06/2025","08:02:34 AM EDT (GMT -4:00)","","","","1554588897","","","","","EUR","139473","000000139473","0.00","0.00","0.00","01/15/2025","01/15/2025 04.41.27","C","Contractual Cash","5829291047","","","","","","EUR","EUR","EQUITIES"
