IndexIQ Advisors LLC
EOD IQ Funds
Report Date: 8/29/2025 6:30:04 PM
Portfolio,Currency,Quantity,NotionalCost,Price,MarketVal/Notional Val,Ticker,BR,SecType,Underlying Ticker
IQSI,USD     ,1262458,0.00,1.0000000000,"1,262,458",@CASHUSD,,CASH           ,@CASHUSD
WRND,USD     ,26120,0.00,1.0000000000,"26,120",@CASHUSD,,CASH           ,@CASHUSD
HFXI,KRW     ,3968,0.00,113500,"450,368,000",000100 KS,,CSKR           ,000100 KS
HFXI,KRW     ,14990,0.00,105800,"1,585,942,000",000270 KS,,CSKR           ,000270 KS
HFXI,KRW     ,27876,0.00,269000,"7,498,644,000",000660 KS,,CSKR           ,000660 KS
HFXI,KRW     ,2324,0.00,444000,"1,031,856,000",000810 KS,,CSKR           ,000810 KS
HFXI,KRW     ,27031,0.00,23750,"641,986,250",003490 KS,,CSKR           ,003490 KS
HFXI,KRW     ,8749,0.00,74500,"651,800,500",003550 KS,,CSKR           ,003550 KS
HFXI,KRW     ,10275,0.00,220000,"2,260,500,000",005380 KS,,CSKR           ,005380 KS
HFXI,KRW     ,4247,0.00,285500,"1,212,518,500",005490 KS,,CSKR           ,005490 KS
HFXI,KRW     ,4818,0.00,131900,"635,494,200",005830 KS,,CSKR           ,005830 KS
HFXI,KRW     ,236744,0.00,69700,"16,501,056,800",005930 KS,,CSKR           ,005930 KS
HFXI,KRW     ,43837,0.00,56600,"2,481,174,200",005935 KS,,CSKR           ,005935 KS
MNA,USD     ,333265,0.00,0.0000000000,,005CVR022,,CSUS           ,005CVR022
HFXI,KRW     ,4144,0.00,207000,"857,808,000",006400 KS,,CSKR           ,006400 KS
HFXI,KRW     ,4760,0.00,160500,"763,980,000",009150 KS,,CSKR           ,009150 KS
HFXI,KRW     ,3046,0.00,406500,"1,238,199,000",009540 KS,,CSKR           ,009540 KS
WRND,KRW     ,52,0.00,406500,"21,138,000",009540 KS,,CSKR           ,009540 KS
WRND,KRW     ,22,0.00,284500,"6,259,000",010120 KS,,CSKR           ,010120 KS
HFXI,KRW     ,274,0.00,821000,"224,954,000",010130 KS,,CSKR           ,010130 KS
HFXI,KRW     ,42020,0.00,21300,"895,026,000",010140 KS,,CSKR           ,010140 KS
WRND,KRW     ,641,0.00,21300,"13,653,300",010140 KS,,CSKR           ,010140 KS
HFXI,KRW     ,21439,0.00,22100,"473,801,900",011200 KS,,CSKR           ,011200 KS
HFXI,KRW     ,4193,0.00,318500,"1,335,470,500",012330 KS,,CSKR           ,012330 KS
HFXI,KRW     ,1732,0.00,884000,"1,531,088,000",012450 KS,,CSKR           ,012450 KS
HFXI,KRW     ,27983,0.00,36350,"1,017,182,050",015760 KS,,CSKR           ,015760 KS
HFXI,KRW     ,4619,0.00,147300,"680,378,700",018260 KS,,CSKR           ,018260 KS
HFXI,KRW     ,5487,0.00,104200,"571,745,400",021240 KS,,CSKR           ,021240 KS
HFXI,KRW     ,53974,0.00,19020,"1,026,585,480",024110 KS,,CSKR           ,024110 KS
HFXI,KRW     ,6133,0.00,167800,"1,029,117,400",028260 KS,,CSKR           ,028260 KS
HFXI,KRW     ,6544,0.00,37750,"247,036,000",028300 KS,,CSKR           ,028300 KS
HFXI,KRW     ,10874,0.00,134700,"1,464,727,800",033780 KS,,CSKR           ,033780 KS
HFXI,KRW     ,26795,0.00,61700,"1,653,251,500",034020 KS,,CSKR           ,034020 KS
HFXI,KRW     ,62,0.00,12000,"744,000",034220 KS,,CSKR           ,034220 KS
HFXI,KRW     ,5078,0.00,207000,"1,051,146,000",034730 KS,,CSKR           ,034730 KS
HFXI,KRW     ,18950,0.00,62500,"1,184,375,000",035720 KS,,CSKR           ,035720 KS
WRND,KRW     ,322,0.00,62500,"20,125,000",035720 KS,,CSKR           ,035720 KS
HFXI,KRW     ,3159,0.00,87000,"274,833,000",042700 KS,,CSKR           ,042700 KS
HFXI,KRW     ,3304,0.00,277500,"916,860,000",051910 KS,,CSKR           ,051910 KS
HFXI,KRW     ,8522,0.00,167600,"1,428,287,200",068270 KS,,CSKR           ,068270 KS
HFXI,KRW     ,5845,0.00,50600,"295,757,000",086520 KS,,CSKR           ,086520 KS
HFXI,KRW     ,19963,0.00,82200,"1,640,958,600",086790 KS,,CSKR           ,086790 KS
HFXI,KRW     ,4632,0.00,100900,"467,368,800",096770 KS,,CSKR           ,096770 KS
HFXI,KRW     ,1720,0.00,229000,"393,880,000",097950 KS,,CSKR           ,097950 KS
HFXI,HKD     ,151343,0.00,51.35,"7,771,463",1 HK,,CSHK           ,1 HK
IQSI,HKD     ,29586,0.00,7.92,"234,321",101 HK,,CSHK           ,101 HK
IQSI,HKD     ,10573,0.00,52.25,"552,439",1038 HK,,CSHK           ,1038 HK
HFXI,KRW     ,22300,0.00,108200,"2,412,860,000",105560 KS,,CSKR           ,105560 KS
IQSI,HKD     ,142193,0.00,10.07,"1,431,884",1093 HK,,CSHK           ,1093 HK
HFXI,HKD     ,42256,0.00,111.4,"4,707,318",11 HK,,CSHK           ,11 HK
IQSI,HKD     ,12529,0.00,111.4,"1,395,731",11 HK,,CSHK           ,11 HK
HFXI,HKD     ,115202,0.00,36.72,"4,230,217",1113 HK,,CSHK           ,1113 HK
IQSI,HKD     ,172967,0.00,8.11,"1,402,762",1177 HK,,CSHK           ,1177 HK
HFXI,HKD     ,103076,0.00,26.9,"2,772,744",12 HK,,CSHK           ,12 HK
WRND,HKD     ,2696,0.00,114.4,"308,422",1211 HK,,CSHK           ,1211 HK
HFXI,HKD     ,546494,0.00,73.4,"40,112,660",1299 HK,,CSHK           ,1299 HK
IQSI,HKD     ,189091,0.00,73.4,"13,879,279",1299 HK,,CSHK           ,1299 HK
MNA,HKD     ,8018688,0.00,5.05,"40,494,374",1310 HK,,CSHK           ,1310 HK
