IndexIQ Advisors LLC
Historical Trade Export
Report Date: 9/1/2025 6:00:19 AM
SecType,Portfolio,TradeDate,Trdr,SettleDate,Dest,Side,SecurityDesc,Symbol,AvgPrc,Amount,Done,NetMoney,Currency
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ANZ GROUP HOLDINGS LTD,ANZ AU,33.67,1973,1973,66371.12,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,BHP GROUP LTD,BHP AU,43.19,3116,3116,134458.92,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,BRAMBLES LTD,BXB AU,25.95,970,970,25148.84,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,COLES GROUP LTD,COL AU,23.88,927,927,22116.84,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,COMMONWEALTH BANK OF AUSTRAL,CBA AU,170.30,1067,1067,181546.56,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,CSL LTD,CSL AU,212.89,306,306,65085.71,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,DEXUS/AU,DXS AU,7.51,2711,2711,20341.29,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,FORTESCUE LTD,FMG AU,19.30,1069,1069,20613.13,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,GOODMAN GROUP,GMG AU,34.35,1298,1298,44546.18,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,MACQUARIE GROUP LTD,MQG AU,225.16,234,234,52640.03,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,MINERAL RESOURCES LTD,MIN AU,37.40,661,661,24699.15,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,NATIONAL AUSTRALIA BANK LTD,NAB AU,42.79,2025,2025,86571.77,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ORIGIN ENERGY LTD,ORG AU,12.92,1328,1328,17142.32,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,SEEK LTD,SEK AU,27.76,999,999,27707.28,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,SONIC HEALTHCARE LTD,SHL AU,24.05,967,967,23235.42,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,SOUTH32 LTD,S32 AU,2.72,8477,8477,23036.69,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,TRANSURBAN GROUP,TCL AU,14.60,2113,2113,30822.04,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,WESFARMERS LTD,WES AU,91.81,752,752,68978.98,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,WESTPAC BANKING CORP,WBC AU,38.61,2244,2244,86562.86,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,WOODSIDE ENERGY GROUP LTD,WDS AU,26.41,1251,1251,33009.17,AUD
CSAU,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,XERO LTD,XRO AU,163.59,105,105,17161.49,AUD
CSBE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ANHEUSER-BUSCH INBEV SA/NV,ABI BB,53.54,595,595,31827.63,EUR
CSBE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ARGENX SE,ARGX BB,604.00,36,36,21724.43,EUR
CSBR,WRND,08/29/25,GB,09/02/25,INSTI,Sell,VALE SA,VALE3 BZ,55.71,32,32,1780.58,BRL
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ABB LTD-REG,ABBN SW,53.68,989,989,53041.74,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ALCON INC,ALC SW,63.66,316,316,20098.45,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,CIE FINANCIERE RICHEMO-A REG,CFR SW,139.75,326,326,45517.50,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,LONZA GROUP AG-REG,LONN SW,567.00,44,44,24925.55,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,NESTLE SA-REG,NESN SW,75.39,1584,1584,119310.28,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,NOVARTIS AG-REG,NOVN SW,101.16,1172,1172,118452.82,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ROCHE HOLDING AG-GENUSSCHEIN,ROG SW,260.30,456,456,118589.97,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,SWISS RE AG,SREN SW,144.90,191,191,27650.99,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,UBS GROUP AG-REG,UBSG SW,32.38,1979,1979,64022.35,CHF
CSCH,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ZURICH INSURANCE GROUP AG,ZURN SW,584.40,90,90,52548.66,CHF
CSCH,IQSI,08/29/25,GB,09/02/25,INSTI,Buy,NESTLE SA-REG,NESN SW,75.39,96,96,7243.95,CHF
CSCH,IQSI,08/29/25,GB,09/02/25,INSTI,Buy,ZURICH INSURANCE GROUP AG,ZURN SW,584.40,21,21,12283.45,CHF
CSCH,WRND,08/29/25,GB,09/02/25,INSTI,Sell,ABB LTD-REG,ABBN SW,54.16,14,14,757.56,CHF
CSDE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,ALLIANZ SE-REG,ALV GR,361.20,246,246,88775.23,EUR
CSDE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,BASF SE,BAS GR,45.36,571,571,25877.25,EUR
CSDE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,DEUTSCHE BANK AG-REGISTERED,DBK GR,30.03,1155,1155,34653.44,EUR
CSDE,HFXI,08/29/25,GB,09/02/25,INSTI,Sell,DEUTSCHE BOERSE AG,DB1 GR,251.60,120,120,30164.82,EUR
