"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Amount Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading Broker Name","Trading BIC Broker Code","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Number","IAS Consolidated Account Name","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508281041852","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508281041852  UNITS/QNTY: 7,981.0000","SEDOL #: B15F6S6  ISIN #: AU000000CHC0  EVENT ID: 1566351530","DESC : CHARTER HA NPV (STAPLE DIV SRC RATE:     0.2195000000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 1,751.8300         WTH: 0.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","09/01/2025","08/29/2025","7,981.0000","0.2195000000","0.00","1,751.83","1,751.83","","","18,902.58","1,751.83","23,744.09","12,371.74","1,146.57","15,540.51","","","","","","","CHARTER HA NPV (STAPLED)","CHARTER HA NPV (STAPLED)","","","","","0.6545000000","Q2308A138","CHC AU","AU000000CHC0","B15F6S6","002597768","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566351530","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/01/2025","08/29/2025 15.25.25","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508281042153","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508281042153  UNITS/QNTY: 7,981.0000","SEDOL #: B15F6S6  ISIN #: AU000000CHC0  EVENT ID: 1566351530","DESC : CHARTER HA NPV (STAPLE DIV SRC RATE:     0.0185040000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 147.6800           WTH: 41.2300","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","09/01/2025","08/29/2025","7,981.0000","0.0185040000","0.00","106.45","147.68","(41.2300)","","18,902.58","106.45","23,744.09","12,371.74","69.67","15,540.51","","","","","","","CHARTER HA NPV (STAPLED)","CHARTER HA NPV (STAPLED)","","","","","0.6545000000","Q2308A138","CHC AU","AU000000CHC0","B15F6S6","002597768","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566351530","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/01/2025","08/29/2025 15.25.25","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508291067035","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508291067035  UNITS/QNTY: 7,981.0000","SEDOL #: B15F6S6  ISIN #: AU000000CHC0  EVENT ID: 1566351530","DESC : CHARTER HA NPV (STAPLE DIV SRC RATE:     0.0057960000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 46.2600            WTH: 13.8800","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","09/01/2025","08/29/2025","7,981.0000","0.0057960000","0.00","32.38","46.26","(13.8800)","","18,902.58","32.38","23,744.09","12,371.74","21.19","15,540.51","","","","","","","CHARTER HA NPV (STAPLED)","CHARTER HA NPV (STAPLED)","","","","","0.6545000000","Q2308A138","CHC AU","AU000000CHC0","B15F6S6","002597768","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566351530","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/01/2025","08/29/2025 15.25.25","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508251357184","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508251357184  UNITS/QNTY: 18,217.0000","SEDOL #: B033YN6  ISIN #: AU000000DXS1  EVENT ID: 1566361044","DESC : DEXUS                  DIV SRC RATE:     0.0000416600","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 0.7600             WTH: 0.1100","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","","","18,217.0000","0.0000416600","0.00","0.65","0.76","(0.1100)","","18,902.58","0.65","23,744.09","12,371.74","0.43","15,540.51","","","","","","","DEXUS","DEXUS","","","","","0.6545000000","Q318A1104","DXS AU","AU000000DXS1","B033YN6","003819970","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566361044","","","","","AUD","139473","000000139473","0.00","0.00","0.00","08/25/2025","08/29/2025 14.37.49","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508291075084","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508291075084  UNITS/QNTY: 18,217.0000","SEDOL #: B033YN6  ISIN #: AU000000DXS1  EVENT ID: 1566361044","DESC : DEXUS                  DIV SRC RATE:     0.0000447200","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 0.8100             WTH: 0.2400","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","","","18,217.0000","0.0000447200","0.00","0.57","0.81","(0.2400)","","18,902.58","0.57","23,744.09","12,371.74","0.37","15,540.51","","","","","","","DEXUS","DEXUS","","","","","0.6545000000","Q318A1104","DXS AU","AU000000DXS1","B033YN6","003819970","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566361044","","","","","AUD","139473","000000139473","0.00","0.00","0.00","08/29/2025","08/29/2025 14.37.49","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508251357630","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508251357630  UNITS/QNTY: 18,217.0000","SEDOL #: B033YN6  ISIN #: AU000000DXS1  EVENT ID: 1566361044","DESC : DEXUS                  DIV SRC RATE:     0.0497570200","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 906.4200           WTH: 0.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","","","18,217.0000","0.0497570200","0.00","906.42","906.42","","","18,902.58","906.42","23,744.09","12,371.74","593.25","15,540.51","","","","","","","DEXUS","DEXUS","","","","","0.6545000000","Q318A1104","DXS AU","AU000000DXS1","B033YN6","003819970","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566361044","","","","","AUD","139473","000000139473","0.00","0.00","0.00","08/29/2025","08/29/2025 14.37.49","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508251357654","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508251357654  UNITS/QNTY: 18,217.0000","SEDOL #: B033YN6  ISIN #: AU000000DXS1  EVENT ID: 1566361044","DESC : DEXUS                  DIV SRC RATE:     0.1012268200","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 1,844.0500         WTH: 275.1500","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","","","18,217.0000","0.1012268200","0.00","1,568.90","1,844.05","(275.1500)","","18,902.58","1,568.90","23,744.09","12,371.74","1,026.85","15,540.51","","","","","","","DEXUS","DEXUS","","","","","0.6545000000","Q318A1104","DXS AU","AU000000DXS1","B033YN6","003819970","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566361044","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/01/2025","09/01/2025 04.26.53","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/01/2025","PSS2508251357639","Y","","","","IT","INTEREST","RC","533","Interest Distribution","PSS #: 2508251357639  UNITS/QNTY: 18,217.0000","SEDOL #: B033YN6  ISIN #: AU000000DXS1  EVENT ID: 1566361044","DESC : DEXUS                  DIV SRC RATE:     0.0289297800","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG29","CCY: AUD  GRSS: 527.0100           WTH: 52.7000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","06/27/2025","08/29/2025","","06/30/2025","","","18,217.0000","0.0289297800","0.00","474.31","527.01","(52.7000)","","18,902.58","474.31","23,744.09","12,371.74","310.44","15,540.51","","","","","","","DEXUS","DEXUS","","","","","0.6545000000","Q318A1104","DXS AU","AU000000DXS1","B033YN6","003819970","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","1566361044","","","","","AUD","139473","000000139473","0.00","0.00","0.00","08/29/2025","08/29/2025 14.37.49","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/02/2025","P25082920076-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508281135501","SEDOL #: 6161978  ISIN #: AU000000MGR9  PSS #: 2508281135501","DESC : MIRVAC GRO STAPLED SEC DIV SRC RATE:     0.0174830000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG28","CCY: AUD  GRSS: 1,181.5000         WTH: 0.0000","FX CONFIRM:P250829-20076 FXRT:0.6535576300  FXVD: 02SEP25 M","08/29/2025","09/02/2025","","","","","772.1800","0.6535576000","","","","","","23,744.09","(1,181.50)","20,974.13","15,540.51","(773.29)","13,727.57","300000154","PSS FOR FX 1","","300000154","PSS FOR FX 1","","","","","","","","0.6545000000","","","","","","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","08/29/2025","08/29/2025 11.04.13","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/02/2025","P25082920070-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508281135479","SEDOL #: 6161978  ISIN #: AU000000MGR9  PSS #: 2508281135479","DESC : MIRVAC GRO STAPLED SEC DIV SRC RATE:     0.0001820000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25AUG28","CCY: AUD  GRSS: 12.3000            WTH: 1.2300","FX CONFIRM:P250829-20070 FXRT:0.6536076000  FXVD: 02SEP25 M","08/29/2025","09/02/2025","","","","","7.2400","0.6536076000","","","","","","23,744.09","(11.07)","20,974.13","15,540.51","(7.25)","13,727.57","300000154","PSS FOR FX 1","","300000154","PSS FOR FX 1","","","","","","","","0.6545000000","","","","","","","","","","09/01/2025","09/15/2025","09/01/2025","08:02:50 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","08/29/2025","08/29/2025 11.04.13","","","5829291047","","","","","","","",""
