"Posted Cash - Statement"
"From Date: 05-Aug-2025 To Date: 05-Aug-2025"
"Run ID: S-691-928-365"

"Account Number (Balance)","Cash Balance Posted Date","Cash Account CCY Code","Cash Account Number (Balance)","Transaction Group Description","Cash Opening Balance","Cash Closing Balance","Transaction Group Amount","Account Name (Balance)","Branch Code","Branch Name","DGSD Eligible"
"G 26763","2025-08-05","USD","0728426763"," ","-372839.80","86710.63","","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","MISCELLANEOUS CASH","","","331576.62","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","PRINCIPAL & INCOME","","","21133.99","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","PURCHASES","","","-318015.71","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-05","USD","0728426763","SALES","","","424855.53","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794"," ","-1060142.10","43007.36","","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","MISCELLANEOUS CASH","","","292933.96","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","PRINCIPAL & INCOME","","","65768.34","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","PURCHASES","","","-371228.14","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-05","USD","0728426794","SALES","","","1115675.30","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""

 
 
"Posted Cash - Detail"
"From Date: 05-Aug-2025 To Date: 05-Aug-2025"
"Run ID: S-691-928-365"

"Cash Account Number","Posted Date","Transaction Group Description","Account Number","Security Name","Transaction Number","Transaction Category Description","Transaction Status Description","Account Name","Cash Account Name","Cash Account CCY Code","Linked Custody Account","Location/Nominee Code","Location/Nominee Name","Reg./Sub Acct Code","Reg./Sub Acct Name","ASDA/CSDA","Collection Status Description","Customer Reference 1","Customer Reference 2","Income Reference","Transaction Type Description","Asset Type Description","Asset Category Description","Security ID","Coupon Rate","Maturity Date","Pool Number","ISIN","Ticker","Units","Current Face","Price","Gross Amount","Gross Amount CCY Code","Principal Amount","Income Amount","Commission","Commission CCY Code","Other Charges","UK Withholding Tax","UK Withholding Tax CCY Code","Non UK Withholding Tax","Non UK Withholding Tax CCY Code","Source Tax/NRA","Source Tax/NRA CCY Code","Net Amount","Exchange Rate","Trade Date","Contractual S/D","Autosettle Date","Ex Date","Record Date","Payable Date","Value Date","Last Update Date","Last Update Time","Dividend/Interest Rate","UK Withholding Rate","Non UK Withholding Rate","Source Tax/NRA Rate","Factor","Previous Factor","Principal MOF","Interest MOF","Trading Broker Number","Trading Broker Name","Clearing Broker Number","Clearing Broker Name","Additional Information","Bank Reference Number","By Order Of","Sending/Receiving Bank","OCC ID","S and P CUSIP","NIL Payment/Unknown Rate","Branch Code","Branch Name","DGSD Eligible"
"0728426763","2025-08-05","MISCELLANEOUS CASH","G 26763","REALIZED G/L FUTURFUTURES CONTRACTS","T325217FBH0","MISCELLANEOUS RECEIPT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","","","CASH CREDIT FOR SALE","SEALED ENVELOPES","NON-SECURITIES ASSETS","993300037","","","","US9933000377","","0.0000000","0.0000000","0.0000000","0.00","","307522.70","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","307522.70","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","15:36:26","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","TO OFFSET T325217FBH0 0123816217FC FROM HSBC BANK USA 0021000021 JPMORGAN CHASE BANK IMAD: 0050852217KB 00000009009000127 PENSION TRUST REALIZED G/L FUTURFUTURES CONTRACTS D0B7FBFF-5 MARGIN","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","MISCELLANEOUS CASH","G 26763","","T325217CAQ3","MISCELLANEOUS RECEIPT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","CJ73EHVGN","","SUBSCRIPTION TO FUND","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","24053.92","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","24053.92","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","08:36:31","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","SUBSCRIPTION MC S P 500 INDE","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PRINCIPAL & INCOME","G 26763","NYLI US GOVERNMENT LIQUIDITY FUND OPEN-END FUND USD","T325217ERH3","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","CREDITED","","DIV 002795834","","CASH CREDIT FOR DIVIDENDS","OPEN END MUTUAL FUNDS EQUITY","MUTUAL FUNDS & UITS","56064L488","0.000000","","","US56064L4885","MUSXX","0.0000000","0.0000000","0.0000000","0.00","","0.00","101.59","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","101.59","","","2025-08-05","","","","","2025-08-05","2025-08-05","12:49:51","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PRINCIPAL & INCOME","G 26763","PNC FINANCIAL SERVICES GROUP INC/THE COMMON STOCK USD 5","A225217ANWS","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","196175200064","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","693475105","","","","US6934751057","PNC","12372.0000000","","0.0000000","21032.40","USD","0.00","21032.40","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","21032.40","","","","","2025-07-15","2025-07-15","2025-08-05","2025-08-05","2025-08-05","17:27:26","1.70000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","08/05/25 DIVIDEND PYMT AT 1.700000","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PURCHASES","G 26763","BLOCK INC COMMON STOCK USD 0.000001","TQK262VL","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957951","A957951","","PURCHASE/BUY","COMMON STOCK","COMMON STOCK","852234103","","","","US8522341036","XYZ","522.0000000","","74.8884000","0.00","","-39091.74","0.00","3.91","USD","0.00","0.00"," ","0.00"," ","0.00"," ","-39095.65","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","10:50:21","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PURCHASES","G 26763","CHEVRON CORP COMMON STOCK USD 0.75","TQK263WD","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957947","A957947","","PURCHASE/BUY","COMMON STOCK","COMMON STOCK","166764100","","","","US1667641005","CVX","293.0000000","","150.2632000","0.00","","-44027.12","0.00","4.40","USD","0.00","0.00"," ","0.00"," ","0.00"," ","-44031.52","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","06:07:48","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PURCHASES","G 26763","SYNOPSYS INC COMMON STOCK USD 0.01","TQK263WY","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957939","A957939","","PURCHASE/BUY","COMMON STOCK","COMMON STOCK","871607107","","","","US8716071076","SNPS","14.0000000","","628.7000000","0.00","","-8801.80","0.00","0.88","USD","0.00","0.00"," ","0.00"," ","0.00"," ","-8802.68","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","06:07:53","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PURCHASES","G 26763","UNITED STATES OF AMERICA BILL ZERO CPN 23/SEP/2025 USD 100","TQK38DJ2","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","FRB","FEDERAL RESERVE BANK","FBE","FBE","","","A957990","A957990","","RECEIVE VS PAYMENT","US TREASURY BILL","US GOVERNMENT AND AGENCIES DEBT","912797QV2","0.000000","2025-09-23","","US912797QV24","","200000.0000000","0.0000000","99.4214600","0.00","","-198842.92","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-198842.92","","2025-08-05","2025-08-05","","","","","2025-08-05","2025-08-05","11:09:05","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","00773","BANK OF AMERICA SECURITIES, INC.","00901","BANK OF NEW YORK","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","PURCHASES","G 26763","VERISIGN INC COMMON STOCK USD 0.001","TQK264D9","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957943","A957943","","PURCHASE/BUY","COMMON STOCK","COMMON STOCK","92343E102","","","","US92343E1029","VRSN","103.0000000","","264.4682000","0.00","","-27240.22","0.00","2.72","USD","0.00","0.00"," ","0.00"," ","0.00"," ","-27242.94","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","06:07:53","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-05","SALES","G 26763","ALPHABET INC COMMON STOCK USD 0.001","TQK263WG","SALE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","","","A957914","A957914","","SALE","COMMON STOCK","COMMON STOCK","02079K107","","","","US02079K1079","GOOG","10.0000000","","195.0100000","0.00","","1950.10","0.00","0.20","USD","0.00","0.00"," ","0.00"," ","0.00"," ","1949.90","","2025-08-04","2025-08-05","","","","","2025-08-05","2025-08-05","04:25:08","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","06826","INSTINET","00067","INSTINET, LLC","","","","","","","","TN4","JPMCBNA",""
