,row,column,value,cusip_row,cusip_column
1,AAL,AMR,-0.10925003924861214,02376R102,020764106 21241B100
4,AAN,PRG,0.1422419432414366,00258W108,002535300 74319R101 00258R109
40,AGM,AGM.A,0.33380334147525925,313148306,313148108
41,AGM.A,AGM,0.33380334147525925,313148108,313148306
85,AMR,AAL,-0.10925003924861214,020764106 21241B100,02376R102
98,AOUT,SWBI,0.035415734116010025,02875D109,831754106 831756101 02874P103
106,ARC,HTH,0.06042069571895488,00191G103 029263100,432748101 008273104
117,ARKO,HYAC,-0.05018375774187987,041242108 42087L101 42087L200,G4375F108
132,ASRV,USB,-0.018718918484725632,03074A102 917292104,902973304 33763V109 319279105 319279501 855083101
174,BATRA,FWONA,0.09427070700383558,047726104,531229870 531229102 531229771
175,BATRA,FWONK,0.19620235894418286,047726104,531229854
176,BATRA,LSXMA,0.2698527733444107,047726104,531229409
194,BELFA,BELFB,0.7096583547379279,077347201 077347102,077347300
195,BELFB,BELFA,0.7096583547379279,077347300,077347201 077347102
198,BF.A,BF.B,0.9323450520602322,115637100,115637209
199,BF.B,BF.A,0.9323450520602322,115637209,115637100
205,BH,BH.A,0.5267486804285149,08986R101 08986R309 857873103 209798107 857873202,08986R408
206,BH,COP,0.07569775792292378,08986R101 08986R309 857873103 209798107 857873202,20825C104 718507106
207,BH.A,BH,0.5267486804285149,08986R408,08986R101 08986R309 857873103 209798107 857873202
209,BH.A,COP,0.05602961986511811,08986R408,20825C104 718507106
216,BIO,BIO.B,-0.11616594912796094,090572207,090572108
217,BIO.B,BIO,-0.11616594912796094,090572108,090572207
244,BRK.A,BRK.B,0.92010330010833,084670108,084670702 084670207
245,BRK.B,BRK.A,0.92010330010833,084670702 084670207,084670108
254,BW,MTRN,0.08145516089370478,05614L100 05614L209,576690101 117421107
284,CCL,CUK,0.8915732640576223,143658300 143658102,14365C103 693070104
293,CENT,CENTA,0.9712151522857843,153527106,153527205
294,CENTA,CENT,0.9712151522857843,153527205,153527106
351,COGT,FLNT,0.06667188069842636,19240Q201 903214104 19240Q102,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205
357,COP,BH,0.07569775792292378,20825C104 718507106,08986R101 08986R309 857873103 209798107 857873202
358,COP,BH.A,0.05602961986511811,20825C104 718507106,08986R408
371,CRD.A,CRD.B,0.6572089480989023,224633206,224633107
372,CRD.B,CRD.A,0.6572089480989023,224633107,224633206
391,CUK,CCL,0.8915732640576223,14365C103 693070104,143658300 143658102
399,CWEN,CWEN.A,0.9693354381867596,18539C204 62942X405 62942X108,62942X306 18539C105 62942X108
400,CWEN.A,CWEN,0.9693354381867596,62942X306 18539C105 62942X108,18539C204 62942X405 62942X108
418,DD,DOW,0.3251399342543252,26614N102 26078J100 260543103 913353108 256592106,260557103
423,DGICA,DGICB,0.19660474403758685,257701201 257701102,257701300
424,DGICB,DGICA,0.19660474403758685,257701300,257701201 257701102
437,DOW,DD,0.3251399342543252,260557103,26614N102 26078J100 260543103 913353108 256592106
450,DWSN,TGE,0.10629340808965067,239360100 872417308 872417100,874696107
467,ENR,EPC,0.23458523974493203,29272W109,28035Q102 29266R108
476,EPC,ENR,0.23458523974493203,28035Q102 29266R108,29272W109
480,EPM,GTM,0.36085060128180113,30049A107 756048104 756048203 63887P100 756048500,98980F104
486,ESBA,FISK,0.2298339321195401,292102100,292102308
487,ESBA,OGCP,0.23928628465022725,292102100,292102209
525,FISK,ESBA,0.2298339321195401,292102308,292102100
527,FISK,OGCP,0.11406659610791742,292102308,292102209
530,FLNT,COGT,0.06667188069842636,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205,19240Q201 903214104 19240Q102
542,FOX,FOXA,0.9395201081408843,35137L204,35137L105
543,FOX,NWS,0.05685479038189003,35137L204,65249B208
544,FOX,NWSA,0.010346331326705767,35137L204,65249B109
546,FOXA,FOX,0.9395201081408843,35137L105,35137L204
548,FOXA,NWS,0.0669999144619376,35137L105,65249B208
549,FOXA,NWSA,0.0393365953752363,35137L105,65249B109
565,FWONA,BATRA,0.09427070700383558,531229870 531229102 531229771,047726104
567,FWONA,FWONK,0.8936323684136992,531229870 531229102 531229771,531229854
568,FWONA,LSXMA,0.07856107418105385,531229870 531229102 531229771,531229409
570,FWONK,BATRA,0.19620235894418286,531229854,047726104
571,FWONK,FWONA,0.8936323684136992,531229854,531229870 531229102 531229771
573,FWONK,LSXMA,0.3219851479536497,531229854,531229409
588,GEF,GEF.B,0.6768994577223205,397624107,397624206
589,GEF.B,GEF,0.6768994577223205,397624206,397624107
600,GIG,GIGGU,0.9036994763356172,37518G101,37518G200
602,GIGGU,GIG,0.9036994763356172,37518G200,37518G101
625,GOOG,GOOGL,0.9870884077328443,02079K107 38259P706,02079K305 38259P508
626,GOOGL,GOOG,0.9870884077328443,02079K305 38259P508,02079K107 38259P706
639,GTM,EPM,0.36085060128180113,98980F104,30049A107 756048104 756048203 63887P100 756048500
642,GTN,GTN.A,0.14508252569051322,389375106 389190208 389190109,389375205
643,GTN.A,GTN,0.14508252569051322,389375205,389375106 389190208 389190109
656,HEI,HEI.A,0.9362297107981952,422806109,422806208
657,HEI.A,HEI,0.9362297107981952,422806208,422806109
688,HTH,ARC,0.06042069571895488,432748101 008273104,00191G103 029263100
695,HVT,HVT.A,0.20587442257087557,419596101,419596200
696,HVT.A,HVT,0.20587442257087557,419596200,419596101
702,HYAC,ARKO,-0.05018375774187987,G4375F108,041242108 42087L101 42087L200
747,IR,TT,-0.00998882253014144,45687V106 36555P107,G8994E103 G47791101 G4776G101 456866102
772,KELYA,KELYB,0.045945194502814556,488152208,488152307
773,KELYB,KELYA,0.045945194502814556,488152307,488152208
805,LBRDA,LBRDK,0.8885093169249548,530307107,530307305
807,LBRDK,LBRDA,0.8885093169249548,530307305,530307107
810,LBTYA,LBTYB,0.24035694289580958,G5480U104 G61188101 530555101 530719103 530719202,G5480U112 530555200
811,LBTYA,LBTYK,0.82292121754914,G5480U104 G61188101 530555101 530719103 530719202,G5480U120 530555309
812,LBTYA,LILA,0.22496196314067465,G5480U104 G61188101 530555101 530719103 530719202,G9001E102 G5480U138
813,LBTYA,LILAK,0.24588830474214737,G5480U104 G61188101 530555101 530719103 530719202,G5480U153 G9001E128
814,LBTYB,LBTYA,0.24035694289580958,G5480U112 530555200,G5480U104 G61188101 530555101 530719103 530719202
816,LBTYB,LBTYK,0.30820618417892753,G5480U112 530555200,G5480U120 530555309
817,LBTYB,LILA,0.013231111852657735,G5480U112 530555200,G9001E102 G5480U138
818,LBTYB,LILAK,0.016676379266168353,G5480U112 530555200,G5480U153 G9001E128
819,LBTYK,LBTYA,0.82292121754914,G5480U120 530555309,G5480U104 G61188101 530555101 530719103 530719202
820,LBTYK,LBTYB,0.30820618417892753,G5480U120 530555309,G5480U112 530555200
822,LBTYK,LILA,0.15233983752051206,G5480U120 530555309,G9001E102 G5480U138
823,LBTYK,LILAK,0.2039019652230668,G5480U120 530555309,G5480U153 G9001E128
832,LEN,LEN.B,0.9381953113482885,526057104,526057302
833,LEN.B,LEN,0.9381953113482885,526057302,526057104
844,LILA,LBTYA,0.22496196314067465,G9001E102 G5480U138,G5480U104 G61188101 530555101 530719103 530719202
845,LILA,LBTYB,0.013231111852657735,G9001E102 G5480U138,G5480U112 530555200
846,LILA,LBTYK,0.15233983752051206,G9001E102 G5480U138,G5480U120 530555309
848,LILA,LILAK,0.9678589405185947,G9001E102 G5480U138,G5480U153 G9001E128
849,LILAK,LBTYA,0.24588830474214737,G5480U153 G9001E128,G5480U104 G61188101 530555101 530719103 530719202
850,LILAK,LBTYB,0.016676379266168353,G5480U153 G9001E128,G5480U112 530555200
851,LILAK,LBTYK,0.2039019652230668,G5480U153 G9001E128,G5480U120 530555309
852,LILAK,LILA,0.9678589405185947,G5480U153 G9001E128,G9001E102 G5480U138
877,LSXMA,BATRA,0.2698527733444107,531229409,047726104
878,LSXMA,FWONA,0.07856107418105385,531229409,531229870 531229102 531229771
879,LSXMA,FWONK,0.3219851479536497,531229409,531229854
896,MBOT,STEM,0.04166460403776356,85857R204 59503A204 59503A105 85857R303 85857R105 232923102,85859N102 855185104
925,MKC,MKC.V,0.7108326792442351,579780206,579780107
926,MKC.V,MKC,0.7108326792442351,579780107,579780206
929,MLAC,MLACU,0.884640477289864,G5859B117,G5859B125
930,MLACU,MLAC,0.884640477289864,G5859B125,G5859B117
938,MOG.A,MOG.B,0.10211302030274513,615394202,615394301
939,MOG.B,MOG.A,0.10211302030274513,615394301,615394202
959,MTRN,BW,0.08145516089370478,576690101 117421107,05614L100 05614L209
971,NAVI,SLM,0.33850398130337894,63938C108,78442P106 78442A109 90390U102
987,NHIC,NHICU,0.7740930087558311,651448102,651448201
988,NHICU,NHIC,0.7740930087558311,651448201,651448102
1022,NWS,FOX,0.05685479038189003,65249B208,35137L204
1023,NWS,FOXA,0.0669999144619376,65249B208,35137L105
1025,NWS,NWSA,0.8247243740263661,65249B208,65249B109
1026,NWSA,FOX,0.010346331326705767,65249B109,35137L204
1027,NWSA,FOXA,0.0393365953752363,65249B109,35137L105
1028,NWSA,NWS,0.8247243740263661,65249B109,65249B208
1040,OGCP,ESBA,0.23928628465022725,292102209,292102100
1041,OGCP,FISK,0.11406659610791742,292102209,292102308
1081,PAR,PTC,-0.00034350944277354036,698884103,69370C100 699173209 699173100
1093,PCT,PCTTU,0.10260824285305889,74623V103 778675108,778675207 74623V202
1094,PCTTU,PCT,0.10260824285305889,778675207 74623V202,74623V103 778675108
1105,PHGE,PHGE.U,0.22848215821771453,09090D103 09090D301 15957A108,15957A207 09090D202
1106,PHGE.U,PHGE,0.22848215821771453,15957A207 09090D202,09090D103 09090D301 15957A108
1131,PRG,AAN,0.1422419432414366,002535300 74319R101 00258R109,00258W108
1144,PTC,PAR,-0.00034350944277354036,69370C100 699173209 699173100,698884103
1169,RDI,RDIB,0.10818696640410301,755408101 172862104 172862302 172862203,755408200
1170,RDIB,RDI,0.10818696640410301,755408200,755408101 172862104 172862302 172862203
1203,RUSHA,RUSHB,0.6467098847707329,781846209 781846100,781846308
1204,RUSHB,RUSHA,0.6467098847707329,781846308,781846209 781846100
1224,SENEA,SENEB,0.139681445024191,817070501 817070709,817070105
1225,SENEB,SENEA,0.139681445024191,817070105,817070501 817070709
1250,SLM,NAVI,0.33850398130337894,78442P106 78442A109 90390U102,63938C108
1300,STEM,MBOT,0.04166460403776356,85859N102 855185104,85857R204 59503A204 59503A105 85857R303 85857R105 232923102
1316,SWBI,AOUT,0.035415734116010025,831754106 831756101 02874P103,02875D109
1328,TACO,TACOU,0.8956189084019823,245496104 52748T104,52748T203
