,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Agricultural, Timber, Packaging & Building Materials",Automobiles & Auto Components,Banks,Capital Goods,Capital Markets,Chemicals,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy Equipment & Services,Food & Staple Retailing,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Healthcare Equipment & Services,Household & Personal Products,Insurance,Internet Retail & Consumer Electronics,Media,Metals & Mining,Oil & Gas E&P,"Oil, Gas & Consumable Fuels","Pharmaceuticals, Biotechnology & Life Sciences",REIT,Real Estate Services,Retailing,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecom Services,Transportation,Utilities,cusip,issuer,permno,residual,PredictedBeta,PredictedVolatility
A,-0.16636880799034548,-0.24888507500189272,-0.23937086647853942,0.052066603508341004,0.07693105140651356,-0.1835277551033317,-0.39817847962110714,0.47281149461372396,-0.2595255686458012,0.44216454380531856,0.7561034961631271,-0.33652828272464813,-0.9239650036861722,0.5553770828925427,0.07623863813181282,-0.9733606866083132,-0.0438630365838903,-0.049065527328867306,-0.5441859940589577,-0.5328986747023585,-0.1153591389173027,-0.7242793593930658,-0.5012066216488943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00846U101,AGILENT TECHNOLOGIES INC,196290,0.015588290520180393,0.8972093911079967,0.2484159050083342
AA,1.4819362606424624,2.5217955714647178,0.6766413671429924,2.066188614524665,0.4624272263995765,1.0362441311895767,-0.6438870194036952,0.1458606720988865,-0.11438721469862644,0.04426513557810598,-0.22171705240401832,-0.8923269413179387,1.8746766804728683,0.06091075308493094,-0.2405627084106754,0.5077168537679496,-0.699459905903338,0.10721642748517235,-0.43350261475904933,1.4279094123497282,2.090033025071546,1.8685018896263133,0.8375326532812392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,013872106,ALCOA CORP,124392,0.06810112431470228,1.7449659855291775,0.4888904716906463
AACB,-1.8474549096090591,0.0,0.0,-1.7719341574386096,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.1238103004399331,-1.66484715745806,-1.122391701816847,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01853E204,Alliance Atlantis Communications Inc,120720,0.011910709123578415,0.3136157402987278,0.1797500818245787
AACBU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27928128411816633,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.1238103004399331,-1.66484715745806,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ARTIUS II ACQUISITION INC,643632,0.02739263015057102,0.3873089843251744,0.21771080023514278
AACG,-0.6018040203961275,-0.2877717308283411,3.0,-2.121282202999484,0.0,0.0,1.2287203076131534,-1.6854143292562087,0.2256140909653464,-2.6746863700460795,-2.402403920018904,1.6481191886170115,1.8062843831441089,0.09928154724742724,0.0,-0.0,1.3316480042550816,1.1249348876778609,-0.763973357916018,2.603932284303413,-1.5194152373093548,1.188397427333517,1.3014072864779669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00211V106,ATA Creativity Global,189031,0.6657274365172474,0.5082430540860075,0.8407914342210464
AACI,-1.058395157741867,0.0,-0.6829379032248972,0.0,0.0,0.0,0.0,-0.035041174654360574,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-0.0,-0.0,0.0,-1.054558143818064,2.603932284303413,-0.23649399307258367,-1.067322300769178,1.3014072864779669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04208V103,ARMADA ACQUISITION CORP I,635984,0.03622750421474979,1.0825209215983933,0.30688978843986536
AACIU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28458352999988346,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.49896881854548586,-1.66484715745806,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04208V202,ARMADA ACQUISITION CORP I,636675,0.021022013683750954,0.4410458857083879,0.2042776649746901
AACIW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282890570581642,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.603932284303413,-1.66484715745806,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04208V111,ARMADA ACQUISITION CORP I,636691,,0.7328932150190178,0.28843164124820314
AACT,-1.11845243035703,0.0,-0.6829379032248972,-0.431263975004036,-1.3914124557774137,-1.633140894150033,0.23644288564797714,-0.22096983464638684,0.0,-2.8974043848805326,-0.5578682308754314,0.0,0.0,0.2781478567059583,-0.7439769895994212,-0.0,0.21586766222124915,-1.5682769919273563,-1.054558143818064,-1.1238103004399331,-1.66484715745806,-0.886695785790571,1.3014072864779669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G33033104,ARES ACQUISITION CORP II,639941,0.019959159647252915,0.38939123065581743,0.2107762128563186
AACT.WS,0.0,0.0,0.0,0.0,0.0,0.0,2.164229023545116,0.2668735011155477,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.603932284303413,-1.66484715745806,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ARES ACQUISITION CORP II,640130,0.9368538384047902,0.7449960901996057,0.986443780482905
