"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Amount Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading Broker Name","Trading BIC Broker Code","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Number","IAS Consolidated Account Name","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/2025","PSS2508271249268","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508271249268  UNITS/QNTY: 843.0000","SEDOL #: 6198578  ISIN #: AU000000REA9  EVENT ID: 1568408591","DESC : REA GROUP LTD NPV      DIV SRC RATE:     1.3800000000","EX DT: 25AUG28  RECORD DT: 25AUG29  PAY DT: 25SEP12","CCY: AUD  GRSS: 1,163.3400         WTH: 0.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/28/2025","09/12/2025","","08/29/2025","09/12/2025","09/12/2025","843.0000","1.3800000000","0.00","1,163.34","1,163.34","","","6,644.47","1,163.34","1,163.97","4,417.58","773.45","773.87","","","","","","","REA GROUP LTD NPV","REA GROUP LTD NPV","","","","","0.6648500000","Q8051B108","REA AU","AU000000REA9","6198578","001023132","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1568408591","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/11/2025 14.47.58","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/2025","P25091005172-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141993","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.0107820000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 239.6400           WTH: 23.9600","FX CONFIRM:P250910-05172 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/2025","09/12/2025","","","09/12/2025","09/12/2025","142.3700","0.6601037000","","","","","","6,644.47","(215.68)","1,163.97","4,417.58","(143.39)","773.87","300000155","PSS FOR FX 2","","300000155","PSS FOR FX 2","","","","","","","","0.6648500000","","","","","","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","09/10/2025","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/2025","P25091005171-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141992","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.2245220000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 4,990.2300         WTH: 0.0000","FX CONFIRM:P250910-05171 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/2025","09/12/2025","","","09/12/2025","09/12/2025","3,294.0700","0.6601037000","","","","","","6,644.47","(4,990.23)","1,163.97","4,417.58","(3,317.75)","773.87","300000155","PSS FOR FX 2","","300000155","PSS FOR FX 2","","","","","","","","0.6648500000","","","","","","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","09/10/2025","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/12/2025","P25091005176-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508201141991","SEDOL #: 6247306  ISIN #: AU000000APA1  EVENT ID: 1566367342","DESC : APA GROUP              DIV SRC RATE:     0.0646960000","EX DT: 25JUN27  RECORD DT: 25JUN30  PAY DT: 25SEP10","CCY: AUD  GRSS: 1,437.9300         WTH: 0.0000","FX CONFIRM:P250910-05176 FXRT:0.6601037000  FXVD: 12SEP25 M","09/10/2025","09/12/2025","","","09/12/2025","09/12/2025","949.1800","0.6601037000","","","","","","6,644.47","(1,437.93)","1,163.97","4,417.58","(956.01)","773.87","300000155","PSS FOR FX 2","","300000155","PSS FOR FX 2","","","","","","","","0.6648500000","","","","","","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","09/10/2025","09/11/2025 14.41.00","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/15/2025","PSS2508291180067","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508291180067  UNITS/QNTY: 9,181.0000","SEDOL #: 6180412  ISIN #: AU000000CPU5  EVENT ID: 1568805999","DESC : COMPUTERSHARE LTD NPV  DIV SRC RATE:     0.4800000000","EX DT: 25AUG19  RECORD DT: 25AUG20  PAY DT: 25SEP15","CCY: AUD  GRSS: 4,406.8800         WTH: 0.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/19/2025","09/15/2025","","08/20/2025","","","9,181.0000","0.4800000000","0.00","4,406.88","4,406.88","","","1,163.97","4,406.88","4,407.51","773.87","2,929.91","2,930.33","","","","","","","COMPUTERSHARE LTD NPV","COMPUTERSHARE LTD NPV","","","","","0.6648500000","Q2721E105","CPU AU","AU000000CPU5","6180412","000241285","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1568805999","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/01/2025","08/29/2025 18.14.16","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/15/2025","P25091126666-05","C=311394738400 D","","","","FX","FOREIGN EXCHANGE","D","368","Sell Spot Foreign Exchange- BNY SI","PSS2508271249268","SEDOL #: 6198578  ISIN #: AU000000REA9  EVENT ID: 1568408591","DESC : REA GROUP LTD NPV      DIV SRC RATE:     1.3800000000","EX DT: 25AUG28  RECORD DT: 25AUG29  PAY DT: 25SEP12","CCY: AUD  GRSS: 1,163.3400         WTH: 0.0000","FX CONFIRM:P250911-26666 FXRT:0.6655004600  FXVD: 15SEP25 M","09/11/2025","09/15/2025","","","","","774.2000","0.6655004000","","","","","","1,163.97","(1,163.34)","4,407.51","773.87","(773.45)","2,930.33","300000155","PSS FOR FX 2","","300000155","PSS FOR FX 2","","","","","","","","0.6648500000","","","","","","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","","","","","","","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/11/2025 14.55.12","","","5829291047","","","","","","","",""
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/16/2025","PSS2508221211058","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2508221211058  UNITS/QNTY: 67,227.0000","SEDOL #: BY7QXS7  ISIN #: AU000000VCX7  EVENT ID: 1569192832","DESC : VICINITY C NPV (STAPLE DIV SRC RATE:     0.0413084000","EX DT: 25AUG25  RECORD DT: 25AUG26  PAY DT: 25SEP16","CCY: AUD  GRSS: 2,777.0400         WTH: 416.5600","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/25/2025","09/16/2025","","08/26/2025","","","67,227.0000","0.0413084000","0.00","2,360.48","2,777.04","(416.5600)","","4,407.51","2,360.48","7,869.00","2,930.33","1,569.37","5,231.70","","","","","","","VICINITY C NPV (STAPLED SECURITY)","VICINITY C NPV (STAPLED SECURITY)","","","","","0.6648500000","Q9395F102","VCX AU","AU000000VCX7","BY7QXS7","030289411","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1569192832","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/12/2025 06.33.02","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/16/2025","PSS2509121127170","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2509121127170  UNITS/QNTY: 67,227.0000","SEDOL #: BY7QXS7  ISIN #: AU000000VCX7  EVENT ID: 1569192832","DESC : VICINITY C NPV (STAPLE DIV SRC RATE:     0.0083307000","EX DT: 25AUG25  RECORD DT: 25AUG26  PAY DT: 25SEP16","CCY: AUD  GRSS: 560.0500           WTH: 0.0000","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/25/2025","09/16/2025","","08/26/2025","","","67,227.0000","0.0083307000","0.00","560.05","560.05","","","4,407.51","560.05","7,869.00","2,930.33","372.35","5,231.70","","","","","","","VICINITY C NPV (STAPLED SECURITY)","VICINITY C NPV (STAPLED SECURITY)","","","","","0.6648500000","Q9395F102","VCX AU","AU000000VCX7","BY7QXS7","030289411","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1569192832","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/12/2025 06.33.02","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/16/2025","PSS2509121127172","Y","","","","DV","DIVIDEND","RC","101","Dividend","PSS #: 2509121127172  UNITS/QNTY: 67,227.0000","SEDOL #: BY7QXS7  ISIN #: AU000000VCX7  EVENT ID: 1569192832","DESC : VICINITY C NPV (STAPLE DIV SRC RATE:     0.0086405500","EX DT: 25AUG25  RECORD DT: 25AUG26  PAY DT: 25SEP16","CCY: AUD  GRSS: 580.8800           WTH: 174.2600","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/25/2025","09/16/2025","","08/26/2025","","","67,227.0000","0.0086405500","0.00","406.62","580.88","(174.2600)","","4,407.51","406.62","7,869.00","2,930.33","270.34","5,231.70","","","","","","","VICINITY C NPV (STAPLED SECURITY)","VICINITY C NPV (STAPLED SECURITY)","","","","","0.6648500000","Q9395F102","VCX AU","AU000000VCX7","BY7QXS7","030289411","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1569192832","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/12/2025 06.33.02","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
"139473","NYLI CANDRIAM ESG INTL EQUITY ETF","1394730360","NYLI CANDRIAM ESG INTL EQUITY ETF","","","","USD","UNITED STATES DOLLAR","AUD","AUSTRALIAN DOLLAR","11","BRU","09/16/2025","PSS2509121127171","Y","","","","IT","INTEREST","RC","533","Interest Distribution","PSS #: 2509121127171  UNITS/QNTY: 67,227.0000","SEDOL #: BY7QXS7  ISIN #: AU000000VCX7  EVENT ID: 1569192832","DESC : VICINITY C NPV (STAPLE DIV SRC RATE:     0.0022203500","EX DT: 25AUG25  RECORD DT: 25AUG26  PAY DT: 25SEP16","CCY: AUD  GRSS: 149.2700           WTH: 14.9300","AMOR BAL: 0.0000          PRFC: 0.0000      CUFC: 0.0000","08/25/2025","09/16/2025","","08/26/2025","","","67,227.0000","0.0022203500","0.00","134.34","149.27","(14.9300)","","4,407.51","134.34","7,869.00","2,930.33","89.32","5,231.70","","","","","","","VICINITY C NPV (STAPLED SECURITY)","VICINITY C NPV (STAPLED SECURITY)","","","","","0.6648500000","Q9395F102","VCX AU","AU000000VCX7","BY7QXS7","030289411","","","","","09/12/2025","09/26/2025","09/12/2025","08:03:11 AM EDT (GMT -4:00)","","","","1569192832","","","","","AUD","139473","000000139473","0.00","0.00","0.00","09/12/2025","09/12/2025 06.33.02","C","Contractual Cash","5829291047","","","","","","AUD","AUD","EQUITIES"
