"Account Number","Account Name","Cash Account Number","Cash Account Name","Sweep Vehicle Number","Sweep Vehicle Name","Account Group","Reporting Currency Code","Reporting Currency Name","Local Currency Code","Local Currency Name","Location Code","Location Name","Cash Reporting Date","Reference Number","Client Reference Number","Related Reference","Tax Code","Tax Code Description","Transaction Type Code","Transaction Type","Main Transaction Code","Sub Transaction Code","Detailed Transaction Type Name","Transaction Description 1","Transaction Description 2","Transaction Description 3","Transaction Description 4","Transaction Description 5","Transaction Description 6","Trade / Ex Date","Settle / Pay Date","Actual Settle Date","Record Date","Cash Post Date","Cash Value Date","Shares/Par","Local Price/Rate","Local Principal Amount","Local Income Amount","Gross Amount","Source Tax Withheld Amount","Bank Tax Withheld Amount","Opening Balance Local","Transaction Activity Local","Closing Balance Local","Opening Balance Reporting Equivalent","Transaction Amount Reporting Equivalent","Closing Balance Reporting Equivalent","Trading Broker Code","Trading BIC Broker Code","Trading Broker Name","Clearing Broker Code","Clearing Broker Name","Clearing BIC Broker Code","Security Short Description","Security Description 1","Security Description 2","Security  Description 3","Security Description 4","Security Description 5","Exchange Rate","CUSIP/CINS","TICKER","ISIN","SEDOL","VALOREN","SICOVAM","WPK","QUICK","Wire Reference Number","Begin Date","End Date","Report Run Date","Report Run Time","Current Factor","Previous Factor","Amortized Units","Event ID","Flat Tax %","Flat Tax Amount","Solidarity %","Solidarity Amount","Flat Tax Currency","Account - GSP","Extended Account","Opening STIF Balance","STIF Transaction Amount","Closing STIF Balance","Create Date","Last Updated","Contractual Indicator Code","Settlement Policy","CID","IAS Account Number","IAS Account Name","IAS Consolidated Account Name","IAS Consolidated Account Number","GFC Indicator","Issue Currency Code","Accrual Currency Code","Asset Category"
"212156","NYLI MERGER ARBITRAGE ETF","2121568400","NYLI MERGER ARBITRAGE ETF","","","","USD","UNITED STATES DOLLAR","USD","UNITED STATES DOLLAR","31","NYG","09/12/25","1252520563104","A960681","","","","S","SELL","SE","101","Sale","INSUFFICIENT SECURITIES","N","SEDOL #: 2669272  ISIN #: CA6979001089","DESC : PAN AMERN SILVER CORP NPV","BROKER : BOFA SECURITIES INC                 ADEL DT:","","09/03/25","09/04/25","","","","","-126060.000000","24.4827","5244855.37","","","","","-1439720.890000","5240099.53","11828945.180000","-1439720.890000","5240099.530000","11828945.180000","161","","MERRILL LYNCH PIERCE FENNER &","161","MERRILL LYNCH PIERCE FENNER &","","PAN AMERN SILVER CORP NPV","PAN AMERN SILVER CORP NPV","","","","","1.000000","697900108","PAAS CN","CA6979001089","2669272","000696996","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","212156","000000212156","0","0","0","09/09/25","09/09/2025 20.01.14","N","Actual","5829290091","","","","","Not Applicable","USD","USD","EQUITIES"
"212156","NYLI MERGER ARBITRAGE ETF","2121568400","NYLI MERGER ARBITRAGE ETF","","","","USD","UNITED STATES DOLLAR","USD","UNITED STATES DOLLAR","31","NYG","09/12/25","1252540510683","A961758","","","","S","SELL","SE","101","Sale","MATCHING INSTRUCTION NOT FOUND","RAD AWAITING APPROVAL","1252540240143","N","BROKER : CITADEL SECS INST LLC               ADEL DT:","","09/11/25","09/12/25","09/12/25","","09/12/25","09/12/25","-137249.000000","63.13","8664529.37","","","","","-1439720.890000","8661482.44","11828945.180000","-1439720.890000","8661482.440000","11828945.180000","69941000","","CITADEL SECS INST LLC","161","MERRILL LYNCH PIERCE FENNER &","","SKECHERS U S A INC USD 0.001","SKECHERS U S A INC USD 0.001","","","","","1.000000","830566105","SKX US","US8305661055","2428042","000812362","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","212156","000000212156","0","0","0","09/11/25","09/12/2025 01.29.41","N","Actual","5829290091","","","","","Not Applicable","USD","USD","EQUITIES"
"222959","NYLI US LARGE CAP RD LEADERS ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550106255","GLNEKGX1O012003D","MDJ2509120263900","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550094833","","","","","","09/12/25","09/12/25","09/12/25","","","","22.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","LUCID GROUP INC USD 0.0001","LUCID GROUP INC USD 0.0001","","","","","0.000000","549498202","LCID US","US5494982029","BVY4KF9","","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","222959","000000222959","0","0","0","09/12/25","09/12/2025 05.02.27","N","Actual","5829291092","","","","","Not Applicable","USD","USD","EQUITIES"
"240413","NYLI CANDRIAM ESG US MID CAP ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550106390","GLNEJP9G7021012D","MDJ2509120264089","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550094960","","","","","","09/12/25","09/12/25","09/12/25","","","","1232.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","CHOICE HOTELS INTL INC USD 0.01","CHOICE HOTELS INTL INC USD 0.01","","","","","0.000000","169905106","CHH US","US1699051066","2106780","000701530","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","240413","000000240413","0","0","0","09/12/25","09/12/2025 05.02.29","N","Actual","5829291121","","","","","Not Applicable","USD","USD","EQUITIES"
"240413","NYLI CANDRIAM ESG US MID CAP ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550106436","GLNEKMAIU026010D","MDJ2509120264101","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550094965","","","","","","09/12/25","09/12/25","09/12/25","","","","1603.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","CHOICE HOTELS INTL INC USD 0.01","CHOICE HOTELS INTL INC USD 0.01","","","","","0.000000","169905106","CHH US","US1699051066","2106780","000701530","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","240413","000000240413","0","0","0","09/12/25","09/12/2025 05.02.29","N","Actual","5829291121","","","","","Not Applicable","USD","USD","EQUITIES"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550154361","GLNELE1EM002001D","MDJ2509120400728","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550113124","","","","","","09/12/25","09/12/25","09/12/25","","","","10000.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","ISHARES NATIONAL MUNI BOND ETF","ISHARES NATIONAL MUNI BOND ETF","","","","","0.000000","464288414","MUB US","US4642884146","B24DX21","003398490","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 07.12.53","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550127372","GLNELDZ1N002001D","MDJ2509120318897","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550102768","","","","","","09/12/25","09/12/25","09/12/25","","","","22300.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","ISHARES TR MSCI CHINA ETF","ISHARES MSCI CHINA ETF","","","","","0.000000","46429B671","MCHI US","US46429B6719","B5LX1Z4","012804625","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 06.02.08","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550192292","GLNELE3B0002001D","MDJ2509120483292","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550125554","","","","","","09/12/25","09/12/25","09/12/25","","","","115000.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","ISHARES TR 0-5 YEAR TIPS BD ETF","ISHARES 0-5 YEAR TIPS BOND E","","","","","0.000000","46429B747","STIP US","US46429B7477","B4N6VX2","012112186","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 08.23.56","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550168023","GLNELE29I002001D","MDJ2509120430268","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550117157","","","","","","09/12/25","09/12/25","09/12/25","","","","28000.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","LITMAN GRE IMGP DBI MANAGED FUTURES","LITMAN GRE IMGP DBI MANAGED FUTURES","","","","","0.000000","53700T827","DBMF US","US53700T8273","BNYDNJ5","113673058","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 07.38.52","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
"263076","NYLIHEDGE MULTI STRATEGY TRACK ETF","","","","","","USD","UNITED STATES DOLLAR","USD","","","","","1252550168022","GLNELE29H002001D","MDJ2509120430265","","","SW","SECURITY WITHDRAWAL","LO","20","Agent Loan Open (Free) DF","1252550117156","","","","","","09/12/25","09/12/25","09/12/25","","","","31500.000000","0","","","","","","0.000000","0.00","0.000000","0.000000","0.000000","0.000000","901000","","BANK OF NEW YORK MELLON/CUST","901000","BANK OF NEW YORK MELLON/CUST","","SPDR BLOOMBERG BARCLAYS CONVERTIBLE","SPDR BLOOMBERG BARCLAYS CONVERTIBLE","SECURITIES ETF","","","","0.000000","78464A359","CWB US","US78464A3591","B3Z44V6","004573758","","","","","09/12/25","09/17/25","09/12/25","9:01:27 AM EDT","","","","","","","","","","263076","000000263076","0","0","0","09/12/25","09/12/2025 07.38.52","N","Actual","5829290784","","","","","Not Applicable","USD","USD","EQUITIES"
