IndexIQ Advisors LLC
EOD IQ Funds
Report Date: 9/11/2025 6:30:07 PM
Portfolio,Currency,Quantity,NotionalCost,Price,MarketVal/Notional Val,Ticker,BR,SecType,Underlying Ticker
MNA,USD     ,33620721,0.00,1.0000000000,"33,620,721",@CASHUSD,,CASH           ,@CASHUSD
HFXI,KRW     ,3896,0.00,118900,"463,234,400",000100 KS,,CSKR           ,000100 KS
HFXI,KRW     ,14738,0.00,106600,"1,571,070,800",000270 KS,,CSKR           ,000270 KS
HFXI,KRW     ,27408,0.00,307000,"8,414,256,000",000660 KS,,CSKR           ,000660 KS
HFXI,KRW     ,2288,0.00,473000,"1,082,224,000",000810 KS,,CSKR           ,000810 KS
HFXI,KRW     ,26575,0.00,23750,"631,156,250",003490 KS,,CSKR           ,003490 KS
HFXI,KRW     ,8605,0.00,77000,"662,585,000",003550 KS,,CSKR           ,003550 KS
HFXI,KRW     ,10095,0.00,223000,"2,251,185,000",005380 KS,,CSKR           ,005380 KS
HFXI,KRW     ,4175,0.00,281500,"1,175,262,500",005490 KS,,CSKR           ,005490 KS
HFXI,KRW     ,4734,0.00,145300,"687,850,200",005830 KS,,CSKR           ,005830 KS
HFXI,KRW     ,232724,0.00,73400,"17,081,941,600",005930 KS,,CSKR           ,005930 KS
HFXI,KRW     ,43093,0.00,59300,"2,555,414,900",005935 KS,,CSKR           ,005935 KS
MNA,USD     ,333265,0.00,0.0000000000,,005CVR022,,CSUS           ,005CVR022
HFXI,KRW     ,4072,0.00,198300,"807,477,600",006400 KS,,CSKR           ,006400 KS
HFXI,KRW     ,4676,0.00,188000,"879,088,000",009150 KS,,CSKR           ,009150 KS
HFXI,KRW     ,2998,0.00,423000,"1,268,154,000",009540 KS,,CSKR           ,009540 KS
WRND,KRW     ,52,0.00,423000,"21,996,000",009540 KS,,CSKR           ,009540 KS
WRND,KRW     ,22,0.00,316000,"6,952,000",010120 KS,,CSKR           ,010120 KS
HFXI,KRW     ,274,0.00,914000,"250,436,000",010130 KS,,CSKR           ,010130 KS
HFXI,KRW     ,41312,0.00,22350,"923,323,200",010140 KS,,CSKR           ,010140 KS
WRND,KRW     ,641,0.00,22350,"14,326,350",010140 KS,,CSKR           ,010140 KS
HFXI,KRW     ,21079,0.00,23900,"503,788,100",011200 KS,,CSKR           ,011200 KS
HFXI,KRW     ,4121,0.00,316000,"1,302,236,000",012330 KS,,CSKR           ,012330 KS
HFXI,KRW     ,1708,0.00,1005000,"1,716,540,000",012450 KS,,CSKR           ,012450 KS
HFXI,KRW     ,27503,0.00,37550,"1,032,737,650",015760 KS,,CSKR           ,015760 KS
HFXI,KRW     ,4535,0.00,163500,"741,472,500",018260 KS,,CSKR           ,018260 KS
HFXI,KRW     ,5391,0.00,99800,"538,021,800",021240 KS,,CSKR           ,021240 KS
HFXI,KRW     ,53062,0.00,19730,"1,046,913,260",024110 KS,,CSKR           ,024110 KS
HFXI,KRW     ,6025,0.00,186500,"1,123,662,500",028260 KS,,CSKR           ,028260 KS
HFXI,KRW     ,6436,0.00,39150,"251,969,400",028300 KS,,CSKR           ,028300 KS
HFXI,KRW     ,10694,0.00,132700,"1,419,093,800",033780 KS,,CSKR           ,033780 KS
HFXI,KRW     ,26339,0.00,61000,"1,606,679,000",034020 KS,,CSKR           ,034020 KS
HFXI,KRW     ,62,0.00,11750,"728,500",034220 KS,,CSKR           ,034220 KS
HFXI,KRW     ,4994,0.00,220500,"1,101,177,000",034730 KS,,CSKR           ,034730 KS
HFXI,KRW     ,18626,0.00,59900,"1,115,697,400",035720 KS,,CSKR           ,035720 KS
WRND,KRW     ,322,0.00,59900,"19,287,800",035720 KS,,CSKR           ,035720 KS
HFXI,KRW     ,3111,0.00,90000,"279,990,000",042700 KS,,CSKR           ,042700 KS
HFXI,KRW     ,3244,0.00,290000,"940,760,000",051910 KS,,CSKR           ,051910 KS
HFXI,KRW     ,8378,0.00,172000,"1,441,016,000",068270 KS,,CSKR           ,068270 KS
HFXI,KRW     ,5749,0.00,48600,"279,401,400",086520 KS,,CSKR           ,086520 KS
HFXI,KRW     ,19627,0.00,87700,"1,721,287,900",086790 KS,,CSKR           ,086790 KS
HFXI,KRW     ,4548,0.00,108500,"493,458,000",096770 KS,,CSKR           ,096770 KS
HFXI,KRW     ,1696,0.00,237500,"402,800,000",097950 KS,,CSKR           ,097950 KS
HFXI,HKD     ,148775,0.00,52.2,"7,766,055",1 HK,,CSHK           ,1 HK
IQSI,HKD     ,29701,0.00,8.87,"263,448",101 HK,,CSHK           ,101 HK
IQSI,HKD     ,10614,0.00,52,"551,928",1038 HK,,CSHK           ,1038 HK
HFXI,KRW     ,21916,0.00,117600,"2,577,321,600",105560 KS,,CSKR           ,105560 KS
IQSI,HKD     ,142748,0.00,10.12,"1,444,610",1093 HK,,CSHK           ,1093 HK
HFXI,HKD     ,41536,0.00,118.6,"4,926,170",11 HK,,CSHK           ,11 HK
IQSI,HKD     ,12578,0.00,118.6,"1,491,751",11 HK,,CSHK           ,11 HK
HFXI,HKD     ,113246,0.00,38.04,"4,307,878",1113 HK,,CSHK           ,1113 HK
IQSI,HKD     ,173642,0.00,8.44,"1,465,538",1177 HK,,CSHK           ,1177 HK
HFXI,HKD     ,101324,0.00,27.74,"2,810,728",12 HK,,CSHK           ,12 HK
WRND,HKD     ,2696,0.00,105.2,"283,619",1211 HK,,CSHK           ,1211 HK
HFXI,HKD     ,537218,0.00,75.35,"40,479,376",1299 HK,,CSHK           ,1299 HK
IQSI,HKD     ,189828,0.00,75.35,"14,303,540",1299 HK,,CSHK           ,1299 HK
MNA,HKD     ,7991650,0.00,5.08,"40,597,582",1310 HK,,CSHK           ,1310 HK
HFXI,KRW     ,5228,0.00,126800,"662,910,400",138040 KS,,CSKR           ,138040 KS
WRND,TWD     ,231,0.00,605,"139,755",1519 TT,,CSTW           ,1519 TT
WRND,TWD     ,146,0.00,776,"113,296",1590 TT,,CSTW           ,1590 TT
HFXI,HKD     ,80958,0.00,95.35,"7,719,345",16 HK,,CSHK           ,16 HK
HFXI,JPY     ,52632,0.00,2657.5,"139,869,540",1605 JP,,CSJP           ,1605 JP
IQSI,JPY     ,15006,0.00,2657.5,"39,878,445",1605 JP,,CSJP           ,1605 JP
HFXI,KRW     ,9991,0.00,39900,"398,640,900",161390 KS,,CSKR           ,161390 KS
MNA,USD     ,435560,0.00,0.0000000000,,169CVR016,,CSUS           ,169CVR016
IQSI,HKD     ,102249,0.00,18.65,"1,906,944",175 HK,,CSHK           ,175 HK
HFXI,JPY     ,9793,0.00,10055,"98,468,615",1801 JP,,CSJP           ,1801 JP
IQSI,JPY     ,2839,0.00,10055,"28,546,145",1801 JP,,CSJP           ,1801 JP
HFXI,JPY     ,44918,0.00,2492,"111,935,656",1802 JP,,CSJP           ,1802 JP
IQSI,JPY     ,11567,0.00,2492,"28,824,964",1802 JP,,CSJP           ,1802 JP
HFXI,JPY     ,34692,0.00,2181,"75,663,252",1803 JP,,CSJP           ,1803 JP
IQSI,JPY     ,9536,0.00,2181,"20,798,016",1803 JP,,CSJP           ,1803 JP
IQSI,JPY     ,4480,0.00,2532.5,"11,345,600",1808 JP,,CSJP           ,1808 JP
HFXI,JPY     ,28052,0.00,4538,"127,299,976",1812 JP,,CSJP           ,1812 JP
IQSI,JPY     ,7608,0.00,4538,"34,525,104",1812 JP,,CSJP           ,1812 JP
HFXI,JPY     ,4409,0.00,16415,"72,373,735",1878 JP,,CSJP           ,1878 JP
HFXI,HKD     ,28246,0.00,68.35,"1,930,614",19 HK,,CSHK           ,19 HK
IQSI,HKD     ,6544,0.00,68.35,"447,282",19 HK,,CSHK           ,19 HK
HFXI,HKD     ,77173,0.00,16.7,"1,288,789",1910 HK,,CSHK           ,1910 HK
HFXI,JPY     ,32454,0.00,1751,"56,826,954",1911 JP,,CSJP           ,1911 JP
IQSI,JPY     ,8814,0.00,1751,"15,433,314",1911 JP,,CSJP           ,1911 JP
HFXI,HKD     ,29446,0.00,45.98,"1,353,927",1913 HK,,CSHK           ,1913 HK
HFXI,JPY     ,34800,0.00,5458,"189,938,400",1925 JP,,CSJP           ,1925 JP
IQSI,JPY     ,10098,0.00,5458,"55,114,884",1925 JP,,CSJP           ,1925 JP
HFXI,HKD     ,125077,0.00,20.86,"2,609,106",1928 HK,,CSHK           ,1928 HK
HFXI,JPY     ,42191,0.00,3432,"144,799,512",1928 JP,,CSJP           ,1928 JP
IQSI,JPY     ,10531,0.00,3432,"36,142,392",1928 JP,,CSJP           ,1928 JP
IQSI,HKD     ,30441,0.00,16.48,"501,668",1929 HK,,CSHK           ,1929 HK
HFXI,KRW     ,2036,0.00,473000,"963,028,000",196170 KS,,CSKR           ,196170 KS
IQSI,HKD     ,18358,0.00,21.98,"403,509",1972 HK,,CSHK           ,1972 HK
HFXI,HKD     ,103486,0.00,23.64,"2,446,409",1997 HK,,CSHK           ,1997 HK
IQSI,HKD     ,27436,0.00,23.64,"648,587",1997 HK,,CSHK           ,1997 HK
HFXI,EUR     ,9586,0.00,57.3,"549,278",1CO GR,,CSDE           ,1CO GR
HFXI,HKD     ,93854,0.00,65.75,"6,170,901",2 HK,,CSHK           ,2 HK
HFXI,JPY     ,27653,0.00,1849.5,"51,144,224",2002 JP,,CSJP           ,2002 JP
IQSI,JPY     ,4305,0.00,1849.5,"7,962,098",2002 JP,,CSJP           ,2002 JP
WRND,HKD     ,1307,0.00,92.25,"120,571",2015 HK,,CSHK           ,2015 HK
HFXI,KRW     ,1154,0.00,1036000,"1,195,544,000",207940 KS,,CSKR           ,207940 KS
