"Cash Projections - Statement"
"As Of Date: 11-Sep-2025"
"Run ID: S-693-954-027"

"Cash Account CCY Code","Cash Account Number (Balance)","Account Number (Balance)","Account Name (Balance)","Projected Date","Net Opening Cash Balance","Sweep Balance","Total Settled Amount","Total Projected Amount","Projected Ending Balance","Cash Account Name (Balance)","Settled Purchases","Settled Sales","Settled Securities Lending","Settled Dividend Payments","Settled Interest Payments","Settled Principal Payments","Settled Combined P and I","Settled Maturities/RDM","Settled Corporate Actions","Settled Options/Futures","Settled Miscellaneous","Settled Receipts","Settled Disbursements","Projected Purchases","Projected Sales","Projected Securities Lending","Projected Dividend Payments","Projected Interest Payments","Projected Principal Payments","Projected Combined P and I","Projected Maturities/RDM","Projected Corporate Actions","Projected Options/Futures","Projected Miscellaneous","Projected Receipts","Projected Disbursements","Branch Code","Branch Name"
"AUD","40090440","EUK20","NYLI VP HEDGE MULTI-STRATEGY PORTFO LIO","2025-09-11","0.00","0.00","0.00","0.00","0.00","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","40090440","EUK20","NYLI VP HEDGE MULTI-STRATEGY PORTFO LIO","2025-09-12","0.00","0.00","0.00","0.00","0.00","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","40090440","EUK20","NYLI VP HEDGE MULTI-STRATEGY PORTFO LIO","2025-09-15","0.00","0.00","0.00","0.00","0.00","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","40090440","EUK20","NYLI VP HEDGE MULTI-STRATEGY PORTFO LIO","2025-09-16","0.00","0.00","0.00","0.00","0.00","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","40090440","EUK20","NYLI VP HEDGE MULTI-STRATEGY PORTFO LIO","2025-09-17","0.00","0.00","0.00","0.00","0.00","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","41356095","AIA40","NYLIAC GENERAL ACWI (GIA), 1821","2025-09-11","491.91","0.00","0.00","0.00","491.91","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","41356095","AIA40","NYLIAC GENERAL ACWI (GIA), 1821","2025-09-12","491.91","0.00","0.00","0.00","491.91","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","41356095","AIA40","NYLIAC GENERAL ACWI (GIA), 1821","2025-09-15","491.91","0.00","0.00","0.00","491.91","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","41356095","AIA40","NYLIAC GENERAL ACWI (GIA), 1821","2025-09-16","491.91","0.00","0.00","0.00","491.91","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
"AUD","41356095","AIA40","NYLIAC GENERAL ACWI (GIA), 1821","2025-09-17","491.91","0.00","0.00","0.00","491.91","AUD","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","671","JPMCBNALB"
