"Priced Positions "
"As Of Date: 11-Sep-2025"
"Run ID: S-694-028-869"

"Account Number","Cash Account CCY Code","Cash Account Number","Security Name","Location Nominee Code","Reg./Sub Acct Code","Account Name","Linked Custody Account","Cash Account Name","Last Update Date","Asset Type Description","Asset Category Description","Security ID","ISIN","Ticker","Coupon Rate","Dated Date","Maturity Date","Pool Number","Awaiting Receipt","Awaiting Delivery","In Transit (US)","At Registrar (Glbl)","On Loan","Pledged (US)","Available","Settled Units","Current Face (Settled)","Total Units","Current Face (Total)","Nominal Value","Blocked Quantity","Local Currency","Market Price","Price Date","Settled Market Value (Local)","Total Market Value (Local)","Base Currency","Exchange Rate","Settled Market Value (Base)","Total Market Value (Base)","Factor","Factor Date","Previous Factor","Country Code","Country Description","Location Nominee Name","Reg./Sub Acct Name","Sub Account Type Description","Location/Nominee Country Code","Location/Nominee Country Name","OCC ID","S and P CUSIP","Public CUSIP","Branch Code","Branch Name","DGSD Eligible"
"85756","","","FF GROUP COMMON STOCK EUR 0.3","M59","18N","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","","2023-04-25","EQUITY","COMMON STOCK","B681D63","GRS294003009","FFGRP","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1700.0000000","1700.0000000","","1700.0000000","","0.3000000","0.0000000","EUR","4.8000000","2025-09-11","8160.00","8160.00","USD","1.1727792","9569.88","9569.88","","","","GR","GREECE","BNP Greece","NEW YORK LIFE INSURANCE COMPANY","","GR","GREECE","","","","","",""
"85756","","","MAX ESTATES LTD COMMON STOCK INR 10","296","05G","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","","2023-10-27","EQUITY","COMMON STOCK","BRTZT85","INE03EI01018","MAXESTAT","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","2077260.0000000","2077260.0000000","","2077260.0000000","","10.0000000","0.0000000","INR","439.2500000","2025-09-11","912436455.00","912436455.00","USD","0.0113068","10316716.26","10316716.26","","","","IN","INDIA","JPMCB INDIA","NEW YORK LIFE INSURANCE COMPANY","","IN","INDIA","","","","","",""
"85756","INR","41371915","INDIAN RUPEE","","","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","INR","2025-06-12","CASH","CASH","CASHINR","","","","","","","","","","","","","7891481.0000000","7891481.0000000","","7891481.0000000","","","","INR","","","7891481.00","7891481.00","USD","0.0113068","89227.22","89227.22","","","","","","","","","","","","","","671","JPMCBNALB","N"
"AIA40","","","3I GROUP PLC COMMON STOCK GBP 73.8636","002","002","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","B1YW440","GB00B1YW4409","III","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1775.0000000","1775.0000000","","1775.0000000","","0.7386000","0.0000000","GBP","38.5300000","2025-09-11","68390.75","68390.75","USD","1.3558500","92727.60","92727.60","","","","GB","UNITED KINGDOM","JPMCB LONDON","CHASE NOMINEES LIMITED","","GB","UNITED KINGDOM","","","","","",""
"AIA40","","","ABB LTD COMMON STOCK CHF 0.12","LXN","010","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","7108899","CH0012221716","ABBN","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3001.0000000","3001.0000000","","3001.0000000","","0.1200000","0.0000000","CHF","56.7200000","2025-09-11","170216.72","170216.72","USD","1.2563473","213851.32","213851.32","","","","CH","SWITZERLAND","GCD Switzerland","JPMCB NA CLIENT ASSETS","","CH","SWITZERLAND","","","","","",""
"AIA40","","","ABN AMRO BANK NV DUTCH CERT EUR 1","1QS","288","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-08-29","EQUITY","COMMON STOCK","BYQP136","NL0011540547","ABN","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1069.0000000","1069.0000000","","1069.0000000","","1.0000000","0.0000000","EUR","25.7500000","2025-09-11","27526.75","27526.75","USD","1.1727792","32282.80","32282.80","","","","NL","NETHERLANDS","NL JPMBL REJPMCB","JPMSE LUX CLT US TA NT","","NL","NETHERLANDS","","","","","",""
"AIA40","","","ACCTON TECHNOLOGY CORP COMMON STOCK TWD 10","NCN","02K","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-09-01","EQUITY SOME SHARES TO DOMESTIC RESIDENT","COMMON STOCK","6005214","TW0002345006","2345","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1673.0000000","1673.0000000","","1673.0000000","","10.0000000","0.0000000","TWD","1120.0000000","2025-09-11","1873760.00","1873760.00","USD","0.0330060","61845.39","61845.39","","","","TW","TAIWAN","SCB Taiwan","NEW YORK LIFE INSURANCE AND ANNUITY","","TW","TAIWAN","","","","","",""
"AIA40","","","ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA COMMON STOCK EUR 0.5","626","067","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-04","EQUITY","COMMON STOCK","B01FLQ6","ES0167050915","ACS","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","448.0000000","448.0000000","","448.0000000","","0.5000000","0.0000000","EUR","69.0500000","2025-09-11","30934.40","30934.40","USD","1.1727792","36279.22","36279.22","","","","ES","SPAIN","BS SPAIN","JPMORGAN CHASE BANK, NATIONAL ASSOC","","ES","SPAIN","","","","","",""
"AIA40","","","ADIDAS AG COMMON STOCK EUR 0","650","089","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","4031976","DE000A1EWWW0","ADS","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","285.0000000","285.0000000","","285.0000000","","1.0000000","0.0000000","EUR","178.8000000","2025-09-11","50958.00","50958.00","USD","1.1727792","59762.48","59762.48","","","","DE","GERMANY","DEUTSCHE BANK AG","JPMCB NA RE CLIENT ASSETS GENERAL N","","DE","GERMANY","","","","","",""
"AIA40","","","ADMIRAL GROUP PLC COMMON STOCK GBP 0.1","002","002","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-08-29","EQUITY","COMMON STOCK","B02J639","GB00B02J6398","ADM","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","585.0000000","585.0000000","","585.0000000","","0.0010000","0.0000000","GBP","33.0400000","2025-09-11","19328.40","19328.40","USD","1.3558500","26206.41","26206.41","","","","GB","UNITED KINGDOM","JPMCB LONDON","CHASE NOMINEES LIMITED","","GB","UNITED KINGDOM","","","","","",""
