"Posted Cash - Statement"
"From Date: 11-Sep-2025 To Date: 11-Sep-2025"
"Run ID: S-694-029-797"

"Account Number (Balance)","Cash Balance Posted Date","Cash Account CCY Code","Cash Account Number (Balance)","Transaction Group Description","Cash Opening Balance","Cash Closing Balance","Transaction Group Amount","Account Name (Balance)","Branch Code","Branch Name","DGSD Eligible"
"G 26763","2025-09-11","USD","0728426763"," ","35283.31","66430.60","","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-09-11","USD","0728426763","MISCELLANEOUS CASH","","","295535.56","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-09-11","USD","0728426763","PRINCIPAL & INCOME","","","239061.78","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-09-11","USD","0728426763","PURCHASES","","","-503450.05","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26794","2025-09-11","USD","0728426794"," ","51819.67","47769.25","","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-09-11","USD","0728426794","MISCELLANEOUS CASH","","","1327601.54","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-09-11","USD","0728426794","PRINCIPAL & INCOME","","","745131.84","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-09-11","USD","0728426794","PURCHASES","","","-2076783.80","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""

 
 
"Posted Cash - Detail"
"From Date: 11-Sep-2025 To Date: 11-Sep-2025"
"Run ID: S-694-029-797"

"Cash Account Number","Posted Date","Transaction Group Description","Account Number","Security Name","Transaction Number","Transaction Category Description","Transaction Status Description","Account Name","Cash Account Name","Cash Account CCY Code","Linked Custody Account","Location/Nominee Code","Location/Nominee Name","Reg./Sub Acct Code","Reg./Sub Acct Name","ASDA/CSDA","Collection Status Description","Customer Reference 1","Customer Reference 2","Income Reference","Transaction Type Description","Asset Type Description","Asset Category Description","Security ID","Coupon Rate","Maturity Date","Pool Number","ISIN","Ticker","Units","Current Face","Price","Gross Amount","Gross Amount CCY Code","Principal Amount","Income Amount","Commission","Commission CCY Code","Other Charges","UK Withholding Tax","UK Withholding Tax CCY Code","Non UK Withholding Tax","Non UK Withholding Tax CCY Code","Source Tax/NRA","Source Tax/NRA CCY Code","Net Amount","Exchange Rate","Trade Date","Contractual S/D","Autosettle Date","Ex Date","Record Date","Payable Date","Value Date","Last Update Date","Last Update Time","Dividend/Interest Rate","UK Withholding Rate","Non UK Withholding Rate","Source Tax/NRA Rate","Factor","Previous Factor","Principal MOF","Interest MOF","Trading Broker Number","Trading Broker Name","Clearing Broker Number","Clearing Broker Name","Additional Information","Bank Reference Number","By Order Of","Sending/Receiving Bank","OCC ID","S and P CUSIP","NIL Payment/Unknown Rate","Branch Code","Branch Name","DGSD Eligible"
"0728426763","2025-09-11","MISCELLANEOUS CASH","G 26763","REALIZED G/L FUTURFUTURES CONTRACTS","T325254ETNJ","MISCELLANEOUS RECEIPT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","","","CASH CREDIT FOR SALE","SEALED ENVELOPES","NON-SECURITIES ASSETS","993300037","","","","US9933000377","","0.0000000","0.0000000","0.0000000","0.00","","66430.60","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","66430.60","","2025-09-11","2025-09-11","","","","","2025-09-11","2025-09-11","14:50:38","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","TO OFFSET T325254ETNJ 0128919254FC FROM HSBC BANK USA 0021000021 JPMORGAN CHASE BANK IMAD: 0100722254KB 00000009009000127 PENSION TRUST REALIZED G/L FUTURFUTURES CONTRACTS D0B9052D-5 MARGIN","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","MISCELLANEOUS CASH","G 26763","","T325254B3BA","MISCELLANEOUS RECEIPT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","MUF0DPGZF","","SUBSCRIPTION TO FUND","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","229104.96","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","229104.96","","2025-09-11","2025-09-11","","","","","2025-09-11","2025-09-11","08:36:01","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","SUBSCRIPTION MC S P 500 INDE","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","APPLIED MATERIALS INC COMMON STOCK USD 0.01","A225254ABAJ","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","188227500089","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","038222105","","","","US0382221051","AMAT","25409.0000000","","0.0000000","11688.14","USD","0.00","11688.14","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","11688.14","","","","","2025-08-21","2025-08-21","2025-09-11","2025-09-11","2025-09-11","03:34:15","0.46000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 PYMNT ACTUAL RATE .460 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","CENTERPOINT ENERGY INC COMMON STOCK USD 0.01","A225254ASGK","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","202198700130","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","15189T107","","","","US15189T1079","CNP","20414.0000000","","0.0000000","4491.08","USD","0.00","4491.08","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","4491.08","","","","","2025-08-21","2025-08-21","2025-09-11","2025-09-11","2025-09-11","11:27:29","0.22000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 DIVIDEND PYMT AT .220000","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","LABCORP HOLDINGS INC COMMON STOCK USD 0.1","A225254ACRV","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","196636400142","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","504922105","","","","US5049221055","LH","2618.0000000","","0.0000000","1884.96","USD","0.00","1884.96","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","1884.96","","","","","2025-08-28","2025-08-28","2025-09-11","2025-09-11","2025-09-11","03:34:08","0.72000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 PYMNT ACTUAL RATE .720 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","MICROSOFT CORP COMMON STOCK USD 0.00000625","A225254AWOV","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","188222500134","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","594918104","","","","US5949181045","MSFT","232440.0000000","","0.0000000","192925.20","USD","0.00","192925.20","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","192925.20","","","","","2025-08-21","2025-08-21","2025-09-11","2025-09-11","2025-09-11","16:46:05","0.83000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 DIVIDEND PYMT AT .830000","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","PRUDENTIAL FINANCIAL INC COMMON STOCK USD 0.01","A225254AEFL","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","206173800080","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","744320102","","","","US7443201022","PRU","11072.0000000","","0.0000000","14947.20","USD","0.00","14947.20","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","14947.20","","","","","2025-08-19","2025-08-19","2025-09-11","2025-09-11","2025-09-11","03:34:09","1.35000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 PYMNT ACTUAL RATE 1.350 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PRINCIPAL & INCOME","G 26763","T-MOBILE US INC COMMON STOCK USD 0.0001","A225254AABY","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","187935500082","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","872590104","","","","US8725901040","TMUS","14915.0000000","","0.0000000","13125.20","USD","0.00","13125.20","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","13125.20","","","","","2025-08-29","2025-08-29","2025-09-11","2025-09-11","2025-09-11","03:34:04","0.88000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","09/11/25 PYMNT ACTUAL RATE .880 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PURCHASES","G 26763","NYLI US GOVERNMENT LIQUIDITY FUND OPEN-END FUND USD","TQKZB832","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","SHE","SHARES HELD ELSEWHERE","MEMF","MEMO-INTRADAY SETTLE - REGISTERED","","","RVP 007610","RVP 007610744","","PURCHASE/BUY","OPEN END MUTUAL FUNDS EQUITY","MUTUAL FUNDS & UITS","56064L488","0.000000","","","US56064L4885","MUSXX","8977.7200000","0.0000000","1.0000000","0.00","","-8977.72","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-8977.72","","2025-09-11","2025-09-11","","","","","2025-09-11","2025-09-11","12:47:50","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","80000","MEMO-MASTER NOTES/POOLED FUNDS","80000","MEMO-MASTER NOTES/POOLED FUNDS","","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-09-11","PURCHASES","G 26763","UNITED STATES OF AMERICA BILL ZERO CPN 23/DEC/2025 USD 100","TQKZ6Q3P","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","FRB","FEDERAL RESERVE BANK","FBE","FBE","","","A961756","A961756","","RECEIVE VS PAYMENT","US TREASURY BILL","US GOVERNMENT AND AGENCIES DEBT","912797RY5","0.000000","2025-12-23","","US912797RY53","","500000.0000000","0.0000000","98.8944670","0.00","","-494472.33","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-494472.33","","2025-09-11","2025-09-11","","","","","2025-09-11","2025-09-11","11:29:18","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","00274","CITIGROUP GLOBAL MARKETS INC/SALOMON","00901","BANK OF NEW YORK","","","","","","","","TN4","JPMCBNA",""
