,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,Commercial & Professional Services,Diversified Financials,Transportation,Energy Equipment & Services,Health Insurance & Managed Care,Software & Services,Utilities,"Agricultural, Timber, Packaging & Building Materials",Retailing,"Food, Beverage & Tobacco",Capital Markets,Internet Retail & Consumer Electronics,Media,Capital Goods,Healthcare Equipment & Services,"Oil, Gas & Consumable Fuels",Real Estate Services,Telecom Services,REIT,"Pharmaceuticals, Biotechnology & Life Sciences",Technology Hardware & Equipment,Automobiles & Auto Components,Consumer Durables & Apparel,Metals & Mining,Household & Personal Products,Consumer Services,Semiconductors & Semiconductor Equipment,Banks,Chemicals,Oil & Gas E&P,Insurance,Food & Staple Retailing
BookYield,0.0001283086103005725,-2.0944723585784624e-06,-1.730495942608192e-05,1.273288558426294e-05,-3.4616741325557515e-06,-1.5747033454065534e-05,7.748817912194801e-06,-4.793745812964675e-05,1.6962784169143575e-05,-1.849601279415742e-05,3.953728980564267e-05,-3.5752273029689975e-05,6.978126268379839e-06,3.575779746590395e-06,-1.452067218937388e-05,-1.3643741326587862e-06,5.645397916686427e-07,4.029522127396791e-05,5.121529547586778e-06,-1.0339681327773434e-05,-0.00012005260324209357,7.57469594225866e-06,-1.8595875728998287e-05,-0.0003263205997140463,-0.00015485343767810458,-0.0004186356384373608,-0.00014263478594458458,-0.00011712246277356445,-0.00035961583848814695,-0.00021989700606346027,-0.00032980575970737027,-0.00046109525460193303,-0.00019938707905340524,-0.00013335714568841738,-0.0003520183859394977,-0.0001693330305825683,-0.00031895275359174343,-0.0003984132106043792,-0.0002650727025634038,-0.0004272671862724413,-8.399009201887395e-05,-0.00037749466287114857,-0.00023101233795747624,-0.00039291576402741645,-0.00010472573294846273,-0.0004069460604715686,-0.0001148860028025109,-0.00044579673950764895,-0.0003459100780692358,-0.0003252877454720477,9.32541641955931e-05,-0.00033865551871402094,-0.0003435727625666762,-8.747678917568491e-05,-0.0003563805748496104
SalesYield,-2.0944723585784624e-06,0.0001599961312933293,-1.467675087863958e-05,1.2411391409350596e-05,2.331485289701354e-05,-7.123388655774482e-05,1.7881493363512205e-05,1.7764142077931324e-05,4.128159677953958e-05,2.4378360371766448e-05,1.0675466047556993e-05,1.4233190522583442e-05,-4.855695222536962e-06,4.359972922289766e-06,-1.5035453301312096e-05,-1.5845403912581538e-05,-1.0528326043231123e-05,-3.209188112326029e-05,4.352439005994114e-07,3.156592962938718e-05,0.00017950246549167508,-5.944239755116805e-06,-3.932124996396058e-05,0.00025995442515775174,0.0002577542230443652,0.00044836818310611083,0.0005144308046429848,-9.416470001889001e-05,0.0003871383637650892,3.654718674636669e-05,0.00031413569726307307,0.0002703765563089301,0.00012765506684384639,0.0003748709570424646,0.00038309362758238606,0.00040740816302747157,0.00030413992308983215,0.0001657550984097867,0.00044100876699296995,-0.0003239853911032978,0.00010749974923365829,-4.2201826520688524e-05,0.000112098135833913,0.0005155588420177479,0.00026114928679067255,0.0004691101134205089,0.0005458349589688127,0.00016548885796642955,0.00024670821805735743,0.00046585737947965654,0.0002867681686008621,0.0002734497237555539,0.0005704899887001906,0.0001366600865896968,-3.804999853809342e-05
CashYield,-1.730495942608192e-05,-1.467675087863958e-05,0.0003630865046486057,-2.5188296715351186e-05,-1.4682076358408734e-06,-8.750386792073692e-06,-9.200717012888077e-06,9.970296333795787e-06,1.5975857183896063e-05,1.7289918123608947e-06,3.413312254424315e-05,2.9983629958407746e-05,-2.419175069344857e-05,2.8222032826325373e-05,6.200891637916589e-05,2.5975367429573306e-05,2.6720040166428802e-05,-1.0758789241055025e-05,-5.1887868378314636e-05,2.9921652964466592e-05,-6.0707860318477184e-05,-1.2985309818615351e-05,-4.453377139223674e-05,0.00015928640740093633,4.202215442604794e-05,4.482442505751675e-05,0.0002298580285230808,-9.157804054533433e-06,5.642704236900492e-05,6.626420951704335e-05,-1.6632110891649263e-05,0.0002340424083946128,-1.4170641305893553e-05,-0.00016233295479947126,0.00028727984722604126,0.00030258133886789485,-4.1234557633533674e-05,0.00012354583602204927,7.70831285003335e-05,-8.452001775284371e-05,0.0003042326840616459,0.00011063792813356027,0.00011250162184978264,0.00037647946248998846,-9.4171978387587e-05,0.0002079332406538116,5.978442050332205e-05,0.00040760130869923653,0.00016563541716684924,0.00032088262327435583,-0.0003850065775868086,0.0003223011834938582,0.0001737875837268071,-0.00018796979988804058,7.662062963243321e-05
EarningsYield,1.273288558426294e-05,1.2411391409350596e-05,-2.5188296715351186e-05,0.0003202428395835785,3.053735793082211e-05,-1.1968360571181797e-06,-0.0002048254094389895,0.00010831997733537732,-6.262591375585525e-05,-8.367074014776844e-06,-0.00012506543901633942,-4.905790291493039e-05,-0.00011650187430665991,2.96781557013355e-05,0.00010625655875623588,-6.940039220059979e-06,1.997738835041086e-05,1.669945130086476e-06,5.102181431098593e-05,0.00018384059516996242,0.0004995821920875166,-2.5788776210399004e-05,8.758384584105051e-05,0.00127846979677162,0.0017323050567311495,0.0019975580043407166,0.002972278485384195,0.0007753476422392554,0.0008878951194096472,0.0009859804124411633,0.0019468315975294137,0.0015849686447740982,0.0011057330821338627,0.0020379546507600724,0.0013076599447436653,0.0011857693952348615,0.0016418897645958505,0.0015152270496294575,0.0018495804631005483,0.001960173399853487,0.0005744733610774184,0.001165411902986209,0.001462769194098752,0.0009830901233889488,0.0018278503917407165,0.0018987541619427885,0.002020713234641366,0.0014427297563767232,0.0014444260628780833,0.0013807457279878498,0.002355377209069578,0.0022129472527940863,0.0025371254071767557,0.0011362147174045982,0.0010588682838001357
FCFYield,-3.4616741325557515e-06,2.331485289701354e-05,-1.4682076358408734e-06,3.053735793082211e-05,0.0003466643250657732,-0.00035250189367103915,-8.247193592510274e-06,-6.911251273990552e-05,1.9082608757983748e-05,8.573807290286189e-06,-1.0717800469295844e-06,5.391926014398731e-06,2.558242625282247e-06,1.6529023869972704e-06,-1.1483351412359859e-05,-0.00012020653867451743,-5.154215588059752e-06,-1.7578821088454395e-06,-2.3135368278082944e-05,4.2607229337026536e-05,3.1868021865343616e-05,-1.293685267722651e-05,5.3895027136644865e-05,-1.394568454833968e-05,-0.0001716401044991078,-2.1445754561790074e-05,-0.0006802396771284993,-6.645705971358399e-05,-1.0918957627247251e-05,-0.0005201088437565725,0.0001482947352739148,0.00030029864915510744,-2.4343183437904617e-05,-0.00016092682697517208,0.00010124701085868312,-0.0001640337300132135,-1.949684466668673e-05,-0.00013794954069642283,-0.0006096355651651412,-0.00042613379765477956,-0.00026254716661503277,-0.0004091316469675891,-9.562893374893981e-05,3.1382753403830234e-05,5.920992340488331e-05,0.00019837402787797778,-0.00038322407133355667,1.366358038368077e-05,4.0380891552492405e-05,-2.405642876902286e-05,-0.00014567050049463137,-0.00018775719189001615,-0.0008308977810775127,-0.00034629891105606255,0.0001551136098168626
OCFYield,-1.5747033454065534e-05,-7.123388655774482e-05,-8.750386792073692e-06,-1.1968360571181797e-06,-0.00035250189367103915,0.0007173982725517203,-9.050075998752229e-05,8.687611628279973e-05,-6.8473672344994905e-06,-6.910682335794081e-06,-6.939867194705192e-05,-1.047572819465568e-05,-5.173712286177034e-05,1.4766758947294774e-05,8.928419809370119e-05,0.00013381444684660313,2.3804133704806024e-05,2.822785562135441e-06,4.083192282585692e-05,-1.2889856098426534e-05,-0.00011264857975398955,-1.1954365252467284e-05,4.703320990591416e-06,-0.00013217728395093834,-3.400634960619258e-05,0.00012975734122306801,0.0020383181759993712,4.822055152731723e-05,-0.00022248923590693088,0.0004477455771220518,-4.189801638915171e-05,-0.00015187983193990585,-4.966558142409505e-05,-5.074276643602903e-05,-0.0001693883434733434,-7.481006310971367e-05,-3.596506127896426e-05,-3.904923139386749e-05,0.001161286852606752,0.0008694365987271498,-7.008264551957811e-05,0.00034480364941887883,-0.000171384732086155,-0.0005111368972867648,0.0001369132711248097,-5.7679834528796105e-05,0.00044259973196308943,-5.042248038682732e-05,-0.00010896008338580308,-0.00038330186246684133,-9.790269352517887e-05,0.00035943315285189047,0.0019828289033982137,8.709858260126386e-05,-2.4710892170753283e-05
MediumMomentum,7.748817912194801e-06,1.7881493363512205e-05,-9.200717012888077e-06,-0.0002048254094389895,-8.247193592510274e-06,-9.050075998752229e-05,0.0009013335758928402,-0.00016162718728430622,8.55806400271085e-05,2.552618250695683e-07,4.720139541430154e-05,3.956261647675993e-05,0.00023102085555159774,-3.421264171080192e-05,-0.00026542681792968983,1.5164272781435268e-05,-1.236209191071301e-05,2.664663788242081e-05,-3.6742160068011026e-05,-3.4565452818471974e-05,0.0002576745478760146,8.75861127750846e-05,-0.0002038813080094217,-0.00023179858726433302,-0.00038395543608351913,-0.0013164190921115969,-0.0020283385434948635,-0.00011939446108478689,0.00012360541284696765,0.0002874503524048768,-0.0015830585728716367,-0.0015305683574291136,-0.0008516360940525216,2.2729620681184928e-05,-0.0007385551582447471,3.645282829991761e-05,-0.00016519296987286045,-0.001380944117619911,0.0003696650703010031,-0.0021771630120322205,0.00028580226083073503,-0.0007365157939082665,-0.001270371545539554,0.0005747767971136066,-0.0016016461395796594,-0.0016711076483238122,-0.0007479100072352681,-0.001450860692398482,-0.0003830779417636026,-0.0005167346091791164,-0.00041507463150985106,-0.0019891327760241397,-0.00045377956180838407,0.0006369181900696211,-0.0006028638407015427
Reversal,-4.793745812964675e-05,1.7764142077931324e-05,9.970296333795787e-06,0.00010831997733537732,-6.911251273990552e-05,8.687611628279973e-05,-0.00016162718728430622,0.0005249593015672525,-5.359520785337557e-05,8.226059408117681e-06,-8.416884678941947e-05,3.5738773196765954e-05,-9.039333762562216e-05,4.134558014556652e-05,6.509912517659707e-05,3.8553724787111636e-05,2.279930616775023e-05,-3.398818928450476e-05,2.6122128264263815e-05,0.00018901926457271198,0.0005097439415884769,-3.38230134810193e-05,2.4056608186299413e-05,0.0015305832268322592,0.001704968348898713,0.00195493582702035,0.0014308795712238392,0.001266934975727494,0.0015869377518950738,0.0012164988867778004,0.0017069878235801735,0.0017826451553967378,0.0013342340860062433,0.001750413976247362,0.002013439240242003,0.0014766339430196136,0.0014498560443075216,0.0020194233883619283,0.0013492651160032102,0.0025545749301856494,0.0011387122795619366,0.0016093235724809413,0.0016079514150517044,0.0014063168110511539,0.001681731324322753,0.0022389529122017957,0.0019865817677141534,0.0015891288319164138,0.0016111389939920725,0.001641614813262789,0.0018876472223648445,0.0022808693374524384,0.001757510113130216,0.0012601655274473576,0.0012787994753457627
RND,1.6962784169143575e-05,4.128159677953958e-05,1.5975857183896063e-05,-6.262591375585525e-05,1.9082608757983748e-05,-6.8473672344994905e-06,8.55806400271085e-05,-5.359520785337557e-05,0.0001773531514691127,2.8634084458049625e-06,6.606432371649322e-05,2.3050943648537248e-05,4.429927862108371e-05,-2.6052670189762645e-05,-4.905670160413071e-05,-6.963687608205759e-06,1.253975556261219e-06,2.6836228826767436e-06,-1.0591091679870839e-05,1.0632103941263238e-05,-0.00012810880063355402,6.590597143782864e-06,-4.3244314355917675e-05,-0.0005622718810903385,-0.0007736563350655094,-0.0009175624676798374,-0.0011111064275944485,-0.0003297234751869601,-0.00015311838119675723,-0.0008007825513716456,-0.0007976848916387308,-0.0006796781466277124,-0.0006865641124541949,-0.0008295235540156469,-0.000247989355278211,-0.00037712141478541956,-0.0006743935264560773,-0.0007788492616941672,-0.0007211613483377587,-0.0013539196556698867,-0.0004137022912896735,-0.0009041389323345999,-0.0005835675150396005,-0.00021281642064128014,-0.0007203340142056084,-0.0007853461093090395,-0.0004994952279921721,-0.0007905858543305992,-0.0005338176425672693,-0.00019734742400748833,-0.0009841398058668507,-0.0007746379969697538,-0.0009187489164424135,-0.0007105662922721424,-0.0005534918427368385
ROE,-1.849601279415742e-05,2.4378360371766448e-05,1.7289918123608947e-06,-8.367074014776844e-06,8.573807290286189e-06,-6.910682335794081e-06,2.552618250695683e-07,8.226059408117681e-06,2.8634084458049625e-06,0.00010470290244055414,-5.3036964768184516e-05,4.217581178178232e-06,1.7825233765730751e-06,-1.1105668263402485e-05,7.1712686964882275e-06,-7.0258622539544e-06,-2.761719881735876e-06,-7.376849555346133e-05,5.578021752900776e-06,3.9713994339964564e-05,0.00018121007412401198,8.933327456794626e-06,-5.201455407433212e-06,0.00032081778508398663,0.00031011064641425936,0.00045221361800159264,0.0004137176484241647,0.00019751299514028325,0.00035987053520974353,0.0001652702097133933,0.0003014993677014532,0.00042056951520007003,0.0002188653562631328,0.00031170707475429524,0.0003763393546445574,0.00027177093477183677,0.00036041977239003215,0.00032979676020014896,0.00024645217525516425,4.815673116125489e-06,0.00015862676537080746,0.00011457447368807998,0.0001851917905096532,0.0003558803386238384,0.00031631002749813353,0.00037672038343307656,0.0004360290273973454,0.00030320857469062003,0.0003675819079579874,0.0003340651347790331,0.00019646012017965762,0.0003092868837321752,0.0003128124339543273,0.00014925777519181186,0.00023996052988388037
ROA,3.953728980564267e-05,1.0675466047556993e-05,3.413312254424315e-05,-0.00012506543901633942,-1.0717800469295844e-06,-6.939867194705192e-05,4.720139541430154e-05,-8.416884678941947e-05,6.606432371649322e-05,-5.3036964768184516e-05,0.00022789603785781804,-5.546243650801895e-07,4.9766318830025584e-05,-2.1436853867658277e-05,-5.205137564980821e-05,1.6882889455433983e-06,8.512828230001839e-07,5.243134691314355e-05,-3.013251756434263e-05,-0.0001271464734035602,-0.000440108465445475,-1.8518238570421425e-05,-2.634305202222689e-05,-0.0010134575953660793,-0.0013577629687650892,-0.0014877514250519986,-0.0019399541810448415,-0.0005831835090426033,-0.0008526410388175187,-0.00103656074232609,-0.0011942352880283825,-0.0010469155944469266,-0.0008762503791688522,-0.0016449492521363157,-0.0010501860103230931,-0.00100391009163031,-0.0012771080284418677,-0.0012702276463572135,-0.0014858904581478906,-0.0014508794451476206,-0.00043413913840224593,-0.001085847659387819,-0.0010167770552589285,-0.0008220894949209344,-0.0011604293346188113,-0.001284918348929153,-0.001527744896359576,-0.0010146970100410795,-0.0011095040677031745,-0.0007524077401219637,-0.0017268702557777169,-0.0013802840475178515,-0.0019253208902369867,-0.001016496440638089,-0.0008557524535985396
