,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,Automobiles & Auto Components,Household & Personal Products,Health Insurance & Managed Care,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Healthcare Equipment & Services,Insurance,Metals & Mining,Telecom Services,Capital Markets,Banks,Internet Retail & Consumer Electronics,"Food, Beverage & Tobacco",Food & Staple Retailing,Oil & Gas E&P,"Pharmaceuticals, Biotechnology & Life Sciences",Capital Goods,Technology Hardware & Equipment,Consumer Services,Retailing,Consumer Durables & Apparel,"Agricultural, Timber, Packaging & Building Materials",Diversified Financials,Software & Services,Chemicals,Media,Real Estate Services,Transportation,Commercial & Professional Services,Utilities,Semiconductors & Semiconductor Equipment,REIT
BookYield,0.00012790058065772515,-4.822142274300976e-06,-1.7844948711698106e-05,1.2317833989812476e-05,-7.359232722379403e-06,-1.2181946386741066e-05,1.6198421495257093e-05,-4.854501195031662e-05,1.616016849898155e-05,-2.113843535301127e-05,4.142736775199902e-05,-3.636586423234526e-05,9.972177834949844e-06,3.4144357603972936e-06,-1.6272846721322352e-05,1.756653074613513e-06,-1.9934455925512067e-06,4.4449433292227395e-05,7.516179599007012e-06,-1.3208721719162916e-05,-0.00012227139195156224,7.868621457393184e-06,-1.6492659793589485e-05,-0.00012049278677019225,-0.0004705375451934935,-0.0001426637883494179,-0.00018308053656655848,-0.0002701518940594061,-0.0004388279604926898,-9.824018084411552e-05,-0.00012862792498586107,-8.776848571828294e-05,-0.0001600577856660037,5.523114417092563e-05,-0.00034960130819389413,-0.0002252467957838487,-0.00036318262431147,-0.00036149663227440937,-0.00025653967341245017,-0.00032552170924068366,-0.0003938719049035609,-0.00037279730959510917,-0.00048526021868147375,-0.00043347758603263863,-0.0003610586856974243,-0.0001659752744876336,-0.0003822692937242157,-0.0003707890631900677,-0.0001904874760904778,-0.00043460750018736326,-0.000440832329267284,-0.0003498856920987636,-0.00020458071523629526,-0.00036131764727718194,-0.00040803402795099947
SalesYield,-4.822142274300976e-06,0.00016271053687686333,-1.665663488472876e-05,1.0580851345069034e-05,3.0281209109637053e-05,-7.662533624876748e-05,9.194549240175066e-06,1.901914918348609e-05,4.182570630838047e-05,2.859747731880677e-05,7.895489468057902e-06,1.5823911786228056e-05,-5.966816033365238e-06,3.7608445214817043e-06,-1.4862157131583364e-05,-1.8981490992140527e-05,-6.376059738109848e-06,-3.999552448352137e-05,-1.5419105652365398e-08,3.0700919233488875e-05,0.00017869984704027596,-4.7237782825691055e-06,-4.217183665349221e-05,0.00024616933499796705,0.00019227914406566674,-3.899149864670494e-05,0.000522683542932736,0.00043134821600508406,0.00022564613531888883,0.00011881626969929836,0.0005136155970184382,0.00010371586325757539,0.0003943421199242658,0.0003102087971560136,0.00035025180525012937,0.00015878328753742132,-2.4858839682775935e-05,0.0005785309233351232,0.00015446837380239,0.000296405000681038,0.0005091807168379032,0.0002780803176810738,0.0003068434143860796,0.0004990395191018322,0.0003293241598514844,0.0002459060720803518,0.00039677036558473865,0.00027979180717865274,0.0004212536692215662,-0.00030707776744752025,0.0004400310830217127,0.00027038402738023857,1.9348284949683585e-05,0.0005323990537341003,-5.882100096339946e-06
CashYield,-1.7844948711698106e-05,-1.665663488472876e-05,0.00035992568324416,-2.184725559482827e-05,-2.362941722897684e-06,-4.745328289572091e-06,-1.86263688149681e-05,1.1852227313343373e-05,1.4668206500703956e-05,8.565598004177077e-07,3.128717744272109e-05,2.969023513263003e-05,-2.9263713908809528e-05,2.9528677164295516e-05,6.5658927120493e-05,2.2406306952489426e-05,2.676474854981399e-05,-9.452542366437322e-06,-5.597285865445759e-05,3.4834055070908566e-05,-4.752422667877859e-05,-1.6806045550417213e-05,-4.268534422402777e-05,-4.171017265022453e-05,0.00044913056070677735,-6.375737323055506e-06,0.000323582930066729,0.00012603147942013215,0.0001578157420667827,-0.00013531642892112173,0.00012433752216720533,0.00031035790968616893,-0.00011928856885495808,-0.00032644148982094055,0.0003218240678617098,2.481911740870734e-05,8.793389127951924e-05,0.00023841483773451766,0.00011930075549980863,-6.910590910428524e-06,0.0003963554001689243,0.00019370417566867045,0.00025329552269449685,0.0002356692635533957,4.3438596982262486e-05,8.665965231171496e-05,0.00011148606305840856,0.0003874958047845463,0.0003235168016991019,-2.708098348564828e-05,0.00010728914422834313,0.00021181866714923176,6.88082502591038e-05,0.00032594486351401566,0.00016506521082904294
EarningsYield,1.2317833989812476e-05,1.0580851345069034e-05,-2.184725559482827e-05,0.00031709008549894924,2.964725163626732e-05,2.2716709791787676e-07,-0.00020775895928001217,0.00010797963615082621,-6.276294509379875e-05,-7.551010954722598e-06,-0.00012475377017258978,-4.852110383034978e-05,-0.00011871605824054573,2.98401324630246e-05,0.0001081736057616599,-8.789459687838662e-06,2.0089866990842783e-05,2.5458181708792044e-06,4.6754958292721624e-05,0.00018535684394414863,0.0004920079579060977,-2.787819199842175e-05,8.767404443047104e-05,0.0018375438847972052,0.0014397177503523552,0.0007362016937301492,0.0029724577937814555,0.0018367907449958335,0.0015010178311779942,0.0011500330100532718,0.002036665817120705,0.0005675287738064557,0.0020186793633519625,0.0023428459165848693,0.00131208751385135,0.0010986979685067854,0.0010516282818452342,0.0025102219811617235,0.0014432815377889451,0.0016306023391499495,0.000967801439959566,0.0014292815693205782,0.001571779035787547,0.0018862823545973384,0.0019535643848553005,0.0017284765219364318,0.0008960505032284167,0.0022239989530695196,0.0011758057325760767,0.0019471751105968901,0.002007249342198834,0.0012836433751387578,0.0009662916213977456,0.0013465490080748388,0.0011746667380009236
FCFYield,-7.359232722379403e-06,3.0281209109637053e-05,-2.362941722897684e-06,2.964725163626732e-05,0.00035267655063609093,-0.00035822067623226476,-2.398116881480868e-05,-6.457355705132638e-05,1.8704862424905493e-05,1.746971978495995e-05,-6.19376163884379e-06,6.985548875481729e-06,-2.4068466020586713e-06,5.550348027686678e-07,-8.546929067482165e-06,-0.00012427327484906147,1.3588922785328671e-06,-1.3851288005662405e-05,-2.5329569885326535e-05,4.3176625933036415e-05,2.293096509253264e-05,-1.2337569742897126e-05,4.9248016318083996e-05,6.390963142874038e-05,4.503035715513436e-05,-4.360002974952847e-05,-0.0006464571838204007,-0.0006207744071142173,-5.674038517008396e-05,-0.00035644912828756606,-0.00038272084346136604,-0.0002767475665483902,-0.0001359729200349392,-0.00011036298477319766,5.868417942840085e-05,7.899135684025366e-06,0.00017746128641605113,-0.0008326512012417659,-2.6426248324044556e-05,-3.119293695055325e-05,8.219798174795313e-06,7.459975737102384e-05,0.0003574086435343051,0.0002545338635881346,0.00019251546224270414,-0.00018379161458869161,-1.5392696125666239e-06,-0.00014630497275267473,-0.0001429229068631413,-0.0004219083199007464,-1.083996816539743e-05,2.2370134240939172e-06,-0.0005518806668192136,5.854568009008925e-05,-0.0003486727020821102
OCFYield,-1.2181946386741066e-05,-7.662533624876748e-05,-4.745328289572091e-06,2.2716709791787676e-07,-0.00035822067623226476,0.0007165518580903035,-7.928454190308189e-05,8.215027439895763e-05,-6.327118985132043e-06,-1.532024229457427e-05,-6.437801475485706e-05,-1.083730965773195e-05,-4.888605542788109e-05,1.589138657991168e-05,8.701419069989025e-05,0.00013594444598875134,1.8055435901482908e-05,1.3348157815684757e-05,3.978042205917993e-05,-1.06456260136144e-05,-9.415719077979534e-05,-1.2321205679945024e-05,7.3142984331573865e-06,0.0001592734273495702,-5.187235515206527e-05,4.9386901394933315e-05,0.0020349192241413297,0.0011798390688525027,-8.382773033040093e-05,0.00012745226215722942,0.00047557785336388236,-3.348870651571428e-05,-3.966666781434202e-05,-9.122195739698824e-05,-0.0001040134900554311,-5.7435984722909146e-05,-4.112706723987779e-05,0.001993924505173656,-0.0002224777406238786,-3.6053976281874227e-09,-0.00045899836367389787,-0.00011274853598677872,-0.00019378788217918732,-9.340484063786256e-05,-5.2721772572258506e-05,1.0675593943520338e-05,-0.00019214413398431187,0.00035919008845060693,-6.491197142033087e-05,0.0008790686601043688,0.00015846613251834405,-0.00010954605229070194,0.0004835261646999757,-0.00044722308663688664,0.0003158729938977335
MediumMomentum,1.6198421495257093e-05,9.194549240175066e-06,-1.86263688149681e-05,-0.00020775895928001217,-2.398116881480868e-05,-7.928454190308189e-05,0.0009396097443451962,-0.00016772297132850445,8.376904322274559e-05,-1.145856333004949e-05,6.108153393692089e-05,3.300625168213598e-05,0.00025014892396556644,-3.648095565522307e-05,-0.0002773051606066853,3.340259254600425e-05,-2.4018032905379518e-05,4.571084256464494e-05,-1.6629121936453535e-05,-5.6696944702900164e-05,0.0002152332271220959,9.35774863363144e-05,-0.00019412708253444357,-0.0017445039584664806,-0.0016472445770859938,-0.00024062983676865043,-0.0023456290507999885,0.0002469217620825831,-0.0016235648207756138,0.0004914427089668938,-0.0009238108009406705,0.00023435685865383615,-0.0001735907093291962,-0.000653389924076307,-0.0008101008234132301,-0.0010254970045182128,-0.0006711244908280345,-0.0006475565680724526,-0.0013942596698885328,-0.00027485963175889267,0.00048727436709241435,-0.0005696824512126281,-0.0016806901694224627,-0.001840150236593241,-0.0018184105238744294,-0.0005178104854243977,-9.68300374419135e-05,-0.002243436261791125,-0.0001165672443446211,-0.00229774651925152,-0.0015320433304840287,-0.0004482991513222199,0.00032231590152443675,-0.0006962077622167161,-0.0009757704255877325
Reversal,-4.854501195031662e-05,1.901914918348609e-05,1.1852227313343373e-05,0.00010797963615082621,-6.457355705132638e-05,8.215027439895763e-05,-0.00016772297132850445,0.0005180271495964134,-5.3265794591158244e-05,1.1188226720469467e-05,-8.53916701176833e-05,3.5875054560815045e-05,-9.311513593737895e-05,4.060320630061415e-05,6.692845686331069e-05,3.490559655720798e-05,2.466821389630372e-05,-3.689871369127269e-05,2.2574525674968843e-05,0.0001891348763996195,0.0005007353420727071,-3.427102523860263e-05,2.3019537437552928e-05,0.001682837848968767,0.0015880116451638662,0.0012440686758837627,0.0014504423849738283,0.0013316174739419519,0.002020368652425762,0.0012554635325369061,0.0019869873161287143,0.0011199917786701263,0.0017419033838190726,0.0018848004048958975,0.001985478258658479,0.001330196281226128,0.0012719408071336863,0.0017341484203804397,0.00160667120936751,0.0014360339809856208,0.00138176672252874,0.0016048020934726552,0.0017806522557645569,0.002232843632113056,0.0017191574387577229,0.0016914977993913657,0.0015824099220842248,0.0022880487888341816,0.0014689300239295409,0.002525425540291986,0.0019552132012809133,0.0015306616369310266,0.0011841356167139108,0.0016335907466024588,0.0016178179191891412
RND,1.616016849898155e-05,4.182570630838047e-05,1.4668206500703956e-05,-6.276294509379875e-05,1.8704862424905493e-05,-6.327118985132043e-06,8.376904322274559e-05,-5.3265794591158244e-05,0.000175416137426707,2.0984630732362304e-06,6.540976303009348e-05,2.3523290729524254e-05,4.474640238991089e-05,-2.541788976017578e-05,-4.945926986288858e-05,-6.826827833080507e-06,1.7529746139559304e-06,1.4555914577805236e-06,-9.758988686535586e-06,8.641933983711862e-06,-0.00011868590500906767,7.40521184361413e-06,-4.401788293663316e-05,-0.0007192435257303694,-0.0007677561897047996,-0.00028418632518802247,-0.0010861647057671744,-0.000699532986497621,-0.0007455876171911527,-0.0007023845936394103,-0.0005083244418673957,-0.00039894403584827696,-0.0008010670541813018,-0.0009553982362201475,-0.0002489851395285092,-0.000660441705372021,-0.0005469910005419202,-0.000877354248259625,-0.000569052129438137,-0.0006590992372779457,-0.00019144809015862445,-0.0005092840552999438,-0.0006630109566437387,-0.000767555297348005,-0.0007882725151817083,-0.000758171318701766,-0.00013844001232745894,-0.0007679286757376019,-0.00036100186550280415,-0.0013183009425995942,-0.0009066825843933646,-0.0005442942602474875,-0.0007813973058615744,-0.0001710872319249887,-0.0008808371412664928
ROE,-2.113843535301127e-05,2.859747731880677e-05,8.565598004177077e-07,-7.551010954722598e-06,1.746971978495995e-05,-1.532024229457427e-05,-1.145856333004949e-05,1.1188226720469467e-05,2.0984630732362304e-06,0.00010962061899771887,-5.622311177579934e-05,5.047279519215041e-06,-2.5527223820444347e-06,-1.1634472320133628e-05,9.56185288114045e-06,-1.1603977460214257e-05,1.7504211034970116e-06,-8.095121795741082e-05,3.293025181950452e-06,4.0013101736229444e-05,0.00017020890385955898,8.230836052817726e-06,-7.231009073589599e-06,0.0003185380849237096,0.0003211782506107566,0.00019636640427362777,0.00042836164740444596,0.00022885597811366643,0.0003770887203119307,0.0001348644563167521,0.00043385504744567247,0.000137065641894502,0.0003188506568986994,0.00021075670505259266,0.0003389244119874827,0.00023650246510634486,0.00025590235166035407,0.00029333013785970576,0.00023139142001274052,0.00034480581743216927,0.000328729978255359,0.0003813081050873706,0.0004581425428062839,0.00041309660700305226,0.0003341240790174008,0.0002932441467351143,0.00035901425586478395,0.00033549220510687555,0.00027646804127719584,7.86407673817059e-06,0.00045128823489823486,0.0003259199435832479,0.00013175839735283086,0.0003847983109459135,0.00015399286856375264
