,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,Household & Personal Products,"Agricultural, Timber, Packaging & Building Materials",Media,Commercial & Professional Services,Healthcare Equipment & Services,Chemicals,Insurance,Consumer Durables & Apparel,Banks,Energy Equipment & Services,"Food, Beverage & Tobacco",Software & Services,Utilities,"Pharmaceuticals, Biotechnology & Life Sciences",Retailing,REIT,Health Insurance & Managed Care,Metals & Mining,Capital Markets,Real Estate Services,Capital Goods,Internet Retail & Consumer Electronics,Transportation,Consumer Services,Automobiles & Auto Components,Diversified Financials,Oil & Gas E&P,Telecom Services,Semiconductors & Semiconductor Equipment,"Oil, Gas & Consumable Fuels",Technology Hardware & Equipment,Food & Staple Retailing
BookYield,0.0001282426322129763,-5.531978558633536e-06,-1.8391355881477588e-05,1.0984583357545924e-05,-8.621289669884917e-06,-1.0063908508399694e-05,1.3273755478944741e-05,-4.501335497325055e-05,1.6228082932413833e-05,-2.1483755113906405e-05,4.183757084658441e-05,-3.6174571697304016e-05,8.276536877890459e-06,3.8091013862691064e-06,-1.6010625321577265e-05,2.1184909912798654e-06,-3.0346949884144083e-06,4.402825882784092e-05,5.991826515279909e-06,-1.3365884442961097e-05,-0.00011901688835481209,7.729188822740753e-06,-1.7104141106770346e-05,-0.00046919803748373556,-0.00036204483324338277,-0.00020060468424734987,-0.00035245571251016507,-0.0004406219422172985,-0.00037366169833277237,-0.00010440002284130794,-0.00044762339412014317,5.4204650139872397e-05,-0.00016878664698241616,-0.00022485978640975505,-0.00038905655306811066,-0.0002197719818033396,-0.00027212587281570964,-0.0005076908903927861,-0.0004099405694236836,-0.00014183528824991906,-0.00013701843413560337,-0.00016920301165217837,-0.00043388745745633235,-0.0003274249791704477,-0.0003647216485532706,-0.0004465664047394283,-0.0003753685843244424,-0.00011697654704074561,-0.00017836054509695083,-0.0003415235408396837,-8.468397029847579e-05,-0.00037067612191649715,-0.0002694298938391481,-0.00040210534946984996,-0.00036393404631714673
SalesYield,-5.531978558633536e-06,0.0001622732025643384,-1.621122053437897e-05,1.1328882211110428e-05,3.106566752294128e-05,-7.766482408360835e-05,1.1195664852787272e-05,1.6471303824517915e-05,4.14503545285121e-05,2.878411499799652e-05,7.484048116112344e-06,1.5649558877334177e-05,-4.699935398980628e-06,3.4428873022216224e-06,-1.4856975841117608e-05,-1.9172998509822465e-05,-5.614893177182607e-06,-3.962542357294653e-05,1.0016948661576797e-06,3.069347293695614e-05,0.00017574675109799937,-4.608002997199149e-06,-4.144977036168855e-05,0.0001918701188200525,0.0003291693696711525,0.00042590871987575375,0.00027166466191044905,0.00022781499924452999,0.0002814480406047761,0.00012240756794394352,0.0005076529261715578,0.000308804835402826,0.0005080911457128592,0.00015865801443008565,0.00039991125548611184,3.115418401305969e-05,0.00016584788451293777,0.0003225439144489479,-3.460210310478086e-06,-3.988672473635493e-05,0.0005160520467492991,0.0003989402985567587,-0.00030471963697057455,0.0002968436383076007,0.0003601598215817118,0.00044333476774008964,0.00027885654541908827,0.00024247608442567043,0.00025340396914801566,0.0005612347945446785,0.00010127871459940445,0.0005372861110982252,0.0004283956126888175,0.0005133907330831239,-2.261039420841995e-05
CashYield,-1.8391355881477588e-05,-1.621122053437897e-05,0.0003582042742038117,-2.099081097017789e-05,-1.3786793149313197e-06,-6.264134268323675e-06,-1.6297417626785964e-05,9.388370544928981e-06,1.4335078762994835e-05,1.253129194883551e-06,3.083747094633705e-05,2.930385205691398e-05,-2.779983517636069e-05,2.899980354742362e-05,6.520433347114815e-05,2.20617342964192e-05,2.7292315894928897e-05,-9.226529040455405e-06,-5.455184906796618e-05,3.4816901602559064e-05,-4.985774716605064e-05,-1.6560606002178055e-05,-4.1969524968357045e-05,0.0004455472551969884,4.327470810334853e-05,0.0003268894169197291,0.00021120728525333868,0.00015864427653897363,0.0003866550632637971,-0.00013216463365181756,0.00024443664338977456,-0.0003264023871270498,0.0003066864153389988,2.400288402551643e-05,0.00011367557426815919,8.023195692482734e-05,0.00013036705326544183,0.0002681287469405134,0.00016487621339502046,-1.0256835096607618e-05,0.00012783052410071048,-0.00011407700363704304,-2.7432576500332943e-05,-6.158922292760527e-06,0.0003304741094432669,0.00011057063833707796,0.00019283490831327504,-4.4568964851825224e-05,9.31824578927519e-05,0.00022011962098000351,0.0003059592647656908,0.0003306128174677407,0.00012301753393532573,0.00039933310353102027,8.979529777952424e-05
EarningsYield,1.0984583357545924e-05,1.1328882211110428e-05,-2.099081097017789e-05,0.0003167419982698653,3.104560867165839e-05,-2.2023172254649933e-06,-0.00020336292047242808,0.00010320327924165334,-6.262683399541046e-05,-6.97995916962944e-06,-0.00012474973039647354,-4.833700025210504e-05,-0.0001160164880529387,2.9190641797290914e-05,0.0001074917120172098,-9.294615095674938e-06,2.127382169363864e-05,2.706862539911746e-06,4.817223688075703e-05,0.00018488648213273274,0.0004869097511321792,-2.754453814532463e-05,8.791190155578504e-05,0.001435147149574785,0.0019474095586691333,0.0011836340585050914,0.0012838093430113094,0.001500864154399251,0.0022192181070330177,0.0011525156616664482,0.0018968439987633945,0.002333386781862845,0.002939623592310142,0.0010960973027940044,0.0009032670076252866,0.000982522445667164,0.0014570632122342347,0.0015943572958578979,0.0011744336583959963,0.0007334023174784585,0.00203629126045872,0.0020217345207925327,0.0019402344900833202,0.0016271588025217752,0.0013270840070676053,0.0020083694796231167,0.0014279501250416817,0.0018248491284928129,0.0017363817942311543,0.0024758257617220345,0.0005627171711066378,0.0013543001123436829,0.001827925366253689,0.0009768224246431132,0.0010499850944132574
FCFYield,-8.621289669884917e-06,3.106566752294128e-05,-1.3786793149313197e-06,3.104560867165839e-05,0.00035223478775696214,-0.0003586303363281456,-2.0788135456570902e-05,-6.82222008073809e-05,1.849361567859615e-05,1.7842274982122077e-05,-7.015644199390574e-06,7.0737456724754136e-06,-4.945772662171189e-07,1.003003927551531e-07,-8.641917832117565e-06,-0.00012413260415511233,2.7106728285462785e-06,-1.3673197890735678e-05,-2.3510967847274676e-05,4.3574707780145e-05,2.1127319743855588e-05,-1.2132756240746896e-05,4.9671784125559296e-05,4.973409189159237e-05,0.00019777151267418358,-0.00012504410889692435,1.1566769335475277e-05,-4.7762529537598376e-05,-0.0001364146110571868,-0.00034385160606623544,0.00027551632019067504,-0.00010447045382764656,-0.0006536899448519339,1.2188339370482467e-05,1.3894388079318634e-05,-0.0005274238209717532,-4.4264127872046775e-06,0.00038815030872992295,-0.0003384891713290818,-3.8574264264415784e-05,-0.00036702418116923893,-0.0001190458102270873,-0.00041385834021955226,-2.36044232115879e-05,8.203866201037304e-05,2.782522133894097e-06,8.369708018202646e-05,6.211749193396129e-05,-0.00016317886128055094,-0.0008445871306294256,-0.0002761585280117156,7.473112670615181e-05,-0.0006131540389877784,2.441537676822478e-05,0.0001804572782634701
OCFYield,-1.0063908508399694e-05,-7.766482408360835e-05,-6.264134268323675e-06,-2.2023172254649933e-06,-0.0003586303363281456,0.0007164231136502009,-8.368458363536747e-05,8.818153113884276e-05,-6.079430261073369e-06,-1.5982064413871396e-05,-6.27057242445189e-05,-1.0912928145676467e-05,-5.169305317115186e-05,1.6545953230452805e-05,8.671508184034656e-05,0.00013608700650150573,1.577370169834467e-05,1.3144179536691966e-05,3.689179776294754e-05,-1.180153301844242e-05,-9.127822152056849e-05,-1.253343285887581e-05,6.253912785610892e-06,-6.01792744390253e-05,-6.281893880349578e-05,-9.227991531981993e-05,-0.00012445543650694193,-9.836081282967477e-05,0.0003422689528694164,0.00010970867762223044,-0.0001290618752933816,-0.00010020480976980478,0.002041432608667854,-6.504519974177065e-05,-0.00021628260802646795,0.00044552207893609264,-0.0002567564030740156,-0.0002454687745426134,0.00030043944900859615,4.110535382895075e-05,0.00045106674541994004,-6.603873187092269e-05,0.0008640392324066015,-1.2368004572678803e-05,-0.00014203637179957494,0.00013503126613919367,-0.00012768600688679553,0.00016024865870920848,-2.12635726643062e-05,0.002009053041902065,-3.2491063413916375e-05,-0.00047177364597888603,0.0011664805956514781,-0.0004831582325866082,-4.78330511706164e-05
MediumMomentum,1.3273755478944741e-05,1.1195664852787272e-05,-1.6297417626785964e-05,-0.00020336292047242808,-2.0788135456570902e-05,-8.368458363536747e-05,0.0009403925699015104,-0.00017548075713039467,8.31946681061943e-05,-1.0533087275803022e-05,5.888689013723907e-05,3.319872279965293e-05,0.0002527180032921091,-3.71428471671201e-05,-0.0002759326895247003,3.1886988795383076e-05,-2.090640203622058e-05,4.5545855911502086e-05,-1.3231059930461285e-05,-5.458575960265684e-05,0.00021253664040967257,9.3376664794963e-05,-0.00019180698996336724,-0.0016227078078947447,-0.001791354298681367,-7.543789553859389e-05,-0.00042048376158736135,-0.0015904017865458072,-0.0022072938182104065,0.0005147660462463515,-0.0017795675037190564,-0.0006321784151107665,-0.0023496507110913173,-0.0010055773284213736,-5.7623520864489323e-05,0.00036840591830448376,-0.0013383908837559886,-0.0015993804970263015,-0.0009485764519767589,-0.0002228268466761136,-0.0008875613221090154,-0.00013259086930812096,-0.0022682105665592345,-0.00025385466123182176,-0.000751358123851517,-0.0014894121330821313,-0.0005415270749215365,-0.001735358443278926,-0.00046884196709765516,-0.0006721720363415915,0.0002343790263897649,-0.0006535784330174837,0.00025826936545141413,0.0005240777870200222,-0.0006581308790296153
Reversal,-4.501335497325055e-05,1.6471303824517915e-05,9.388370544928981e-06,0.00010320327924165334,-6.82222008073809e-05,8.818153113884276e-05,-0.00017548075713039467,0.0005252931073049227,-5.2524914256374567e-05,9.73873885373782e-06,-8.27103973194167e-05,3.5461619308482316e-05,-9.764068966429039e-05,4.171023333832687e-05,6.715314211793503e-05,3.584746895174929e-05,2.1096384193703377e-05,-3.709134161342435e-05,1.768071997154289e-05,0.00018689748760362238,0.0005048294043036537,-3.4444229182274345e-05,2.085123040366602e-05,0.0015726472201947996,0.001697779635058919,0.001420941982683407,0.0015048340619122076,0.0019944785994299844,0.0022576133849332917,0.00122518321779498,0.0021657926462333678,0.0018686376485187812,0.001477062020702406,0.001318114425825379,0.001540458510712324,0.001124535342539304,0.0015431972580032848,0.0016886248302146298,0.0015924750760159159,0.0012323123082379026,0.0019425199555449905,0.0016972899157742807,0.002501891772156586,0.0014131194168683,0.0019177059229072645,0.0019160262206152287,0.001576775720465238,0.0016803506545075555,0.0016364597154121443,0.0017756682756254125,0.001120298603422121,0.0015861839932025086,0.0013173406951697468,0.0013379578685380918,0.0012555090427504134
RND,1.6228082932413833e-05,4.14503545285121e-05,1.4335078762994835e-05,-6.262683399541046e-05,1.849361567859615e-05,-6.079430261073369e-06,8.31946681061943e-05,-5.2524914256374567e-05,0.0001744237597537963,2.088687569880745e-06,6.521107324416525e-05,2.3302559999751907e-05,4.434908956727716e-05,-2.524648126895884e-05,-4.920303899562744e-05,-6.688162024312351e-06,1.5331974301197522e-06,1.5177391534290304e-06,-9.847166290530065e-06,8.263063928682339e-06,-0.00011877264829105713,7.325281587929607e-06,-4.374428775889499e-05,-0.0007662280974498531,-0.0007863714719734777,-0.0003633756284206766,-0.0005447697362487969,-0.0007445326558383838,-0.0007666409302098446,-0.0007012715967962084,-0.0007674046925317268,-0.0009534965353460868,-0.001082604386864059,-0.0006593052352616779,-0.00014246757022856518,-0.0007806459807438515,-0.0005691838782415778,-0.0006646229402171971,-0.0008790376003211841,-0.00028627690787740067,-0.0005090172313312631,-0.0008009991939890557,-0.00131425036047571,-0.000658278613442527,-0.0002522506894113975,-0.0009054886185722275,-0.0005101540382236287,-0.0007164863926668769,-0.0007584934964411231,-0.0008741268251811336,-0.0003980503345316078,-0.00017377365274330098,-0.0006984364129462404,-0.00019454122111442127,-0.0005449165113513943
ROE,-2.1483755113906405e-05,2.878411499799652e-05,1.253129194883551e-06,-6.97995916962944e-06,1.7842274982122077e-05,-1.5982064413871396e-05,-1.0533087275803022e-05,9.73873885373782e-06,2.088687569880745e-06,0.00010913601676205552,-5.6233549883941056e-05,5.109612108079872e-06,-1.933370522013525e-06,-1.1696567807895741e-05,9.498343118144285e-06,-1.1771580136958886e-05,2.2352692778567385e-06,-8.051889116555997e-05,3.777365097014261e-06,4.015673461412674e-05,0.00016935717962112315,8.238239522340755e-06,-7.024361104828989e-06,0.0003226535907121857,0.0003356317718182416,0.0002822299005719363,0.0003290508368750699,0.00037965157068385917,0.0003381565115211351,0.00013885435317789716,0.0004194121488345854,0.00021338542628212374,0.0004245951263492853,0.0002381995953953375,0.00036427643717089233,0.000139005825845366,0.00023807637148261714,0.0004676419740069185,0.00015736641756100504,0.0001990297125847652,0.00043705954044412457,0.00032438747192161966,1.1349775982827109e-05,0.00034669110692090685,0.00034639495983426445,0.0004550792788918399,0.00038410817694330726,0.00031717641933940805,0.0002997809289554689,0.0002884540775428061,0.00013700809585832162,0.00038948996638714156,0.00023039749096941323,0.0003340351910326838,0.0002561108302190201
