,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Commercial & Professional Services,Healthcare Equipment & Services,Consumer Durables & Apparel,Consumer Services,Banks,Media,Internet Retail & Consumer Electronics,Semiconductors & Semiconductor Equipment,Food & Staple Retailing,"Oil, Gas & Consumable Fuels",Retailing,Transportation,"Agricultural, Timber, Packaging & Building Materials",Utilities,Diversified Financials,"Pharmaceuticals, Biotechnology & Life Sciences",Oil & Gas E&P,Insurance,REIT,Technology Hardware & Equipment,Chemicals,Real Estate Services,Capital Goods,Metals & Mining,Telecom Services,Automobiles & Auto Components,Household & Personal Products,Software & Services,Capital Markets,Energy Equipment & Services
BookYield,0.0001269062281589055,-3.950788484293247e-06,-2.1321504991911326e-05,1.1752584181303968e-05,-9.302309647840888e-06,-8.084486885459332e-06,1.3749585886756587e-05,-4.4691479168949605e-05,1.7523611274226388e-05,-2.1517073274833525e-05,4.2265218825486454e-05,-3.6378567291202765e-05,9.064795687025077e-06,3.038860836479861e-06,-1.5344428398963423e-05,2.438529815924511e-06,-3.282634257363299e-06,4.4055264876213686e-05,7.2259122439848556e-06,-1.2991486044711933e-05,-0.00011921501456162545,6.352114429431035e-06,-1.7623703531831856e-05,-0.00022198217785812373,-0.0001403772219095606,-0.00034741552703144074,-0.00044761283284229286,-0.00043256284000712706,-0.00037158217238779595,4.92474563522992e-05,-0.000202323534161858,-0.000353467282923018,-0.00036879738627331176,-0.0003499919240457847,-0.0002763418258593248,-0.0004883439174888912,-0.00042982050552971523,-0.00035973216947786526,-0.000225430372804601,-0.00017607738539055745,-0.00027613621374591405,-0.00034474430488790774,-9.251214440527491e-05,-0.0004078304038072193,-0.000396819879048171,-0.00036726583023841586,-0.00042958618840376793,-0.00032559579168186885,-0.0001279525400837922,-9.419657245272908e-05,-0.00011042798495887776,-0.0004633348344619187,-0.0003834229299446005,-0.0001639638921429613,-0.00017489954460674724
SalesYield,-3.950788484293247e-06,0.0001642365136707283,-2.7080649444918767e-05,1.4044896534771431e-05,2.6725017253714532e-05,-6.87874104783559e-05,1.086579696208409e-05,1.7232749600264422e-05,4.483625957710141e-05,2.6901122774432092e-05,1.0376853191085703e-05,1.1856205099901141e-05,-2.6683664994011983e-06,1.1004482702158952e-06,-1.1925616265938972e-05,-1.777657227796873e-05,-7.3056961435592724e-06,-3.7357599935627234e-05,5.084464618608551e-06,3.444396942255933e-05,0.00016990347759725501,-8.44044764430428e-06,-4.361953451888106e-05,0.00015850623571828272,-3.728035499715817e-05,0.00026901166023044116,0.00018861921303728782,0.0005253391119509254,0.00026816168240420356,0.0002969416393750537,0.0004019327204498398,0.00037141094322003416,0.0005137094721568634,7.497861719434743e-06,0.00039197488553003847,0.00035317493492417523,0.0004778693034747235,0.00032407639625131124,3.918747412084217e-06,0.0002470330543769,0.00013719609372159919,0.000543743527006364,0.0001519228282681139,-7.674068508147102e-06,0.0005010292611320053,0.00029277883421200557,-0.00028913457510785617,0.00029074617996698515,0.0005417067158064486,7.139450998645544e-05,0.0002604678120037023,0.00018822051452458693,0.0003911639389269241,0.00040067801892298917,0.0004856886380507844
CashYield,-2.1321504991911326e-05,-2.7080649444918767e-05,0.00038600892599788294,-3.1024039185423894e-05,7.927904168023e-06,-2.6838469805556145e-05,-1.408286986079299e-05,7.980918460480252e-06,5.28952656528971e-06,5.365033789342279e-06,2.597342500419723e-05,4.044578709712043e-05,-3.3382439365498614e-05,3.43471625958017e-05,5.59798225675665e-05,2.059530215584184e-05,3.138109841819309e-05,-1.3536694804089555e-05,-6.65232482812088e-05,2.073708980827623e-05,-3.404113976168092e-05,-6.857714765968683e-06,-3.5704566687195774e-05,2.561508524887399e-05,-2.401506738519381e-05,0.00021473174520666833,0.0002387225780747943,0.00017639226788578746,0.00022255521196328152,-0.0003035184028613111,0.00037438998960714936,0.00029552275201448383,0.00036364681648621525,2.835427112021526e-05,0.00020709020424953636,0.0001560512928610138,5.291317281617521e-06,2.8263278534244338e-05,0.00014964740889833168,9.868257224018761e-05,0.00017736951635888577,0.0002513995229424963,-0.0002100043751981381,0.00015873928433107144,0.0004201389460276436,0.0003166655463575177,-6.898434148225061e-05,-6.65713770194538e-06,2.5774551839823736e-05,0.0003843937463451351,-9.487811815750496e-05,0.00045910065256212016,0.00013251479906811365,-0.00013423640124812862,0.0003402183113840741
EarningsYield,1.1752584181303968e-05,1.4044896534771431e-05,-3.1024039185423894e-05,0.00031778641908074257,2.8466115319062166e-05,3.7353334760686824e-06,-0.0002043155678653465,0.00010271768581992829,-6.126657161050945e-05,-8.377792166027353e-06,-0.0001248531120934069,-5.2939802896581735e-05,-0.00011345575043760445,2.796989124503043e-05,0.0001099280782674255,-1.0302364498006758e-05,1.9490831000330927e-05,3.5553596963194316e-06,5.178850049757583e-05,0.00019014221765471307,0.00047500196077629556,-2.878499553011492e-05,8.618431750187635e-05,0.001078340199474878,0.0007358757503577986,0.0012603080416534753,0.0014763765108020666,0.0018869920868931074,0.0013906301043750816,0.002307939856237205,0.001153038344258006,0.0013066381307963075,0.0013309267332631235,0.0010361293885465073,0.0017862694063976825,0.0016086410134927473,0.002010698902138859,0.0019459057130638499,0.0009530032545688971,0.0017140701900907587,0.001442126613198566,0.0024462010461118212,0.0011541595494022564,0.0011759408116405392,0.000948058584938359,0.002235997788586391,0.0019432967992857961,0.0016173635197875142,0.002055262575175154,0.0005352586411709095,0.0018168854113169426,0.0014007931025655552,0.0008758731663047685,0.00200475761235303,0.0029115213463342853
FCFYield,-9.302309647840888e-06,2.6725017253714532e-05,7.927904168023e-06,2.8466115319062166e-05,0.0003512317452821657,-0.0003606784764309638,-2.1942402914197443e-05,-6.750414809126371e-05,1.406672723254849e-05,1.8558752481799738e-05,-1.0023555498196511e-05,9.259694215267864e-06,-2.914263667844945e-06,2.566996168532311e-06,-1.0339671961482605e-05,-0.00012397216496497768,3.7016969963821654e-06,-1.504913613600138e-05,-2.7290999779684142e-05,4.079739934286275e-05,2.409773866043519e-05,-8.296851894948504e-06,5.179621431578077e-05,8.525319184113697e-06,-3.8679316009097084e-05,7.272209330124452e-06,-1.2885169859343397e-05,0.00024264901323630525,8.199296726874379e-05,-9.379671609361806e-05,-0.0001119571420100712,5.831274514678049e-05,8.092959964263005e-05,0.00014463754615427407,-0.0005791971652397596,0.0003439884805750132,-3.542119339020871e-05,0.00020041248556364853,-0.0005009658364517586,-0.00016301650426188947,1.749961355446644e-05,-0.0008186267884558057,-0.0003717174407082979,-0.00032880989119345107,2.158058023636649e-05,-0.00014258524106089635,-0.00041328270454132085,-1.995172352929225e-05,-0.00038961920811200626,-0.0002468331897874879,4.241669838177752e-05,4.5767694955432174e-05,8.415843164333695e-06,-0.00012759246510091234,-0.0006226438491082085
OCFYield,-8.084486885459332e-06,-6.87874104783559e-05,-2.6838469805556145e-05,3.7353334760686824e-06,-0.0003606784764309638,0.0007215902185729521,-8.203197802370208e-05,8.756094146210249e-05,1.3626098222123013e-06,-1.8070849125198484e-05,-5.741639452699745e-05,-1.722509400108789e-05,-4.6409229228331875e-05,1.1705766700975925e-05,9.065405732008401e-05,0.00013615411050196973,1.3093230568107587e-05,1.5970489881759915e-05,4.531951430645439e-05,-3.921031443937515e-06,-9.867112815177061e-05,-1.9369268405037047e-05,1.2063656391932463e-06,-6.020125971305767e-05,4.711973835462822e-05,-0.00012012372667547087,-0.00015887671584296855,-7.167591969499351e-05,-0.00013507007943933566,-0.00011432996146127978,-0.0001194018588072741,-0.00010393058694938335,-0.0004832284698385523,9.864232133174964e-06,0.0010970290657233927,-0.00015986335890899042,0.00021086436986159055,-6.061049367375969e-05,0.0003984870856321658,-1.9523628850809847e-05,-0.00029024682124037553,0.001957430558768425,0.00016872228647375078,0.00029451772330121607,-0.00048231754798397716,0.00037147874267845965,0.0008750644205827555,-1.3650763332507234e-05,0.0005117366177344725,-8.601916351692654e-05,0.00019692071195010833,-6.206607293097975e-05,-0.0002133133061234875,-4.610431396790367e-05,0.001980295383792127
MediumMomentum,1.3749585886756587e-05,1.086579696208409e-05,-1.408286986079299e-05,-0.0002043155678653465,-2.1942402914197443e-05,-8.203197802370208e-05,0.0009331315192772648,-0.00017255130312840062,8.512212251023017e-05,-1.0274908892125242e-05,6.280868209319223e-05,3.5728357650013976e-05,0.00024996003254570064,-3.775673205513676e-05,-0.0002747156702619597,3.404363894534202e-05,-2.083837873212423e-05,4.575435605179491e-05,-1.4477968071998775e-05,-5.8602757333671767e-05,0.00021627233900122834,9.07447265518928e-05,-0.00019165460401935342,-0.0009858377489214971,-0.00023096565287959183,-0.0004043797068050332,-0.0015975500730441331,-0.0017549004221648907,-0.0005162803085914045,-0.0006326487590696242,-7.248668550727296e-05,-0.0007230711377767784,-0.0006528474768875538,-0.0006205184412561399,0.000254904577232824,-0.0015932206967566409,-0.0014661834697433775,-0.001796684810547999,0.0003612841606447534,-0.00046353732521663474,-0.0013535974765938297,-0.0006658069149524784,0.0005195521483783879,-0.00095948270330104,0.0005346807775603848,-0.0022183758608424384,-0.0022613007844203632,-0.0002613107656891866,-0.0008969764927933512,0.00023421259712775498,-0.0017080752593856931,-0.0015841743802449723,-3.857698030669739e-05,-0.00013277558943057004,-0.002340612187012836
Reversal,-4.4691479168949605e-05,1.7232749600264422e-05,7.980918460480252e-06,0.00010271768581992829,-6.750414809126371e-05,8.756094146210249e-05,-0.00017255130312840062,0.0005185435564539667,-5.124595174568488e-05,9.735571227418881e-06,-8.125993337439436e-05,3.471004240530979e-05,-9.577150032114182e-05,4.0671168926723505e-05,6.668489145082719e-05,3.559336050649269e-05,2.1178599227224186e-05,-3.654172276130967e-05,1.851102604301532e-05,0.00018511776262374798,0.0004975617797768661,-3.476684201676159e-05,2.0401134530323083e-05,0.0013052796327900653,0.0012194540576083823,0.0014906349233687456,0.0019681878696699556,0.002152598594964092,0.0015617766326862133,0.0018471173620961947,0.0014065602762405667,0.0019044869457708598,0.0015707625655840645,0.0012496465016912605,0.001297106584813466,0.0016841835974617033,0.0019035225353000247,0.0016782879288786514,0.001112069933017647,0.0016213929964761387,0.0015276779854774029,0.0017470843442157135,0.0012189276604189496,0.0015748371520372497,0.0013254749210778066,0.002233659305992706,0.0024756683958980278,0.0013962372833358492,0.001925867887043175,0.0011018628141932774,0.0016627857905692192,0.001557639226518435,0.0015261583598707316,0.0016830910344769578,0.0014518540180230946
RND,1.7523611274226388e-05,4.483625957710141e-05,5.28952656528971e-06,-6.126657161050945e-05,1.406672723254849e-05,1.3626098222123013e-06,8.512212251023017e-05,-5.124595174568488e-05,0.00017834801421317187,9.883768325155588e-07,7.054899040111904e-05,2.185096194249292e-05,4.620727553578661e-05,-2.80804073213663e-05,-4.748936496394229e-05,-3.8043298547605744e-06,2.2192717650382452e-07,3.6300774341363103e-06,-6.4224304095035435e-06,8.35481692079911e-06,-0.00011806059509957051,2.3104024247947908e-06,-4.6987570858275394e-05,-0.0006439758749017014,-0.00028875535388029174,-0.000529114765834459,-0.0007880836778931043,-0.0007273427624291095,-0.000495706789126853,-0.0009569898325553269,-0.0003731912016296954,-0.000216876402298485,-0.00018863712379336718,-0.00048674034253028814,-0.0007223413210310506,-0.0006250740313716356,-0.0008517407251670622,-0.0007973744356926148,-0.0007977365475662991,-0.0007510036362382176,-0.000605045609065445,-0.000882527566014931,-0.0006548893379420299,-0.0008884066683812279,-0.000184684668160804,-0.0007705289783444322,-0.0013028493013548877,-0.0006620334066473395,-0.00048729779442268647,-0.0004215179423496691,-0.0006851174076298157,-0.0007433206401822955,-0.00012946157885956845,-0.0007848520275577662,-0.0011042467101127279
ROE,-2.1517073274833525e-05,2.6901122774432092e-05,5.365033789342279e-06,-8.377792166027353e-06,1.8558752481799738e-05,-1.8070849125198484e-05,-1.0274908892125242e-05,9.735571227418881e-06,9.883768325155588e-07,0.00010834064142248298,-5.5965731491768095e-05,6.6094935871160085e-06,-2.8606045878993703e-06,-1.0747158408437904e-05,8.267123339719123e-06,-1.1636312426686496e-05,2.6241402568651488e-06,-8.008559928059425e-05,1.8151306837451626e-06,3.761512271257495e-05,0.00016978654892456715,9.257956631745398e-06,-6.172987785200429e-06,0.00023557164027265815,0.00019436754060942564,0.0003260546963210486,0.0003839925607056815,0.00040401380906492475,0.00038326673286929503,0.00021290655740887392,0.0002842367872100907,0.00033735194942693334,0.0003866557033109375,0.00024536717384893007,0.0002383394663478258,0.0004444163546137872,0.0004358839019471801,0.00032874046581259856,0.00014434220868778062,0.000295756972427848,0.00023818600826906142,0.0002912754323094073,0.00012705913525299045,0.00015344823387709376,0.0003326105794289548,0.00032404745989327504,5.175675367500116e-06,0.0003417664955848531,0.00041709801326009725,0.0001456953319631831,0.0003072118254593326,0.0003218252617781643,0.0003616776284048609,0.0003166306081924253,0.0004261874242969162
