,row,column,value,cusip_row,cusip_column
1,AAL,AMR,-0.109622243050029,02376R102,020764106 21241B100
4,AAN,PRG,0.24756553838461406,00258W108,002535300 74319R101 00258R109
40,AGM,AGM.A,0.32001300722898657,313148306,313148108
41,AGM.A,AGM,0.32001300722898657,313148108,313148306
83,AMR,AAL,-0.109622243050029,020764106 21241B100,02376R102
96,AOUT,SWBI,0.04215960635912275,02875D109,831754106 831756101 02874P103
104,ARC,HTH,0.07338703438735587,00191G103 029263100,432748101 008273104
115,ARKO,HYAC,-0.0464520751914948,041242108 42087L101 42087L200,G4375F108
130,ASRV,USB,-0.009008237664110429,03074A102 917292104,902973304 33763V109 319279105 319279501 855083101
172,BATRA,FWONA,0.08808785226739264,047726104,531229870 531229102 531229771
173,BATRA,FWONK,0.19132177996228933,047726104,531229854
174,BATRA,LSXMA,0.28558066652328445,047726104,531229409
192,BELFA,BELFB,0.6981797783033075,077347201 077347102,077347300
193,BELFB,BELFA,0.6981797783033075,077347300,077347201 077347102
196,BF.A,BF.B,0.9308133387464014,115637100,115637209
197,BF.B,BF.A,0.9308133387464014,115637209,115637100
203,BH,BH.A,0.516193834896109,08986R101 08986R309 857873103 209798107 857873202,08986R408
204,BH,COP,0.0685210116394921,08986R101 08986R309 857873103 209798107 857873202,20825C104 718507106
205,BH.A,BH,0.516193834896109,08986R408,08986R101 08986R309 857873103 209798107 857873202
207,BH.A,COP,0.05831186512956174,08986R408,20825C104 718507106
214,BIO,BIO.B,-0.131558406884464,090572207,090572108
215,BIO.B,BIO,-0.131558406884464,090572108,090572207
242,BRK.A,BRK.B,0.9466655636254524,084670108,084670702 084670207
243,BRK.B,BRK.A,0.9466655636254524,084670702 084670207,084670108
252,BW,MTRN,0.0808936248763649,05614L100 05614L209,576690101 117421107
282,CCL,CUK,0.896063576498567,143658300 143658102,14365C103 693070104
291,CENT,CENTA,0.9702801333269017,153527106,153527205
292,CENTA,CENT,0.9702801333269017,153527205,153527106
350,COGT,FLNT,0.0461079596187642,19240Q201 903214104 19240Q102,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205
356,COP,BH,0.0685210116394921,20825C104 718507106,08986R101 08986R309 857873103 209798107 857873202
357,COP,BH.A,0.05831186512956174,20825C104 718507106,08986R408
370,CRD.A,CRD.B,0.6636719988948716,224633206,224633107
371,CRD.B,CRD.A,0.6636719988948716,224633107,224633206
390,CUK,CCL,0.896063576498567,14365C103 693070104,143658300 143658102
398,CWEN,CWEN.A,0.9689752386435048,18539C204 62942X405 62942X108,62942X306 18539C105 62942X108
399,CWEN.A,CWEN,0.9689752386435048,62942X306 18539C105 62942X108,18539C204 62942X405 62942X108
417,DD,DOW,0.29033194199840695,26614N102 26078J100 260543103 913353108 256592106,260557103
422,DGICA,DGICB,0.18602720956677665,257701201 257701102,257701300
423,DGICB,DGICA,0.18602720956677665,257701300,257701201 257701102
436,DOW,DD,0.29033194199840695,260557103,26614N102 26078J100 260543103 913353108 256592106
449,DWSN,TGE,0.11051311511660933,239360100 872417308 872417100,874696107
466,ENR,EPC,0.27428915414028016,29272W109,28035Q102 29266R108
475,EPC,ENR,0.27428915414028016,28035Q102 29266R108,29272W109
479,EPM,GTM,0.3635041202823334,30049A107 756048104 756048203 63887P100 756048500,40274U108 527367205 28368B102
485,ESBA,FISK,0.2623391145565638,292102100,292102308
486,ESBA,OGCP,0.2528379662693899,292102100,292102209
522,FISK,ESBA,0.2623391145565638,292102308,292102100
524,FISK,OGCP,0.11406659610791742,292102308,292102209
527,FLNT,COGT,0.0461079596187642,34380C102 19241Q101 44938L108 34380C201 G88685105 88674Y105 G8005Y106 G8005Y205,19240Q201 903214104 19240Q102
540,FOX,FOXA,0.9403554774069994,35137L204,35137L105
541,FOX,NWS,0.06356751528833408,35137L204,65249B208
542,FOX,NWSA,0.01149667313540622,35137L204,65249B109
544,FOXA,FOX,0.9403554774069994,35137L105,35137L204
546,FOXA,NWS,0.07255296410792478,35137L105,65249B208
547,FOXA,NWSA,0.03317065155220814,35137L105,65249B109
563,FWONA,BATRA,0.08808785226739264,531229870 531229102 531229771,047726104
565,FWONA,FWONK,0.8892196337685792,531229870 531229102 531229771,531229854
566,FWONA,LSXMA,0.09207195537203038,531229870 531229102 531229771,531229409
568,FWONK,BATRA,0.19132177996228933,531229854,047726104
569,FWONK,FWONA,0.8892196337685792,531229854,531229870 531229102 531229771
571,FWONK,LSXMA,0.30748221435457995,531229854,531229409
586,GEF,GEF.B,0.6683844327103503,397624107,397624206
587,GEF.B,GEF,0.6683844327103503,397624206,397624107
598,GIG,GIGGU,0.9039888385036611,37518G101,37518G200
600,GIGGU,GIG,0.9039888385036611,37518G200,37518G101
622,GOOG,GOOGL,0.987308783638269,02079K107 38259P706,02079K305 38259P508
623,GOOGL,GOOG,0.987308783638269,02079K305 38259P508,02079K107 38259P706
636,GTM,EPM,0.3635041202823334,40274U108 527367205 28368B102,30049A107 756048104 756048203 63887P100 756048500
639,GTN,GTN.A,0.13605960848871382,389375106 389190208 389190109,389375205
640,GTN.A,GTN,0.13605960848871382,389375205,389375106 389190208 389190109
653,HEI,HEI.A,0.9363069349564638,422806109,422806208
654,HEI.A,HEI,0.9363069349564638,422806208,422806109
687,HTH,ARC,0.07338703438735587,432748101 008273104,00191G103 029263100
694,HVT,HVT.A,0.22422359001485617,419596101,419596200
695,HVT.A,HVT,0.22422359001485617,419596200,419596101
701,HYAC,ARKO,-0.0464520751914948,G4375F108,041242108 42087L101 42087L200
745,IR,TT,-0.0007174753124533216,45687V106 36555P107,G8994E103 G47791101 G4776G101 456866102
769,KELYA,KELYB,0.04981870501421335,488152208,488152307
770,KELYB,KELYA,0.04981870501421335,488152307,488152208
802,LBRDA,LBRDK,0.8823895168746227,530307107,530307305
804,LBRDK,LBRDA,0.8823895168746227,530307305,530307107
807,LBTYA,LBTYB,0.1861633755446209,G5480U104 G61188101 530555101 530719103 530719202,G5480U112 530555200
808,LBTYA,LBTYK,0.810295169357318,G5480U104 G61188101 530555101 530719103 530719202,G5480U120 530555309
809,LBTYA,LILA,0.19724863328249204,G5480U104 G61188101 530555101 530719103 530719202,G9001E102 G5480U138
810,LBTYA,LILAK,0.2090549637772618,G5480U104 G61188101 530555101 530719103 530719202,G5480U153 G9001E128
811,LBTYB,LBTYA,0.1861633755446209,G5480U112 530555200,G5480U104 G61188101 530555101 530719103 530719202
813,LBTYB,LBTYK,0.2663202691461642,G5480U112 530555200,G5480U120 530555309
814,LBTYB,LILA,-0.010112869023195933,G5480U112 530555200,G9001E102 G5480U138
815,LBTYB,LILAK,-0.0166885968767931,G5480U112 530555200,G5480U153 G9001E128
816,LBTYK,LBTYA,0.810295169357318,G5480U120 530555309,G5480U104 G61188101 530555101 530719103 530719202
817,LBTYK,LBTYB,0.2663202691461642,G5480U120 530555309,G5480U112 530555200
819,LBTYK,LILA,0.12302534248083452,G5480U120 530555309,G9001E102 G5480U138
820,LBTYK,LILAK,0.1642823712587191,G5480U120 530555309,G5480U153 G9001E128
829,LEN,LEN.B,0.9423681010984662,526057104,526057302
830,LEN.B,LEN,0.9423681010984662,526057302,526057104
841,LILA,LBTYA,0.19724863328249204,G9001E102 G5480U138,G5480U104 G61188101 530555101 530719103 530719202
842,LILA,LBTYB,-0.010112869023195933,G9001E102 G5480U138,G5480U112 530555200
843,LILA,LBTYK,0.12302534248083452,G9001E102 G5480U138,G5480U120 530555309
845,LILA,LILAK,0.9660832322082491,G9001E102 G5480U138,G5480U153 G9001E128
846,LILAK,LBTYA,0.2090549637772618,G5480U153 G9001E128,G5480U104 G61188101 530555101 530719103 530719202
847,LILAK,LBTYB,-0.0166885968767931,G5480U153 G9001E128,G5480U112 530555200
848,LILAK,LBTYK,0.1642823712587191,G5480U153 G9001E128,G5480U120 530555309
849,LILAK,LILA,0.9660832322082491,G5480U153 G9001E128,G9001E102 G5480U138
874,LSXMA,BATRA,0.28558066652328445,531229409,047726104
875,LSXMA,FWONA,0.09207195537203038,531229409,531229870 531229102 531229771
