,BookYield,SalesYield,CashYield,EarningsYield,FCFYield,OCFYield,MediumMomentum,Reversal,RND,ROE,ROA,LongTermGrowth,ShortTermGrowth,ShareBuyBack,DividendYield,LongTermInvestment,EarningsQuality,FinancialLeverage,CurrentRatio,ResidualRisk,Beta,Liquidity,Size,"Agricultural, Timber, Packaging & Building Materials",Automobiles & Auto Components,Banks,Capital Goods,Capital Markets,Chemicals,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy Equipment & Services,Food & Staple Retailing,"Food, Beverage & Tobacco",Health Insurance & Managed Care,Healthcare Equipment & Services,Household & Personal Products,Insurance,Internet Retail & Consumer Electronics,Media,Metals & Mining,Oil & Gas E&P,"Oil, Gas & Consumable Fuels","Pharmaceuticals, Biotechnology & Life Sciences",REIT,Real Estate Services,Retailing,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecom Services,Transportation,Utilities,cusip,issuer,permno,residual,PredictedBeta,PredictedVolatility
A,-0.14321429166038194,-0.2196155647483583,-0.24102049111750257,0.1735698853236902,-0.006340775847094846,-0.24936030160740744,-0.5149851563386201,0.15424150823976052,-0.26155138060251976,0.4505211518405156,0.7713970920820701,-0.3360807692881445,-0.9099782596650285,0.5530336881389567,0.09568009110285998,-0.9725760257537271,-0.02551185420742269,-0.0097747001476546,-0.5365830535955212,-0.5304889642619404,-0.14444309453028362,-0.6512288875828239,-0.5340470874138723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00846U101,AGILENT TECHNOLOGIES INC,196290,0.01647630486036334,0.8696515853408263,0.2458424313468977
AA,1.3779373899093916,2.654015371734527,0.7248011848185428,1.9719539175876297,0.3570235970821283,0.9838039411571307,-0.6525973070650228,0.691534190179013,-0.1145824291652567,0.018252081173666994,-0.2824523058435925,-0.8856873852056129,1.8553042714577566,-3.0,-0.2257248767781883,0.48396859531112013,-0.7238134820060138,0.11238954921688178,-0.41351260356964015,1.5038237535860361,2.0024858800650955,2.3731048674622532,0.838614332346686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,013872106,ALCOA CORP,124392,0.07103848127557195,1.7271898976061528,0.4936740402056345
AACBU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000405736209726,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1309488930203964,-1.629431839634212,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ARTIUS II ACQUISITION INC,643632,0.027971890923701264,0.4100790796866833,0.22115081063570016
AACG,-0.4284161491355048,0.10070250592271918,3.0,-2.312131168550982,0.0,0.0,0.6876551113232297,-1.9693582450709384,0.23054177794691005,-2.6143461947011004,-2.4774602995656196,1.7072586225393418,1.826134704151957,0.09989902262247034,0.0,-0.0,1.3376894255481795,1.1582201826932221,-0.7964265013133162,2.6358669999541102,-1.1116247644327368,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00211V106,ATA Creativity Global,189031,0.39734480831058433,0.5888882702740454,0.66391020344034
AACIU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34554485675977625,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.0632498655554374,0.3873168974100734,-1.629431839634212,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04208V202,ARMADA ACQUISITION CORP I,636675,0.021582343040928924,0.506925440039582,0.21282719968070785
AACT,-1.1260977929013478,0.0,-0.7006575568149596,-0.44222037269756714,-1.401911048794521,-1.677942467832669,0.41074103810062434,0.10725687065528836,0.0,-3.0,-0.6047410185143626,0.0,0.0,0.25749583487873584,-0.7848874920139598,-0.0,0.13927082920921066,-1.5353281735394269,-1.0632498655554374,-1.1309488930203964,-1.629431839634212,-1.0651440381293613,1.2921533784957033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G33033104,ARES ACQUISITION CORP II,639941,0.02058259254474372,0.3995931108139305,0.21413353538226143
AACT.WS,0.0,0.0,0.0,0.0,0.0,0.0,2.128940457749379,-1.832578496512582,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.6358669999541102,-1.629431839634212,0.0,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ARES ACQUISITION CORP II,640130,0.9978405042936015,0.6762381522860542,1.01657493622009
AAL,-1.896321186294816,0.3052968514194154,-0.8219617111285606,0.403848021407938,0.644939542925823,-0.8611453487324343,-0.6603864496960498,0.634680998032034,0.02075221674762622,-1.1977893831916249,-0.294579225291016,-0.7373348244275861,-0.33003037023809845,-0.019086570221174815,-0.7848874920139598,1.247817472948607,-0.24759004318580005,-1.8412081950569457,-1.0632498655554374,1.6019165254987071,0.48076162834728864,2.7016991476555874,0.8807088322787329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,02376R102,AMERICAN AIRLINES GROUP INC,199960,0.06206555830767968,1.3584742569745407,0.3993044057469333
AAME,1.4675816497829808,2.4214875923637993,0.0,-0.9627128257024283,0.0,0.0,1.0989524015756587,-0.9201207901828667,0.02075221674762622,-0.5827543332904617,-0.35138320266974904,-0.8489481164891641,-0.7388840035882454,0.06641908238616398,-0.9713576567884187,-0.0,-0.0,-2.0790996436455056,0.0,2.6358669999541102,-0.9379120632974036,-1.127796449484571,1.2921533784957033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,048209100,ATLANTIC AMERICAN CORP,199933,0.17992587609903313,0.841152920425352,0.47863729859538073
AAMI,-1.6454950456793211,0.1297543361546578,0.0,0.8094737507226112,0.0,0.0,0.0,-1.0602903757221578,0.02075221674762622,2.1205927286444,1.645279973112955,-1.5004576867125434,0.8196062919252773,-0.0,-1.6034249420861506,-0.0,-0.0,0.29731267316947174,0.0,-0.31639475400357486,0.07408337944600935,-0.5320858453409195,1.2921533784957033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10948W103 G67506108 G1644T109,ACADIAN ASSET MANAGEMENT INC,187453,0.04215392031839486,1.09325023666021,0.3197100319420475
