ETF Issuer Name,Basket Reporting Status,Basket Evaluation Date,Basket Trade Date,Primary Basket ID,Basket Ticker,ETF Trading ID,ETF Trading Ticker,Basket Name,Basket Purpose,Allowable Order Types,Alternative Ticker,Ticker,RIC Code,CUSIP,ISIN,SEDOL,FIGI,Security Description,Basket Quantity,Basket Quantity From Prior Day,Basket Quantity Change,Cash In Lieu Indicator,Constituent Restriction Type,Constituent Delivery Type,Trading Currency,Local Price Currency,Settlement Country Code
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,AVGO US,AVGO,AVGO.OQ,11135F101,US11135F1012,BDZ78H9,BBG00KHY5S69,BROADCOM INC NPV,111,111,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,DHR US,DHR,DHR.N,235851102,US2358511028,2250870,BBG000BH3JF8,DANAHER CORP USD 0.01,37,37,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,MA US,MA,MA.N,57636Q104,US57636Q1040,B121557,BBG000F1ZSQ2,MASTERCARD INC,28,28,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,ADI US,ADI,ADI.OQ,032654105,US0326541051,2032067,BBG000BB6G37,ANALOG DEVICES INC USD 0.167,66,66,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,SHOP CN,SHOP,SHOP.N,82509L107,CA82509L1076,BXDZ9Z0,BBG004DW5NB8,SHOPIFY INC NPV,73,73,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,NVDA US,NVDA,NVDA.OQ,67066G104,US67066G1040,2379504,BBG000BBJQV0,NVIDIA CORP USD 0.001,311,311,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,AAPL US,AAPL,AAPL.OQ,037833100,US0378331005,2046251,BBG000B9XRY4,APPLE INC USD 0.00001,95,95,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,SNOW US,SNOW,SNOW,833445109,US8334451098,BN134B7,BBG007DHGNJ4,SNOWFLAKE INC USD 1.0,57,57,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,ETN US,ETN,ETN.N,G29183103,IE00B8KQN827,B8KQN82,BBG000BJ3PD2,EATON CORP PLC USD 0.01,29,29,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,SPOT US,SPOT,SPOT.N,L8681T102,LU1778762911,BFZ1K46,BBG003T4VFC2,SPOTIFY TECHNOLOGY SA EUR 0.000625,13,13,0,N,,In-Kind,USD,USD,US
New York Life Investment Management LLC,Final,2025-08-05,2025-08-06,05S990993,IWFG.S,45409F751,IWFG,NYLI Winslow Focused Large Cap Growth ETF,Standard,Inkind Or Cash,CMG US,CMG,CMG.N,169656105,US1696561059,B0X7DZ3,BBG000QX74T1,CHIPOTLE MEXICAN GRILL INC USD 0.01,141,141,0,N,,In-Kind,USD,USD,US
