IndexIQ Advisors LLC
Historical Trade Export
Report Date: 8/5/2025 6:00:28 AM
SecType,Portfolio,TradeDate,Trdr,SettleDate,Dest,Side,SecurityDesc,Symbol,AvgPrc,Amount,Done,NetMoney,Currency
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ABRDN BLOOMBERG ALL COMMODIT,BCI,20.50,1257,1257,25768.37,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ALTSHARES MERGER ARBITRAGE,ARB,28.77,1908,1908,54893.92,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,COMM SERV SELECT SECTOR SPDR,XLC,108.10,690,690,74585.76,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,FINANCIAL SELECT SECTOR SPDR,XLF,51.74,789,789,40818.92,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,FRANKLIN FTSE INDIA ETF,FLIN,37.71,1962,1962,73987.02,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,FRANKLIN SENIOR LOAN ETF,FLBL,24.11,19233,19233,463707.63,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,GLOBAL X US PREFERRED ETF,PFFD,19.14,9615,9615,184031.10,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,IMGP DBI MANAGED FUTURES STR,DBMF,25.60,3033,3033,77629.64,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,INDUSTRIAL SELECT SECT SPDR,XLI,150.81,111,111,16739.36,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,INVESCO DB AGRICULTURE FUND,DBA,25.74,4092,4092,105307.62,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,INVESCO OPTIMUM YIELD DIVERS,PDBC,13.15,5613,5613,73782.89,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES 0-5 YEAR TIPS BOND E,STIP,103.06,813,813,83783.72,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES CONVERTIBLE BOND ETF,ICVT,92.29,1608,1608,148402.32,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES CORE S&P SMALL-CAP E,IJR,109.96,2034,2034,223658.64,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES FLOATING RATE BOND E,FLOT,50.88,16272,16272,827838.00,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES MSCI CHINA ETF,MCHI,57.50,795,795,45708.53,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES MSCI EMR MRK EX CHNA,EMXC,63.00,2055,2055,129465.00,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES MSCI USA MOMENTUM FA,MTUM,241.81,798,798,192964.38,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES MSCI USA QUALITY FAC,QUAL,185.02,150,150,27753.00,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES NATIONAL MUNI BOND E,MUB,104.13,2202,2202,229283.25,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,ISHARES SEMICONDUCTOR ETF,SOXX,240.35,72,72,17305.20,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,JPMORGAN EQUITY PREMIUM INCO,JEPI,56.17,1245,1245,69925.43,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,MATERIALS SELECT SECTOR SPDR,XLB,87.75,720,720,63180.00,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,NYLI MERGER ARBITRAGE ETF,MNA,35.51,4053,4053,143922.03,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,SIMPLIFY MANAGED FUTURES ST,CTA,26.51,2646,2646,70145.46,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,SPDR BLOOMBERG CONVERTIBLE S,CWB,84.64,2685,2685,227258.40,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,SPDR BLOOMBERG INVESTMENT GR,FLRN,30.74,8295,8295,254987.47,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,VANGUARD FTSE DEVELOPED ETF,VEA,56.74,5703,5703,323559.71,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,VANGUARD SHORT-TERM TIPS,VTIP,50.27,2010,2010,101042.70,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,VANGUARD SHORT-TERM TREASURY,VGSH,58.65,4302,4302,252312.30,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,VANGUARD TAX-EXEMPT BOND ETF,VTEB,48.84,4575,4575,223443.00,USD
CSUS,QAI,08/05/25,Ink,08/06/25,MSCOP,Buy,XTRACKERS HARVEST CSI 300 CH,ASHR,28.55,471,471,13447.05,USD
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,ABB LTD-REG,ABBN SW,66.53,452,452,30069.66,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,ADECCO GROUP AG-REG,ADEN SW,32.00,52,52,1663.95,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,ALCON INC,ALC SW,89.28,144,144,12856.88,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,AMRIZE LTD,AMRZ SW,51.04,144,144,7350.38,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,AVOLTA AG,AVOL SW,52.98,24,24,1271.45,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,BACHEM HOLDING AG,BANB SW,86.09,8,8,688.71,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,BALOISE HOLDING AG - REG,BALN SW,242.79,16,16,3884.64,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,CIE FINANCIERE RICHEMO-A REG,CFR SW,165.84,148,148,24544.01,CHF
CSCH,HFXI,08/04/25,Ink,08/06/25,MSCOP,Buy,CLARIANT AG-REG,CLN SW,10.44,88,88,918.95,CHF
