IndexIQ Advisors LLC
EOD IQ Funds
Report Date: 8/7/2025 6:30:04 PM
Portfolio,Currency,Quantity,NotionalCost,Price,MarketVal/Notional Val,Ticker,BR,SecType,Underlying Ticker
MNA,USD     ,2225100,0.00,1.0000000000,"2,225,100",@CASHUSD,,CASH           ,@CASHUSD
QAI,USD     ,-4751,0.00,1.0000000000,"-4,751",@CASHUSD,,CASH           ,@CASHUSD
VP MUTUAL FUND,USD     ,1605079,0.00,1.0000000000,"1,605,079",@CASHUSD,,CASH           ,@CASHUSD
HFXI,KRW     ,3968,0.00,112200,"445,209,600",000100 KS,,CSKR           ,000100 KS
HFXI,KRW     ,14990,0.00,101800,"1,525,982,000",000270 KS,,CSKR           ,000270 KS
WRND,KRW     ,181,0.00,101800,"18,425,800",000270 KS,,CSKR           ,000270 KS
HFXI,KRW     ,28219,0.00,262000,"7,393,378,000",000660 KS,,CSKR           ,000660 KS
WRND,KRW     ,162,0.00,262000,"42,444,000",000660 KS,,CSKR           ,000660 KS
HFXI,KRW     ,2324,0.00,443000,"1,029,532,000",000810 KS,,CSKR           ,000810 KS
HFXI,KRW     ,27031,0.00,23950,"647,392,450",003490 KS,,CSKR           ,003490 KS
HFXI,KRW     ,8749,0.00,77000,"673,673,000",003550 KS,,CSKR           ,003550 KS
HFXI,KRW     ,10275,0.00,212500,"2,183,437,500",005380 KS,,CSKR           ,005380 KS
WRND,KRW     ,111,0.00,212500,"23,587,500",005380 KS,,CSKR           ,005380 KS
HFXI,KRW     ,4247,0.00,297500,"1,263,482,500",005490 KS,,CSKR           ,005490 KS
HFXI,KRW     ,5010,0.00,129400,"648,294,000",005830 KS,,CSKR           ,005830 KS
HFXI,KRW     ,239671,0.00,70500,"16,896,805,500",005930 KS,,CSKR           ,005930 KS
WRND,KRW     ,5154,0.00,70500,"363,357,000",005930 KS,,CSKR           ,005930 KS
HFXI,KRW     ,44168,0.00,57600,"2,544,076,800",005935 KS,,CSKR           ,005935 KS
MNA,USD     ,333265,0.00,0.0000000000,,005CVR022,,CSUS           ,005CVR022
HFXI,KRW     ,4144,0.00,217000,"899,248,000",006400 KS,,CSKR           ,006400 KS
HFXI,KRW     ,4893,0.00,155300,"759,882,900",009150 KS,,CSKR           ,009150 KS
HFXI,KRW     ,3046,0.00,364000,"1,108,744,000",009540 KS,,CSKR           ,009540 KS
HFXI,KRW     ,274,0.00,815000,"223,310,000",010130 KS,,CSKR           ,010130 KS
HFXI,KRW     ,42020,0.00,19590,"823,171,800",010140 KS,,CSKR           ,010140 KS
HFXI,KRW     ,21439,0.00,23200,"497,384,800",011200 KS,,CSKR           ,011200 KS
HFXI,KRW     ,4193,0.00,295000,"1,236,935,000",012330 KS,,CSKR           ,012330 KS
WRND,KRW     ,53,0.00,295000,"15,635,000",012330 KS,,CSKR           ,012330 KS
HFXI,KRW     ,1732,0.00,932000,"1,614,224,000",012450 KS,,CSKR           ,012450 KS
HFXI,KRW     ,27983,0.00,42000,"1,175,286,000",015760 KS,,CSKR           ,015760 KS
HFXI,KRW     ,4619,0.00,155500,"718,254,500",018260 KS,,CSKR           ,018260 KS
HFXI,KRW     ,5487,0.00,108600,"595,888,200",021240 KS,,CSKR           ,021240 KS
HFXI,KRW     ,53974,0.00,19370,"1,045,476,380",024110 KS,,CSKR           ,024110 KS
HFXI,KRW     ,6133,0.00,165100,"1,012,558,300",028260 KS,,CSKR           ,028260 KS
HFXI,KRW     ,6544,0.00,44600,"291,862,400",028300 KS,,CSKR           ,028300 KS
HFXI,KRW     ,10874,0.00,138500,"1,506,049,000",033780 KS,,CSKR           ,033780 KS
HFXI,KRW     ,27127,0.00,65400,"1,774,105,800",034020 KS,,CSKR           ,034020 KS
HFXI,KRW     ,62,0.00,11000,"682,000",034220 KS,,CSKR           ,034220 KS
WRND,KRW     ,1336,0.00,11000,"14,696,000",034220 KS,,CSKR           ,034220 KS
HFXI,KRW     ,5078,0.00,192400,"977,007,200",034730 KS,,CSKR           ,034730 KS
WRND,KRW     ,60,0.00,235500,"14,130,000",035420 KS,,CSKR           ,035420 KS
HFXI,KRW     ,18950,0.00,63600,"1,205,220,000",035720 KS,,CSKR           ,035720 KS
HFXI,KRW     ,3159,0.00,87500,"276,412,500",042700 KS,,CSKR           ,042700 KS
HFXI,KRW     ,3304,0.00,292500,"966,420,000",051910 KS,,CSKR           ,051910 KS
WRND,KRW     ,76,0.00,292500,"22,230,000",051910 KS,,CSKR           ,051910 KS
WRND,KRW     ,476,0.00,77200,"36,747,200",066570 KS,,CSKR           ,066570 KS
HFXI,KRW     ,8522,0.00,172500,"1,470,045,000",068270 KS,,CSKR           ,068270 KS
HFXI,KRW     ,5845,0.00,51900,"303,355,500",086520 KS,,CSKR           ,086520 KS
HFXI,KRW     ,19963,0.00,85800,"1,712,825,400",086790 KS,,CSKR           ,086790 KS
HFXI,KRW     ,4632,0.00,108500,"502,572,000",096770 KS,,CSKR           ,096770 KS
HFXI,KRW     ,1720,0.00,251000,"431,720,000",097950 KS,,CSKR           ,097950 KS
HFXI,HKD     ,153216,0.00,51.15,"7,836,998",1 HK,,CSHK           ,1 HK
IQSI,HKD     ,29471,0.00,8.18,"241,073",101 HK,,CSHK           ,101 HK
WRND,HKD     ,2090,0.00,80,"167,200",1024 HK,,CSHK           ,1024 HK
IQSI,HKD     ,10532,0.00,55.05,"579,787",1038 HK,,CSHK           ,1038 HK
HFXI,KRW     ,22300,0.00,115000,"2,564,500,000",105560 KS,,CSKR           ,105560 KS
IQSI,HKD     ,141639,0.00,9.68,"1,371,066",1093 HK,,CSHK           ,1093 HK
HFXI,HKD     ,42256,0.00,114.4,"4,834,086",11 HK,,CSHK           ,11 HK
IQSI,HKD     ,12480,0.00,114.4,"1,427,712",11 HK,,CSHK           ,11 HK
HFXI,HKD     ,115202,0.00,36.98,"4,260,170",1113 HK,,CSHK           ,1113 HK
IQSI,HKD     ,172293,0.00,7.29,"1,256,016",1177 HK,,CSHK           ,1177 HK
HFXI,HKD     ,103076,0.00,28.38,"2,925,297",12 HK,,CSHK           ,12 HK
WRND,HKD     ,4029,0.00,112.8,"454,471",1211 HK,,CSHK           ,1211 HK
HFXI,HKD     ,553250,0.00,74.5,"41,217,125",1299 HK,,CSHK           ,1299 HK
IQSI,HKD     ,187018,0.00,74.5,"13,932,841",1299 HK,,CSHK           ,1299 HK
MNA,HKD     ,7793846,0.00,5.05,"39,358,922",1310 HK,,CSHK           ,1310 HK
HFXI,KRW     ,5324,0.00,114000,"606,936,000",138040 KS,,CSKR           ,138040 KS
HFXI,HKD     ,83535,0.00,96.25,"8,040,244",16 HK,,CSHK           ,16 HK
