"Priced Positions "
"As Of Date: 05-Aug-2025"
"Run ID: S-691-928-745"

"Account Number","Cash Account CCY Code","Cash Account Number","Security Name","Location Nominee Code","Reg./Sub Acct Code","Account Name","Linked Custody Account","Cash Account Name","Last Update Date","Asset Type Description","Asset Category Description","Security ID","ISIN","Ticker","Coupon Rate","Dated Date","Maturity Date","Pool Number","Awaiting Receipt","Awaiting Delivery","In Transit (US)","At Registrar (Glbl)","On Loan","Pledged (US)","Available","Settled Units","Current Face (Settled)","Total Units","Current Face (Total)","Nominal Value","Blocked Quantity","Local Currency","Market Price","Price Date","Settled Market Value (Local)","Total Market Value (Local)","Base Currency","Exchange Rate","Settled Market Value (Base)","Total Market Value (Base)","Factor","Factor Date","Previous Factor","Country Code","Country Description","Location Nominee Name","Reg./Sub Acct Name","Sub Account Type Description","Location/Nominee Country Code","Location/Nominee Country Name","OCC ID","S and P CUSIP","Public CUSIP","Branch Code","Branch Name","DGSD Eligible"
"85756","","","FF GROUP COMMON STOCK EUR 0.3","M59","18N","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","","2023-04-25","EQUITY","COMMON STOCK","B681D63","GRS294003009","FFGRP","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1700.0000000","1700.0000000","","1700.0000000","","0.3000000","0.0000000","EUR","4.8000000","2025-08-05","8160.00","8160.00","USD","1.1566144","9437.97","9437.97","","","","GR","GREECE","BNP Greece","NEW YORK LIFE INSURANCE COMPANY","","GR","GREECE","","","","","",""
"85756","","","MAX ESTATES LTD COMMON STOCK INR 10","296","05G","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","","2023-10-27","EQUITY","COMMON STOCK","BRTZT85","INE03EI01018","MAXESTAT","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","2077260.0000000","2077260.0000000","","2077260.0000000","","10.0000000","0.0000000","INR","459.5500000","2025-08-05","954604833.00","954604833.00","USD","0.0113895","10872493.33","10872493.33","","","","IN","INDIA","JPMCB INDIA","NEW YORK LIFE INSURANCE COMPANY","","IN","INDIA","","","","","",""
"85756","INR","41371915","INDIAN RUPEE","","","NYLIC INTERNATIONAL EQUITY (POST), 1682","G 23630","INR","2025-06-12","CASH","CASH","CASHINR","","","","","","","","","","","","","7891481.0000000","7891481.0000000","","7891481.0000000","","","","INR","","","7891481.00","7891481.00","USD","0.0113895","89880.20","89880.20","","","","","","","","","","","","","","671","JPMCBNALB","N"
"AIA40","","","3I GROUP PLC COMMON STOCK GBP 73.8636","002","002","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","B1YW440","GB00B1YW4409","III","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1775.0000000","1775.0000000","","1775.0000000","","0.7386000","0.0000000","GBP","40.2900000","2025-08-05","71514.75","71514.75","USD","1.3289500","95039.53","95039.53","","","","GB","UNITED KINGDOM","JPMCB LONDON","CHASE NOMINEES LIMITED","","GB","UNITED KINGDOM","","","","","",""
"AIA40","","","ABB LTD COMMON STOCK CHF 0.12","LXN","010","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","7108899","CH0012221716","ABBN","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3001.0000000","3001.0000000","","3001.0000000","","0.1200000","0.0000000","CHF","53.0200000","2025-08-05","159113.02","159113.02","USD","1.2387677","197104.07","197104.07","","","","CH","SWITZERLAND","GCD Switzerland","JPMCB NA CLIENT ASSETS","","CH","SWITZERLAND","","","","","",""
"AIA40","","","ABSA GROUP LTD","694","420","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-21","EQUITY","COMMON STOCK","BFX05H3","ZAE000255915","ABG","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3073.0000000","3073.0000000","","3073.0000000","","2.0000000","0.0000000","ZAR","177.7000000","2025-08-05","546072.10","546072.10","USD","0.0557026","30417.64","30417.64","","","","ZA","SOUTH AFRICA","FNB LTD","JPMCB NA RE CLIENT ASSETS US RESIDE","","ZA","SOUTH AFRICA","","","","","",""
"AIA40","","","ACCOR SA COMMON STOCK EUR 3","1QR","31X","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-04","EQUITY","COMMON STOCK","5852842","FR0000120404","AC","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","853.0000000","853.0000000","","853.0000000","","3.0000000","0.0000000","EUR","41.9200000","2025-08-05","35757.76","35757.76","USD","1.1566144","41357.94","41357.94","","","","FR","FRANCE","FR JPMBL REJPMCB","JPMSE LUX RE CLT US T","","FR","FRANCE","","","","","",""
"AIA40","","","ACCTON TECHNOLOGY CORP COMMON STOCK TWD 10","NCN","02K","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-05","EQUITY SOME SHARES TO DOMESTIC RESIDENT","COMMON STOCK","6005214","TW0002345006","2345","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","2030.0000000","2030.0000000","","2030.0000000","","10.0000000","0.0000000","TWD","901.0000000","2025-08-05","1829030.00","1829030.00","USD","0.0334286","61141.96","61141.96","","","","TW","TAIWAN","SCB Taiwan","NEW YORK LIFE INSURANCE AND ANNUITY","","TW","TAIWAN","","","","","",""
"AIA40","","","ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA COMMON STOCK EUR 0.5","626","067","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-04","EQUITY","COMMON STOCK","B01FLQ6","ES0167050915","ACS","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","448.0000000","448.0000000","","448.0000000","","0.5000000","0.0000000","EUR","59.4000000","2025-08-05","26611.20","26611.20","USD","1.1566144","30778.90","30778.90","","","","ES","SPAIN","BS SPAIN","JPMORGAN CHASE BANK, NATIONAL ASSOC","","ES","SPAIN","","","","","",""
"AIA40","","","ADDTECH AB COMMON STOCK SEK 0.75","R2Y","515","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-04","EQUITY","COMMON STOCK","BLN8T44","SE0014781795","ADDTB","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","991.0000000","991.0000000","","991.0000000","","0.7500000","0.0000000","SEK","329.8000000","2025-08-05","326831.80","326831.80","USD","0.1034066","33796.55","33796.55","","","","SE","SWEDEN","SEB SWEDEN","JPMCB NA RE CLIENT ASSETS US T","","SE","SWEDEN","","","","","",""
"AIA40","","","ADIDAS AG COMMON STOCK EUR 0","650","089","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-20","EQUITY","COMMON STOCK","4031976","DE000A1EWWW0","ADS","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","285.0000000","285.0000000","","285.0000000","","1.0000000","0.0000000","EUR","166.2500000","2025-08-05","47381.25","47381.25","USD","1.1566144","54801.84","54801.84","","","","DE","GERMANY","DEUTSCHE BANK AG","JPMCB NA RE CLIENT ASSETS GENERAL N","","DE","GERMANY","","","","","",""
"AIA40","","","ADMIRAL GROUP PLC COMMON STOCK GBP 0.1","002","002","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-03-07","EQUITY","COMMON STOCK","B02J639","GB00B02J6398","ADM","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","805.0000000","805.0000000","","805.0000000","","0.0010000","0.0000000","GBP","34.3600000","2025-08-05","27659.80","27659.80","USD","1.3289500","36758.49","36758.49","","","","GB","UNITED KINGDOM","JPMCB LONDON","CHASE NOMINEES LIMITED","","GB","UNITED KINGDOM","","","","","",""
"AIA40","","","ADVANTEST CORP COMMON STOCK JPY","540","452","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-19","EQUITY","COMMON STOCK","6870490","JP3122400009","6857","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","1184.0000000","1184.0000000","","1184.0000000","","1.0000000","0.0000000","JPY","10045.0000000","2025-08-05","11893280.00","11893280.00","USD","0.0067822","80662.50","80662.50","","","","JP","JAPAN","MIZUHO BK JAPAN","JPMCB NA RE CLIENT ASSETS OMNI US R","","JP","JAPAN","","","","","",""
"AIA40","","","ADYEN NV COMMON STOCK EUR 0.01","1QS","288","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-04","EQUITY","COMMON STOCK","BZ1HM42","NL0012969182","ADYEN","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","47.0000000","47.0000000","","47.0000000","","0.0100000","0.0000000","EUR","1452.2000000","2025-08-05","68253.40","68253.40","USD","1.1566144","78942.87","78942.87","","","","NL","NETHERLANDS","NL JPMBL REJPMCB","JPMSE LUX CLT US TA NT","","NL","NETHERLANDS","","","","","",""
"AIA40","","","AENA SME SA COMMON STOCK EUR 1","626","067","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-06-25","EQUITY","COMMON STOCK","BTMKJR0","ES0105046017","AENA","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","2200.0000000","2200.0000000","","2200.0000000","","1.0000000","0.0000000","EUR","24.2000000","2025-08-05","53240.00","53240.00","USD","1.1566144","61578.15","61578.15","","","","ES","SPAIN","BS SPAIN","JPMORGAN CHASE BANK, NATIONAL ASSOC","","ES","SPAIN","","","","","",""
"AIA40","","","AEON CO LTD COMMON STOCK JPY","540","452","NYLIAC GENERAL ACWI (GIA), 1821","G 01305","","2025-02-19","EQUITY","COMMON STOCK","6480048","JP3388200002","8267","","","","","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","947.0000000","947.0000000","","947.0000000","","1.0000000","0.0000000","JPY","5192.0000000","2025-08-05","4916824.00","4916824.00","USD","0.0067822","33346.84","33346.84","","","","JP","JAPAN","MIZUHO BK JAPAN","JPMCB NA RE CLIENT ASSETS OMNI US R","","JP","JAPAN","","","","","",""
