"Posted Cash - Statement"
"From Date: 06-Aug-2025 To Date: 06-Aug-2025"
"Run ID: S-692-005-699"

"Account Number (Balance)","Cash Balance Posted Date","Cash Account CCY Code","Cash Account Number (Balance)","Transaction Group Description","Cash Opening Balance","Cash Closing Balance","Transaction Group Amount","Account Name (Balance)","Branch Code","Branch Name","DGSD Eligible"
"G 26763","2025-08-06","USD","0728426763"," ","86710.63","-105661.07","","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-06","USD","0728426763","MISCELLANEOUS CASH","","","-437574.97","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-06","USD","0728426763","PRINCIPAL & INCOME","","","21477.87","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-06","USD","0728426763","PURCHASES","","","-174008.20","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26763","2025-08-06","USD","0728426763","SALES","","","397733.60","NYLI S&P 500 INDEX FUND","TN4","JPMCBNA",""
"G 26794","2025-08-06","USD","0728426794"," ","43007.36","-291922.99","","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-06","USD","0728426794","MISCELLANEOUS CASH","","","-1677304.32","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-06","USD","0728426794","PRINCIPAL & INCOME","","","66944.04","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-06","USD","0728426794","PURCHASES","","","-315504.47","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""
"G 26794","2025-08-06","USD","0728426794","SALES","","","1590934.40","NYLI VP S&P 500 INDEX PORTFOLIO","TN4","JPMCBNA",""

 
 
"Posted Cash - Detail"
"From Date: 06-Aug-2025 To Date: 06-Aug-2025"
"Run ID: S-692-005-699"

"Cash Account Number","Posted Date","Transaction Group Description","Account Number","Security Name","Transaction Number","Transaction Category Description","Transaction Status Description","Account Name","Cash Account Name","Cash Account CCY Code","Linked Custody Account","Location/Nominee Code","Location/Nominee Name","Reg./Sub Acct Code","Reg./Sub Acct Name","ASDA/CSDA","Collection Status Description","Customer Reference 1","Customer Reference 2","Income Reference","Transaction Type Description","Asset Type Description","Asset Category Description","Security ID","Coupon Rate","Maturity Date","Pool Number","ISIN","Ticker","Units","Current Face","Price","Gross Amount","Gross Amount CCY Code","Principal Amount","Income Amount","Commission","Commission CCY Code","Other Charges","UK Withholding Tax","UK Withholding Tax CCY Code","Non UK Withholding Tax","Non UK Withholding Tax CCY Code","Source Tax/NRA","Source Tax/NRA CCY Code","Net Amount","Exchange Rate","Trade Date","Contractual S/D","Autosettle Date","Ex Date","Record Date","Payable Date","Value Date","Last Update Date","Last Update Time","Dividend/Interest Rate","UK Withholding Rate","Non UK Withholding Rate","Source Tax/NRA Rate","Factor","Previous Factor","Principal MOF","Interest MOF","Trading Broker Number","Trading Broker Name","Clearing Broker Number","Clearing Broker Name","Additional Information","Bank Reference Number","By Order Of","Sending/Receiving Bank","OCC ID","S and P CUSIP","NIL Payment/Unknown Rate","Branch Code","Branch Name","DGSD Eligible"
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","REALIZED G/L FUTURFUTURES CONTRACTS","T325218E1PY","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","","","CASH DEBIT FOR PURCHASE","SEALED ENVELOPES","NON-SECURITIES ASSETS","993300037","","","","US9933000377","","0.0000000","0.0000000","0.0000000","0.00","","-105661.07","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-105661.07","","2025-08-06","2025-08-06","","","","","2025-08-06","2025-08-06","13:58:49","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","0021001088 HSBC BANK USA, N.A. IMAD: 0806MMQFMP2K023141 001820451 GOLDMAN SACHS & CO REALIZED G/L FUTURFUTURES CONTRACTS D0B803B9-5 MARGIN","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325217EW6E","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","NYLM25046693054","","CASH DEBIT OTHER DISBURSEMENTS","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-10591.08","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-10591.08","","2025-08-05","2025-08-06","","","","","2025-08-06","2025-08-06","03:36:40","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","EXP NYLM25046693 2025JUNETA.1 - GROUP 2 2025JUNETA.1 - GROUP 2","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325217EWON","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","NYLM25045547014","","CASH DEBIT OTHER DISBURSEMENTS","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-2897.20","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-2897.20","","2025-08-05","2025-08-06","","","","","2025-08-06","2025-08-06","03:36:26","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","EXP NYLM25045547 1391440, CUSTODY FEE, MAY2025 1391440, CUSTODY FEE, MAY2025","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325217EWT1","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","NYLM25045549028","","CASH DEBIT OTHER DISBURSEMENTS","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-16090.93","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-16090.93","","2025-08-05","2025-08-06","","","","","2025-08-06","2025-08-06","03:36:36","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","EXP NYLM25045549 2025JUNETA.1- GROUP 1 2025JUNETA.1- GROUP 1","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325217EWTV","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","NYLM25045549027","","CASH DEBIT OTHER DISBURSEMENTS","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-66464.62","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-66464.62","","2025-08-05","2025-08-06","","","","","2025-08-06","2025-08-06","03:36:36","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","EXP NYLM25045549 2025JUNETA.1- GROUP 1 2025JUNETA.1- GROUP 1","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325217EXBN","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","NYLM25046692010","","CASH DEBIT OTHER DISBURSEMENTS","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-70.40","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-70.40","","2025-08-05","2025-08-06","","","","","2025-08-06","2025-08-06","03:36:33","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","EXP NYLM25046692 2025JUNETA.2 - GRP3 2025JUNETA.2 - GRP3","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","MISCELLANEOUS CASH","G 26763","","T325218CDAR","MISCELLANEOUS DISBURSEMENT - CUSTODY","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","","","","","","","","ZUBIKQHZQ","","REDEMPTION TO FUND","","","","0.000000","","","","","0.0000000","0.0000000","0.0000000","0.00","","-235799.67","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-235799.67","","2025-08-06","2025-08-06","","","","","2025-08-06","2025-08-06","08:36:05","0.00000000000","0.00000000000","0.00000000000","0.00000000000","1.000000000","","0.0000000","0.0000000","","","","","REDEMPTION MC S P 500 INDE","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","PRINCIPAL & INCOME","G 26763","LOWE'S COS INC COMMON STOCK USD 0.5","A225218ABNW","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","186227500060","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","548661107","","","","US5486611073","LOW","17505.0000000","","0.0000000","21006.00","USD","0.00","21006.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","21006.00","","","","","2025-07-23","2025-07-23","2025-08-06","2025-08-06","2025-08-06","03:33:58","1.20000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","08/06/25 PYMNT ACTUAL RATE 1.200 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","PRINCIPAL & INCOME","G 26763","WEST PHARMACEUTICAL SERVICES INC COMMON STOCK USD 0.25","A225218AADJ","DIVIDEND","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","DTC","DEPOSITORY TRUST COMPANY","DTC","DTC","CSDA","CREDITED","174582800069","","","INCOME DIVIDEND CREDIT","COMMON STOCK","COMMON STOCK","955306105","","","","US9553061055","WST","2247.0000000","","0.0000000","471.87","USD","0.00","471.87","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","471.87","","","","","2025-07-30","2025-07-30","2025-08-06","2025-08-06","2025-08-06","03:33:55","0.21000000000","0.00000000000","0.00000000000","0.00000000000","","","","","","","","","08/06/25 PYMNT ACTUAL RATE .210 DIVIDEND PAYMENT","","","","","","","TN4","JPMCBNA",""
"0728426763","2025-08-06","PURCHASES","G 26763","NYLI US GOVERNMENT LIQUIDITY FUND OPEN-END FUND USD","TQK4G05D","PURCHASE","SETTLED","NYLI S&P 500 INDEX FUND","US DOLLAR DDA","USD","EUJ97","SHE","SHARES HELD ELSEWHERE","MEMF","MEMO-INTRADAY SETTLE - REGISTERED","","","RVP 003968","RVP 003968886","","PURCHASE/BUY","OPEN END MUTUAL FUNDS EQUITY","MUTUAL FUNDS & UITS","56064L488","0.000000","","","US56064L4885","MUSXX","174008.2000000","0.0000000","1.0000000","0.00","","-174008.20","0.00","0.00"," ","0.00","0.00"," ","0.00"," ","0.00"," ","-174008.20","","2025-08-06","2025-08-06","","","","","2025-08-06","2025-08-06","12:47:04","0.00000000000","0.00000000000","0.00000000000","0.00000000000","","","","","80000","MEMO-MASTER NOTES/POOLED FUNDS","80000","MEMO-MASTER NOTES/POOLED FUNDS","","","","","","","","TN4","JPMCBNA",""
